player,position,season,team,possible_weeks,weeks_predicted,games_actually_played,availability_rate,weeks_real_stats,weeks_inferred_snap_verified,weeks_inferred_pbp_confirmed,weeks_synthetic,predicted_season_total,actual_season_total
00-0023459,QB,2023,NYJ,17,17,1,0.8419117647058824,0,0,0,17,217.7483913364566,0.0
00-0026158,QB,2023,CLE,17,17,5,0.7607843137254903,0,0,0,17,81.19099401830626,98.9
00-0026498,QB,2023,LA,17,17,15,0.8458508403361344,0,0,0,17,198.6865584822706,239.29999999999998
00-0026625,QB,2023,LV,17,17,3,0.3377100840336134,0,0,0,17,24.529127857179468,5.0
00-0027948,QB,2023,KC,17,17,2,0.37834224598930477,0,0,0,17,16.511206684177186,5.9
00-0027973,QB,2023,CAR,17,17,3,0.857843137254902,0,0,0,17,197.33273070793547,23.6
00-0028118,QB,2023,NYG,17,17,11,0.39828431372549017,0,0,0,17,22.176835263361387,87.30000000000001
00-0028986,QB,2023,HOU,17,17,2,0.4786764705882353,0,0,0,17,15.573098463543307,9.8
00-0029263,QB,2023,DEN,17,17,15,0.9732620320855616,0,0,0,17,303.53684427479635,252.9
00-0029604,QB,2023,MIN,17,17,8,0.8071524064171123,0,0,0,17,247.4108668905908,149.9
00-0029701,QB,2023,TEN,17,17,9,0.9143382352941176,0,0,0,17,224.10100193048578,80.0
00-0030533,QB,2023,JAX,17,17,1,0.19791666666666666,0,0,0,17,8.851298131735897,-0.3
00-0030565,QB,2023,SEA,17,17,15,0.42197712418300654,0,0,0,17,85.44992035774041,223.40000000000003
00-0031237,QB,2023,DET,17,17,1,0.6006433823529411,0,0,0,17,79.0785322235007,-0.2
00-0031280,QB,2023,NO,17,17,17,0.9730392156862746,0,0,0,17,189.95217120871538,237.1
00-0031288,QB,2023,CIN,17,17,2,0.1875,0,0,0,17,6.657328139259823,0.8
00-0031345,QB,2023,LV,17,17,7,0.5163398692810458,0,0,0,17,118.28262169509436,62.1
00-0031503,QB,2023,NO,17,17,7,0.6750919117647058,0,0,0,17,177.04864567155536,11.9
00-0031800,QB,2023,ATL,17,17,5,0.40661764705882353,0,0,0,17,86.78817359702822,66.0
00-0032156,QB,2023,NYJ,17,17,5,0.3596813725490196,0,0,0,17,48.42335027757561,26.9
00-0032268,QB,2023,PHI,17,17,3,0.6852022058823529,0,0,0,17,176.77599553907493,11.7
00-0032436,QB,2023,CLE,17,17,1,0.3373161764705882,0,0,0,17,14.414462603247765,13.9
00-0032950,QB,2023,LA,17,17,2,0.8172268907563025,0,0,0,17,117.21483168167994,24.1
00-0033077,QB,2023,DAL,17,17,17,0.8765756302521008,0,0,0,17,254.4910846410996,339.0
00-0033106,QB,2023,DET,17,17,17,0.8944327731092436,0,0,0,17,247.2946623953625,284.90000000000003
00-0033119,QB,2023,WAS,17,17,3,0.6733193277310924,0,0,0,17,25.89735111886452,22.9
00-0033275,QB,2023,CLE,17,17,6,0.2990196078431373,0,0,0,17,36.6081940644092,19.9
00-0033319,QB,2023,MIN,17,17,5,0.2963235294117647,0,0,0,17,10.100326316114888,66.60000000000001
00-0033357,QB,2023,NO,17,17,16,0.7849264705882354,0,0,0,17,96.80984488201953,143.5
00-0033537,QB,2023,CLE,17,17,6,0.7580882352941176,0,0,0,17,201.0000713460908,80.9
00-0033662,QB,2023,DAL,17,17,7,0.2272058823529412,0,0,0,17,3.0452975294982827,3.2
00-0033869,QB,2023,PIT,17,17,5,0.6893382352941176,0,0,0,17,107.86518380715914,46.699999999999996
00-0033873,QB,2023,KC,17,17,16,0.84375,0,0,0,17,298.77733734402835,280.1
00-0033936,QB,2023,JAX,17,17,7,0.30808823529411766,0,0,0,17,6.443956804057383,21.5
00-0033949,QB,2023,MIN,17,17,13,0.1642156862745098,0,0,0,17,30.496068532101766,196.5
00-0033958,QB,2023,CHI,17,17,2,0.17205882352941176,0,0,0,17,10.999383099715548,-0.4
00-0034177,QB,2023,NYJ,17,17,3,0.2601102941176471,0,0,0,17,10.02839075847206,10.9
00-0034401,QB,2023,MIA,17,17,6,0.23529411764705882,0,0,0,17,41.35283126943266,2.0999999999999988
00-0034438,QB,2023,ATL,17,17,1,0.24264705882352944,0,0,0,17,4.993109906358809,-0.3
00-0034577,QB,2023,BUF,17,17,7,0.28455882352941175,0,0,0,17,41.51475411975872,-1.2999999999999998
00-0034771,QB,2023,PIT,17,17,4,0.35171568627450983,0,0,0,17,27.032194335610214,39.6
00-0034796,QB,2023,BAL,17,17,16,0.8823529411764707,0,0,0,17,267.1597497025592,329.2
00-0034855,QB,2023,TB,17,17,17,0.8808823529411764,0,0,0,17,174.0045454430815,270.0
00-0034857,QB,2023,BUF,17,17,17,0.95,0,0,0,17,360.28622113549284,388.90000000000003
00-0034869,QB,2023,SF,17,17,10,0.6867647058823529,0,0,0,17,165.0776998478051,23.299999999999997
00-0034955,QB,2023,LA,17,17,2,0.16053921568627452,0,0,0,17,12.566295734912115,6.8
00-0035100,QB,2023,CIN,17,17,9,0.88,0,0,0,17,28.6342694467979,142.5
00-0035228,QB,2023,ARI,17,17,8,0.8823529411764706,0,0,0,17,262.50757930682397,144.4
00-0035264,QB,2023,DEN,17,17,3,0.2647058823529412,0,0,0,17,40.2908016271699,26.7
00-0035282,QB,2023,LAC,17,17,5,0.0625,0,0,0,17,2.53781722513108,67.6
00-0035289,QB,2023,IND,17,17,16,0.5064338235294118,0,0,0,17,103.1552802288547,192.2
00-0035704,QB,2023,SEA,17,17,4,0.49264705882352944,0,0,0,17,93.9567300573708,29.1
00-0035710,QB,2023,NYG,17,17,6,0.8336397058823529,0,0,0,17,210.06935541816517,57.00000000000001
00-0035993,QB,2023,BAL,17,17,5,0.3370098039215686,0,0,0,17,71.21426117299688,25.6
00-0036212,QB,2023,MIA,17,17,17,0.7181372549019608,0,0,0,17,154.20032846770692,272.40000000000003
00-0036264,QB,2023,GB,17,17,17,0.29411764705882354,0,0,0,17,23.79458407172951,315.1
00-0036355,QB,2023,LAC,17,17,13,0.9791666666666666,0,0,0,17,269.7921836616196,232.20000000000002
00-0036389,QB,2023,PHI,17,17,17,0.9595588235294118,0,0,0,17,367.4424461642558,356.90000000000003
00-0036442,QB,2023,CIN,17,17,10,0.875,0,0,0,17,285.87223856859794,147.2
00-0036879,QB,2023,IND,17,17,1,0.20588235294117646,0,0,0,17,28.89964094106997,0.0
00-0036898,QB,2023,HOU,17,17,6,0.8235294117647058,0,0,0,17,179.42314332929786,15.9
00-0036928,QB,2023,TB,17,17,2,0.058823529411764705,0,0,0,17,4.750715716489241,-0.1
00-0036945,QB,2023,CHI,17,17,13,0.7941176470588236,0,0,0,17,255.96372709755605,230.09999999999997
00-0036971,QB,2023,JAX,17,17,16,1.0,0,0,0,17,245.2183320287465,260.6
00-0036972,QB,2023,NE,17,17,11,0.9117647058823529,0,0,0,17,187.6836858900189,106.29999999999998
00-0037013,QB,2023,NYJ,17,17,12,0.6470588235294117,0,0,0,17,93.59831811698056,115.80000000000001
00-0037077,QB,2023,WAS,17,17,17,0.058823529411764705,0,0,0,17,6.6795699664990815,253.60000000000002
00-0037834,QB,2023,SF,17,17,16,0.7058823529411765,0,0,0,17,149.34444717486542,295.6
00-0038102,QB,2023,PIT,17,17,12,0.7647058823529411,0,0,0,17,153.58052479507995,110.19999999999999
00-0038108,QB,2023,NE,17,17,10,0.23529411764705882,0,0,0,17,39.08967729963773,69.19999999999999
00-0038122,QB,2023,ATL,17,17,15,0.23529411764705882,0,0,0,17,45.59715512935377,177.1
00-0038128,QB,2023,TEN,17,17,3,0.47058823529411764,0,0,0,17,32.805558591195286,3.1
00-0038416,QB,2023,CHI,17,17,5,0.88,0,0,0,17,37.867917567043804,53.300000000000004
00-0038476,QB,2023,NYG,17,17,9,0.88,0,0,0,17,37.16791734510628,93.5
00-0038579,QB,2023,LV,17,17,11,0.88,0,0,0,17,39.13228438606535,125.79999999999998
00-0038582,QB,2023,ARI,17,17,7,0.88,0,0,0,17,37.41330713058364,5.499999999999999
00-0038583,QB,2023,CLE,17,17,8,0.88,0,0,0,17,35.76531115941125,20.1
00-0039150,QB,2023,CAR,17,17,16,0.88,0,0,0,17,54.17181365130178,152.5
00-0039152,QB,2023,TEN,17,17,9,0.88,0,0,0,17,39.29488029702277,100.1
00-0039163,QB,2023,HOU,17,17,15,0.88,0,0,0,17,50.174462867717416,273.1
00-0039164,QB,2023,IND,17,17,4,0.88,0,0,0,17,52.21188722262904,68.6
00-0029239,RB,2023,LV,17,17,3,0.6025735294117647,0,0,0,17,18.68873898129443,9.1
00-0030513,RB,2023,BUF,17,17,16,0.9125816993464052,0,0,0,17,167.6980879559348,82.9
00-0030578,RB,2023,ATL,17,17,14,0.8705882352941178,0,0,0,17,160.6552592420816,36.9
00-0030874,RB,2023,ARI,17,17,3,0.7752757352941176,0,0,0,17,35.85526343748784,7.5
00-0031376,RB,2023,KC,17,17,12,0.9206932773109244,0,0,0,17,105.75023840673335,84.39999999999999
00-0031687,RB,2023,MIA,17,17,15,0.4375,0,0,0,17,60.66676510349466,267.70000000000005
00-0032104,RB,2023,LV,17,17,17,0.7284007352941176,0,0,0,17,24.346048963031116,41.00000000000001
00-0032144,RB,2023,BAL,17,17,4,0.8474264705882353,0,0,0,17,135.19632676094136,19.7
00-0032450,RB,2023,DEN,17,17,1,0.358718487394958,0,0,0,17,5.917657754037682,0.0
00-0032764,RB,2023,TEN,17,17,17,0.9065126050420168,0,0,0,17,246.1858437661569,246.7
00-0032975,RB,2023,WAS,17,17,1,0.35661764705882354,0,0,0,17,34.75335626208471,-0.2
00-0033045,RB,2023,NE,17,17,17,0.9375,0,0,0,17,143.94091074815714,174.5
00-0033118,RB,2023,GB,17,17,3,0.8802521008403362,0,0,0,17,97.6939717927405,3.1
00-0033280,RB,2023,SF,17,17,16,0.7665441176470589,0,0,0,17,228.58704338529182,391.29999999999995
00-0033293,RB,2023,GB,17,17,11,0.886029411764706,0,0,0,17,185.00181111804096,134.89999999999998
00-0033296,RB,2023,WAS,17,17,7,0.5441176470588235,0,0,0,17,-0.3526585986856061,4.3
00-0033308,RB,2023,NYG,17,17,17,0.8174019607843137,0,0,0,17,54.61459041606512,46.9
00-0033526,RB,2023,DEN,17,17,17,0.65625,0,0,0,17,61.39015178661647,121.30000000000001
00-0033553,RB,2023,ARI,17,17,13,0.8051470588235294,0,0,0,17,251.19288518559114,201.5
00-0033699,RB,2023,LAC,17,17,14,0.8964460784313726,0,0,0,17,188.59540318954814,185.4
00-0033854,RB,2023,HOU,17,17,8,0.5367647058823529,0,0,0,17,48.1631156271951,7.3
00-0033856,RB,2023,BUF,17,17,2,0.8866421568627452,0,0,0,17,130.5772148493858,4.0
00-0033893,RB,2023,NYJ,17,17,15,0.7628676470588235,0,0,0,17,123.54553059744245,40.199999999999996
00-0033897,RB,2023,CIN,17,17,17,0.8541666666666666,0,0,0,17,199.54362458268923,265.0
00-0033906,RB,2023,NO,17,17,13,0.9307598039215685,0,0,0,17,264.16780537739004,227.0
00-0033923,RB,2023,CLE,17,17,15,0.7763480392156863,0,0,0,17,64.81660397584302,118.5
00-0033925,RB,2023,CHI,17,17,9,0.5301470588235294,0,0,0,17,67.31217643255847,91.20000000000002
00-0033948,RB,2023,NO,17,17,13,0.9399509803921569,0,0,0,17,145.1470716177917,60.8
00-0034115,RB,2023,MIA,17,17,10,0.6308823529411764,0,0,0,17,108.21070869763719,41.300000000000004
00-0034184,RB,2023,BAL,17,17,17,0.8345588235294118,0,0,0,17,55.291599348540366,185.0
00-0034208,RB,2023,HOU,17,17,9,0.39044117647058824,0,0,0,17,17.462361798447667,13.3
00-0034414,RB,2023,PHI,17,17,11,0.8180147058823529,0,0,0,17,41.01862851444101,17.8
00-0034614,RB,2023,ATL,17,17,2,0.3235294117647059,0,0,0,17,2.008929876810541,0.0
00-0034681,RB,2023,TB,17,17,13,0.8308823529411764,0,0,0,17,83.5531226996819,39.699999999999996
00-0034750,RB,2023,PHI,17,17,3,0.5014705882352941,0,0,0,17,81.90044553994748,4.800000000000001
00-0034791,RB,2023,CLE,17,17,2,0.9397058823529412,0,0,0,17,210.56092899581307,23.1
00-0034838,RB,2023,LA,17,17,9,0.7625,0,0,0,17,90.15022226482081,46.2
00-0034844,RB,2023,NYG,17,17,14,0.7404411764705883,0,0,0,17,189.70586775123883,221.2
00-0034972,RB,2023,MIN,17,17,16,0.9227941176470589,0,0,0,17,80.67982645074675,133.2
00-0034975,RB,2023,BAL,17,17,16,0.8762254901960785,0,0,0,17,37.301309609840516,109.3
00-0035184,RB,2023,DET,17,17,2,0.2141544117647059,0,0,0,17,2.483599040523663,2.3
