player,position,season,team,possible_weeks,weeks_predicted,games_actually_played,availability_rate,weeks_real_stats,weeks_inferred_snap_verified,weeks_inferred_pbp_confirmed,weeks_synthetic,predicted_season_total,actual_season_total
00-0035710,QB,2023,NYG,6,6,6,0.8336397058823529,6,0,0,0,93.19087379102636,57.00000000000001
00-0035993,QB,2023,BAL,15,15,5,0.3333333333333333,5,0,0,10,38.709558574054974,25.6
00-0036212,QB,2023,MIA,17,17,17,0.7181372549019608,17,0,0,0,244.20405065626773,272.40000000000003
00-0036259,QB,2023,SF,13,13,13,1.0,12,1,0,0,86.2249416516854,51.5
00-0036264,QB,2023,GB,17,17,17,0.29411764705882354,17,0,0,0,261.65322568936733,315.1
00-0036290,QB,2023,CHI,17,17,17,1.0,15,2,0,0,178.04833148112067,181.1
00-0036355,QB,2023,LAC,13,13,13,0.9791666666666666,13,0,0,0,253.3323788734322,232.20000000000002
00-0036389,QB,2023,PHI,17,17,17,0.9595588235294118,17,0,0,0,362.8643264341872,356.90000000000003
00-0036442,QB,2023,CIN,10,10,10,0.875,10,0,0,0,169.28481076539884,147.2
00-0036613,QB,2023,MIA,14,14,14,0.9705882352941176,14,0,0,0,169.29388707085388,198.6
00-0036879,QB,2023,IND,13,13,1,0.20588235294117646,0,1,0,12,19.76278695755038,0.0
00-0036898,QB,2023,HOU,17,17,6,0.8235294117647058,5,1,0,11,101.06481393369748,15.9
00-0036928,QB,2023,TB,17,17,2,0.058823529411764705,2,0,0,15,9.284859680493955,-0.1
00-0036945,QB,2023,CHI,13,13,13,0.7941176470588236,13,0,0,0,218.19685151968775,230.09999999999997
00-0036971,QB,2023,JAX,16,16,16,1.0,16,0,0,0,273.1510353980195,260.6
00-0036972,QB,2023,NE,16,16,11,0.9117647058823529,11,0,0,5,197.7671680923499,106.29999999999998
00-0037013,QB,2023,NYJ,12,12,12,0.6470588235294117,12,0,0,0,120.15880537636697,115.80000000000001
00-0037077,QB,2023,WAS,17,17,17,0.058823529411764705,17,0,0,0,194.05227624686412,253.60000000000002
00-0037239,QB,2023,NO,16,16,16,0.8823529411764706,16,0,0,0,232.9577573415615,229.3
00-0037742,QB,2023,TEN,11,11,11,0.6470588235294118,9,2,0,0,103.27576305612038,39.900000000000006
00-0037834,QB,2023,SF,16,16,16,0.7058823529411765,16,0,0,0,277.60823226425003,295.6
00-0038102,QB,2023,PIT,13,13,12,0.7647058823529411,12,0,0,1,165.34632197780036,110.19999999999999
00-0038108,QB,2023,NE,16,16,10,0.23529411764705882,10,0,0,6,67.52936567271101,69.19999999999999
00-0038120,QB,2023,NYJ,17,17,17,0.4117647058823529,17,0,0,0,274.86162436477844,288.5
00-0038122,QB,2023,ATL,17,17,15,0.23529411764705882,15,0,0,2,160.24642929445145,177.1
00-0038128,QB,2023,TEN,11,11,3,0.47058823529411764,2,1,0,8,30.86551228153688,3.1
00-0038416,QB,2023,CHI,13,11,5,0.88,5,0,0,6,111.9460901492467,53.300000000000004
00-0038476,QB,2023,NYG,12,10,9,0.88,9,0,0,1,91.95115240088273,93.5
00-0038579,QB,2023,LV,12,12,11,0.88,11,0,0,1,103.99326898260398,125.79999999999998
00-0038582,QB,2023,ARI,17,11,7,0.88,6,1,0,4,41.498262660736,5.499999999999999
00-0038583,QB,2023,CLE,11,9,8,0.88,7,1,0,1,57.29382005786374,20.1
00-0039150,QB,2023,CAR,16,16,16,0.88,16,0,0,0,222.6733069230468,152.5
00-0039152,QB,2023,TEN,9,9,9,0.88,9,0,0,0,100.8883040516739,100.1
00-0039163,QB,2023,HOU,15,15,15,0.88,15,0,0,0,233.7184717090333,273.1
00-0039164,QB,2023,IND,4,4,4,0.88,4,0,0,0,69.36983021849878,68.6
00-0023459,QB,2024,NYJ,17,17,17,0.7963643790849673,17,0,0,0,252.31008720576529,252.60000000000002
00-0026158,QB,2024,IND,17,17,8,0.7332261029411765,7,1,0,9,115.60193714448661,99.19999999999999
00-0026300,QB,2024,BAL,17,17,6,0.2771139705882353,4,2,0,11,24.206763336190065,0.7
00-0026498,QB,2024,LA,16,16,16,0.8522058823529411,16,0,0,0,240.1371070375723,214.60000000000002
00-0027973,QB,2024,CAR,16,16,6,0.8017533936651584,6,0,0,10,150.27816648689517,58.9
00-0028118,QB,2024,NYJ,17,17,2,0.41119909502262453,2,0,0,15,38.67046022285204,18.0
00-0029263,QB,2024,PIT,12,12,11,0.965686274509804,11,0,0,1,197.1533554940653,172.79999999999998
00-0029604,QB,2024,ATL,17,17,14,0.7778799019607843,14,0,0,3,253.75912098373328,176.3
00-0030565,QB,2024,SEA,17,17,17,0.4658088235294118,17,0,0,0,252.07219298735072,266.1
00-0031280,QB,2024,NO,10,10,10,0.9702205882352942,10,0,0,0,150.69170892214055,149.0
00-0031345,QB,2024,LA,15,15,1,0.5058823529411766,1,0,0,14,54.942877923897065,19.9
00-0031503,QB,2024,CLE,14,14,12,0.6437908496732027,11,1,0,2,104.83792174592031,123.19999999999999
00-0031800,QB,2024,LAC,15,15,4,0.3866421568627451,4,0,0,11,33.91854959730126,3.2
00-0032268,QB,2024,WAS,13,13,3,0.625,3,0,0,10,33.820678257256475,45.7
00-0032434,QB,2024,SF,15,15,3,0.22886029411764708,3,0,0,12,18.416936468538097,6.4
00-0032436,QB,2024,WAS,4,4,1,0.28161764705882353,0,1,0,3,9.27567583167576,0.0
00-0032764,QB,2024,BAL,17,17,17,0.9181985294117647,17,0,0,0,341.1675753729661,336.4
00-0032950,QB,2024,KC,17,17,3,0.7247242647058824,2,1,0,14,65.59398656394963,4.7
00-0033077,QB,2024,DAL,8,8,8,0.8920036764705882,8,0,0,0,132.7603283783339,116.5
00-0033106,QB,2024,DET,17,17,17,0.9002757352941176,17,0,0,0,309.80388580193784,322.5
00-0033119,QB,2024,NE,17,17,8,0.6038602941176471,7,1,0,9,148.2364326742173,43.2
00-0033280,QB,2024,SF,4,4,4,0.7998949579831933,4,0,0,0,87.58552728202324,47.8
00-0033319,QB,2024,MIN,17,17,4,0.2959558823529412,4,0,0,13,40.07857757255554,1.4000000000000001
00-0033357,QB,2024,NO,8,8,8,0.8067226890756303,8,0,0,0,84.20984618882176,102.30000000000001
00-0033537,QB,2024,CLE,7,7,7,0.6905637254901961,7,0,0,0,107.77061279107836,74.6
00-0033662,QB,2024,DAL,17,17,12,0.25735294117647056,12,0,0,5,101.45241871571766,107.60000000000001
00-0033869,QB,2024,BUF,17,17,9,0.6192226890756302,8,1,0,8,35.96446412612414,15.3
00-0033873,QB,2024,KC,16,16,16,0.8655462184873949,16,0,0,0,298.35557207376996,282.90000000000003
00-0033908,QB,2024,LA,12,12,12,0.8109243697478992,12,0,0,0,181.3620469025323,175.0
00-0033949,QB,2024,SF,4,4,2,0.3134191176470588,2,0,0,2,23.296300303441598,30.799999999999997
00-0034177,QB,2024,NYG,7,7,3,0.2433823529411765,3,0,0,4,26.06298438127041,14.0
00-0034348,QB,2024,DEN,17,17,17,0.8143382352941176,16,1,0,0,191.51059832268763,240.3
00-0034401,QB,2024,BUF,1,1,1,0.2745098039215686,1,0,0,0,1.6691593832877278,1.1
00-0034577,QB,2024,PIT,8,8,1,0.30330882352941174,1,0,0,7,6.848788632216695,0.8
00-0034771,QB,2024,TEN,17,17,8,0.33272058823529416,8,0,0,9,115.91781317370906,93.8
00-0034796,QB,2024,BAL,17,17,17,0.9019607843137255,17,0,0,0,389.0009040607706,428.4
00-0034827,QB,2024,CHI,17,17,17,0.9791666666666666,17,0,0,0,237.22231452652952,236.1
00-0034855,QB,2024,TB,17,17,17,0.9007352941176471,17,0,0,0,300.69115626739733,363.8
00-0034857,QB,2024,BUF,17,17,17,0.9583333333333334,16,1,0,0,340.9654168050113,370.4
00-0034869,QB,2024,MIN,17,17,17,0.670343137254902,17,0,0,0,258.4559664191737,307.80000000000007
00-0035100,QB,2024,CIN,17,17,3,0.5294117647058824,2,1,0,14,75.33202988026147,-0.2
00-0035228,QB,2024,ARI,17,17,17,0.8,17,0,0,0,246.8211697551877,295.4
00-0035250,QB,2024,NYG,15,15,15,0.9529411764705882,15,0,0,0,178.6407814470187,96.6
00-0035264,QB,2024,DEN,17,17,3,0.23988970588235298,2,1,0,14,35.653252726856536,0.49999999999999994
00-0035289,QB,2024,LV,11,11,10,0.5933823529411765,10,0,0,1,128.1805472064504,94.50000000000001
00-0035685,QB,2024,DET,14,14,14,0.9294117647058824,14,0,0,0,233.7259957716591,221.70000000000002
00-0035704,QB,2024,NYG,16,16,7,0.4283088235294118,7,0,0,9,88.14929625553827,78.10000000000001
00-0035710,QB,2024,NYG,10,10,10,0.7375,10,0,0,0,152.03679698824695,135.3
00-0035993,QB,2024,MIA,8,8,5,0.3235294117647059,5,0,0,3,48.72539641177107,60.7
00-0036212,QB,2024,MIA,11,11,11,0.7886029411764706,11,0,0,0,160.7018474328282,177.50000000000003
00-0036259,QB,2024,SF,15,15,15,0.9803921568627452,15,0,0,0,179.61649888407217,210.49999999999997
00-0036264,QB,2024,GB,15,15,15,0.5294117647058824,15,0,0,0,258.9930953254906,227.89999999999998
00-0036290,QB,2024,CHI,17,17,17,1.0,14,3,0,0,184.60210971918758,118.39999999999999
