player,position,season,team,possible_weeks,weeks_predicted,games_actually_played,availability_rate,weeks_real_stats,weeks_inferred_snap_verified,weeks_inferred_pbp_confirmed,weeks_synthetic,predicted_season_total,actual_season_total
00-0036264,QB,2023,GB,17,17,17,0.29411764705882354,17,0,0,0,260.26527141714564,315.1
00-0036290,QB,2023,CHI,17,17,17,1.0,15,2,0,0,188.3085044828053,181.1
00-0036355,QB,2023,LAC,13,13,13,0.9791666666666666,13,0,0,0,254.96749628362738,232.20000000000002
00-0036389,QB,2023,PHI,17,17,17,0.9595588235294118,17,0,0,0,363.5780824567387,356.90000000000003
00-0036442,QB,2023,CIN,10,10,10,0.875,10,0,0,0,165.93652730713455,147.2
00-0036613,QB,2023,MIA,14,14,14,0.9705882352941176,14,0,0,0,167.96119685619925,198.6
00-0036879,QB,2023,IND,13,13,1,0.20588235294117646,0,1,0,12,21.64271658439687,0.0
00-0036898,QB,2023,HOU,17,17,6,0.8235294117647058,5,1,0,11,99.77999137302689,15.9
00-0036928,QB,2023,TB,17,17,2,0.058823529411764705,2,0,0,15,8.545846841902055,-0.1
00-0036945,QB,2023,CHI,13,13,13,0.7941176470588236,13,0,0,0,215.80002958121898,230.09999999999997
00-0036971,QB,2023,JAX,16,16,16,1.0,16,0,0,0,264.9273107855342,260.6
00-0036972,QB,2023,NE,16,16,11,0.9117647058823529,11,0,0,5,207.32245190526027,106.29999999999998
00-0037013,QB,2023,NYJ,12,12,12,0.6470588235294117,12,0,0,0,127.18520781458848,115.80000000000001
00-0037077,QB,2023,WAS,17,17,17,0.058823529411764705,17,0,0,0,195.6990734370122,253.60000000000002
00-0037239,QB,2023,NO,16,16,16,0.8823529411764706,16,0,0,0,233.1810419555918,229.3
00-0037742,QB,2023,TEN,11,11,11,0.6470588235294118,9,2,0,0,99.56948151553179,39.900000000000006
00-0037834,QB,2023,SF,16,16,16,0.7058823529411765,16,0,0,0,272.9575157902693,295.6
00-0038102,QB,2023,PIT,13,13,12,0.7647058823529411,12,0,0,1,172.48944941308181,110.19999999999999
00-0038108,QB,2023,NE,16,16,10,0.23529411764705882,10,0,0,6,76.97600151284125,69.19999999999999
00-0038120,QB,2023,NYJ,17,17,17,0.4117647058823529,17,0,0,0,265.11243941152145,288.5
00-0038122,QB,2023,ATL,17,17,15,0.23529411764705882,15,0,0,2,154.7939411445968,177.1
00-0038128,QB,2023,TEN,11,11,3,0.47058823529411764,2,1,0,8,26.370689585911645,3.1
00-0038416,QB,2023,CHI,13,11,5,0.88,5,0,0,6,115.49435920822486,53.300000000000004
00-0038476,QB,2023,NYG,12,10,9,0.88,9,0,0,1,95.86674742342142,93.5
00-0038579,QB,2023,LV,12,12,11,0.88,11,0,0,1,111.59796472300127,125.79999999999998
00-0038582,QB,2023,ARI,17,11,7,0.88,6,1,0,4,37.576200209864126,5.499999999999999
00-0038583,QB,2023,CLE,11,9,8,0.88,7,1,0,1,58.53351354836386,20.1
00-0039150,QB,2023,CAR,16,16,16,0.88,16,0,0,0,215.3138465221892,152.5
00-0039152,QB,2023,TEN,9,9,9,0.88,9,0,0,0,96.65080949410473,100.1
00-0039163,QB,2023,HOU,15,15,15,0.88,15,0,0,0,236.72104997552339,273.1
00-0039164,QB,2023,IND,4,4,4,0.88,4,0,0,0,66.80921250478082,68.6
00-0023459,QB,2024,NYJ,17,17,17,0.7963643790849673,17,0,0,0,249.85321652056183,252.60000000000002
00-0026158,QB,2024,IND,17,17,8,0.7332261029411765,7,1,0,9,122.14360292341836,99.19999999999999
00-0026300,QB,2024,BAL,17,17,6,0.2771139705882353,4,2,0,11,13.415774780814036,0.7
00-0026498,QB,2024,LA,16,16,16,0.8522058823529411,16,0,0,0,244.18331247321396,214.60000000000002
00-0027973,QB,2024,CAR,16,16,6,0.8017533936651584,6,0,0,10,144.86024254413277,58.9
00-0028118,QB,2024,NYJ,17,17,2,0.41119909502262453,2,0,0,15,46.264571404574326,18.0
00-0029263,QB,2024,PIT,12,12,11,0.965686274509804,11,0,0,1,194.86362398356673,172.79999999999998
00-0029604,QB,2024,ATL,17,17,14,0.7778799019607843,14,0,0,3,257.59688328199434,176.3
00-0030565,QB,2024,SEA,17,17,17,0.4658088235294118,17,0,0,0,249.16858451913677,266.1
00-0031280,QB,2024,NO,10,10,10,0.9702205882352942,10,0,0,0,157.81438251026552,149.0
00-0031345,QB,2024,LA,15,15,1,0.5058823529411766,1,0,0,14,57.250355525701764,19.9
00-0031503,QB,2024,CLE,14,14,12,0.6437908496732027,11,1,0,2,100.79949075468122,123.19999999999999
00-0031800,QB,2024,LAC,15,15,4,0.3866421568627451,4,0,0,11,26.248793174701294,3.2
00-0032268,QB,2024,WAS,13,13,3,0.625,3,0,0,10,29.42223533141177,45.7
00-0032434,QB,2024,SF,15,15,3,0.22886029411764708,3,0,0,12,14.710989889632184,6.4
00-0032436,QB,2024,WAS,4,4,1,0.28161764705882353,0,1,0,3,7.564356771570644,0.0
00-0032764,QB,2024,BAL,17,17,17,0.9181985294117647,17,0,0,0,334.5839155719846,336.4
00-0032950,QB,2024,KC,17,17,3,0.7247242647058824,2,1,0,14,53.879597346095416,4.7
00-0033077,QB,2024,DAL,8,8,8,0.8920036764705882,8,0,0,0,131.8888477828624,116.5
00-0033106,QB,2024,DET,17,17,17,0.9002757352941176,17,0,0,0,318.12910050624595,322.5
00-0033119,QB,2024,NE,17,17,8,0.6038602941176471,7,1,0,9,135.90177247034586,43.2
00-0033280,QB,2024,SF,4,4,4,0.7998949579831933,4,0,0,0,85.07606629179037,47.8
00-0033319,QB,2024,MIN,17,17,4,0.2959558823529412,4,0,0,13,37.00650257465416,1.4000000000000001
00-0033357,QB,2024,NO,8,8,8,0.8067226890756303,8,0,0,0,80.9681687976441,102.30000000000001
00-0033537,QB,2024,CLE,7,7,7,0.6905637254901961,7,0,0,0,110.62954763791234,74.6
00-0033662,QB,2024,DAL,17,17,12,0.25735294117647056,12,0,0,5,99.13534796567824,107.60000000000001
00-0033869,QB,2024,BUF,17,17,9,0.6192226890756302,8,1,0,8,31.147013585562604,15.3
00-0033873,QB,2024,KC,16,16,16,0.8655462184873949,16,0,0,0,294.69852723677354,282.90000000000003
00-0033908,QB,2024,LA,12,12,12,0.8109243697478992,12,0,0,0,186.6069760372491,175.0
00-0033949,QB,2024,SF,4,4,2,0.3134191176470588,2,0,0,2,21.36851464109985,30.799999999999997
00-0034177,QB,2024,NYG,7,7,3,0.2433823529411765,3,0,0,4,25.005057164410353,14.0
00-0034348,QB,2024,DEN,17,17,17,0.8143382352941176,16,1,0,0,198.74275829424928,240.3
00-0034401,QB,2024,BUF,1,1,1,0.2745098039215686,1,0,0,0,1.5865326922949419,1.1
00-0034577,QB,2024,PIT,8,8,1,0.30330882352941174,1,0,0,7,4.400753160140175,0.8
