season,week,model_actual,model_projected,oracle_actual,hindsight_actual,replacement_actual,vs_oracle_margin,vs_hindsight_margin,vs_replacement_margin,won_vs_oracle,won_vs_hindsight,won_vs_replacement,cumulative_win_rate_vs_oracle,cumulative_win_rate_vs_hindsight,cumulative_win_rate_vs_replacement
2024,1,99.4,109.77,170.6,99.4,56.6,-71.2,0.0,42.8,False,False,True,0.0,0.0,1.0
2024,2,106.8,99.3,180.5,68.3,34.6,-73.7,38.5,72.2,False,True,True,0.0,0.5,1.0
2024,3,101.4,93.07,197.4,80.0,38.4,-96.0,21.4,63.0,False,True,True,0.0,0.6667,1.0
2024,4,111.3,93.19,177.6,83.8,64.1,-66.3,27.5,47.2,False,True,True,0.0,0.75,1.0
2024,5,88.3,92.73,175.4,92.6,70.2,-87.1,-4.3,18.1,False,False,True,0.0,0.6,1.0
2024,6,124.1,95.64,173.0,91.2,45.4,-48.9,32.9,78.7,False,True,True,0.0,0.6667,1.0
2024,7,93.8,102.0,166.4,96.0,65.6,-72.6,-2.2,28.2,False,False,True,0.0,0.5714,1.0
2024,8,113.7,98.88,183.8,88.4,52.8,-70.1,25.3,60.9,False,True,True,0.0,0.625,1.0
2024,9,119.3,98.93,188.9,131.8,83.8,-69.6,-12.5,35.5,False,False,True,0.0,0.5556,1.0
2024,10,101.9,106.14,189.7,72.2,29.0,-87.8,29.7,72.9,False,True,True,0.0,0.6,1.0
2024,11,90.3,106.0,215.2,109.7,52.6,-124.9,-19.4,37.7,False,False,True,0.0,0.5455,1.0
2024,12,115.2,94.95,187.2,110.2,65.2,-72.0,5.0,50.0,False,True,True,0.0,0.5833,1.0
2024,13,99.8,100.98,178.9,80.0,70.0,-79.1,19.8,29.8,False,True,True,0.0,0.6154,1.0
2024,14,128.3,105.05,225.0,79.0,47.5,-96.7,49.3,80.8,False,True,True,0.0,0.6429,1.0
2024,15,129.4,102.22,198.4,112.7,38.4,-69.0,16.7,91.0,False,True,True,0.0,0.6667,1.0
2024,16,122.3,99.86,190.8,114.2,65.7,-68.5,8.1,56.6,False,True,True,0.0,0.6875,1.0
2024,17,108.5,100.47,192.3,109.1,56.9,-83.8,-0.6,51.6,False,False,True,0.0,0.6471,1.0
2024,18,96.2,104.74,204.6,126.1,36.5,-108.4,-29.9,59.7,False,False,True,0.0,0.6111,1.0
2024,19,92.7,90.3,152.5,66.5,36.8,-59.8,26.2,55.9,False,True,True,0.0,0.6316,1.0
2024,20,117.1,94.34,165.9,108.9,71.3,-48.8,8.2,45.8,False,True,True,0.0,0.65,1.0
2024,21,122.7,85.56,158.1,82.0,76.9,-35.4,40.7,45.8,False,True,True,0.0,0.6667,1.0
2024,22,93.8,76.1,106.6,99.8,40.8,-12.8,-6.0,53.0,False,False,True,0.0,0.6364,1.0
