season,week,model_actual,model_projected,oracle_actual,hindsight_actual,replacement_actual,vs_oracle_margin,vs_hindsight_margin,vs_replacement_margin,won_vs_oracle,won_vs_hindsight,won_vs_replacement,cumulative_win_rate_vs_oracle,cumulative_win_rate_vs_hindsight,cumulative_win_rate_vs_replacement
2025,1,67.0,109.68,147.4,67.0,25.2,-80.4,0.0,41.8,False,False,True,0.0,0.0,1.0
2025,2,91.5,92.64,184.7,60.8,30.8,-93.2,30.7,60.7,False,True,True,0.0,0.5,1.0
2025,3,79.0,99.97,184.4,96.5,72.0,-105.4,-17.5,7.0,False,False,True,0.0,0.3333,1.0
2025,4,112.4,101.69,183.3,62.6,63.4,-70.9,49.8,49.0,False,True,True,0.0,0.5,1.0
2025,5,128.4,102.54,170.5,94.8,109.9,-42.1,33.6,18.5,False,True,True,0.0,0.6,1.0
2025,6,83.2,105.12,181.7,95.7,41.5,-98.5,-12.5,41.7,False,False,True,0.0,0.5,1.0
2025,7,144.5,102.05,193.4,68.2,61.5,-48.9,76.3,83.0,False,True,True,0.0,0.5714,1.0
2025,8,120.7,105.51,179.5,104.0,52.4,-58.8,16.7,68.3,False,True,True,0.0,0.625,1.0
2025,9,118.9,109.56,191.9,71.8,33.6,-73.0,47.1,85.3,False,True,True,0.0,0.6667,1.0
2025,10,131.0,102.64,192.3,92.3,28.1,-61.3,38.7,102.9,False,True,True,0.0,0.7,1.0
2025,11,121.1,106.32,190.2,118.6,26.9,-69.1,2.5,94.2,False,True,True,0.0,0.7273,1.0
2025,12,134.1,102.31,197.7,81.4,55.3,-63.6,52.7,78.8,False,True,True,0.0,0.75,1.0
2025,13,66.1,103.43,163.1,67.4,34.5,-97.0,-1.3,31.6,False,False,True,0.0,0.6923,1.0
2025,14,83.3,101.21,183.2,59.3,47.9,-99.9,24.0,35.4,False,True,True,0.0,0.7143,1.0
2025,15,109.0,99.93,208.8,75.5,18.0,-99.8,33.5,91.0,False,True,True,0.0,0.7333,1.0
2025,16,155.9,99.65,203.6,104.7,66.6,-47.7,51.2,89.3,False,True,True,0.0,0.75,1.0
2025,17,102.8,101.5,183.3,125.5,25.8,-80.5,-22.7,77.0,False,False,True,0.0,0.7059,1.0
2025,18,102.9,107.7,170.7,70.5,29.5,-67.8,32.4,73.4,False,True,True,0.0,0.7222,1.0
2025,19,127.7,95.59,163.2,100.6,35.3,-35.5,27.1,92.4,False,True,True,0.0,0.7368,1.0
2025,20,48.3,95.44,134.7,47.4,54.9,-86.4,0.9,-6.6,False,True,False,0.0,0.75,0.95
2025,21,128.6,85.13,129.3,52.6,55.2,-0.7,76.0,73.4,False,True,True,0.0,0.7619,0.9524
