season,week,model_actual,model_projected,oracle_actual,hindsight_actual,replacement_actual,vs_oracle_margin,vs_hindsight_margin,vs_replacement_margin,won_vs_oracle,won_vs_hindsight,won_vs_replacement,cumulative_win_rate_vs_oracle,cumulative_win_rate_vs_hindsight,cumulative_win_rate_vs_replacement
2025,1,79.4,110.33,163.8,79.4,51.0,-84.4,0.0,28.4,False,False,True,0.0,0.0,1.0
2025,2,90.4,88.05,191.3,70.4,65.6,-100.9,20.0,24.8,False,True,True,0.0,0.5,1.0
2025,3,90.0,106.87,187.6,96.3,39.8,-97.6,-6.3,50.2,False,False,True,0.0,0.3333,1.0
2025,4,145.7,108.01,187.3,71.5,75.1,-41.6,74.2,70.6,False,True,True,0.0,0.5,1.0
2025,5,145.3,109.47,176.9,95.6,97.4,-31.6,49.7,47.9,False,True,True,0.0,0.6,1.0
2025,6,106.1,111.86,191.1,90.6,29.3,-85.0,15.5,76.8,False,True,True,0.0,0.6667,1.0
2025,7,150.0,108.44,212.7,83.2,41.2,-62.7,66.8,108.8,False,True,True,0.0,0.7143,1.0
2025,8,94.2,112.23,183.3,125.3,23.2,-89.1,-31.1,71.0,False,False,True,0.0,0.625,1.0
2025,9,116.0,115.98,214.3,74.0,40.0,-98.3,42.0,76.0,False,True,True,0.0,0.6667,1.0
2025,10,108.0,112.41,193.5,85.4,44.1,-85.5,22.6,63.9,False,True,True,0.0,0.7,1.0
2025,11,114.0,114.15,205.8,113.6,42.8,-91.8,0.4,71.2,False,True,True,0.0,0.7273,1.0
2025,12,127.9,109.09,207.1,94.2,60.5,-79.2,33.7,67.4,False,True,True,0.0,0.75,1.0
2025,13,92.2,112.14,167.8,72.0,62.8,-75.6,20.2,29.4,False,True,True,0.0,0.7692,1.0
2025,14,125.8,110.05,199.5,77.7,26.3,-73.7,48.1,99.5,False,True,True,0.0,0.7857,1.0
2025,15,127.7,106.35,222.2,109.1,36.2,-94.5,18.6,91.5,False,True,True,0.0,0.8,1.0
2025,16,107.7,109.62,204.5,152.2,33.7,-96.8,-44.5,74.0,False,False,True,0.0,0.75,1.0
2025,17,105.5,112.29,199.7,132.9,34.7,-94.2,-27.4,70.8,False,False,True,0.0,0.7059,1.0
2025,18,106.7,115.92,176.6,64.1,24.5,-69.9,42.6,82.2,False,True,True,0.0,0.7222,1.0
2025,19,104.3,98.93,167.0,115.6,84.0,-62.7,-11.3,20.3,False,False,True,0.0,0.6842,1.0
2025,20,72.0,102.09,149.7,72.0,60.2,-77.7,0.0,11.8,False,False,True,0.0,0.65,1.0
2025,21,130.2,87.56,136.2,72.4,53.8,-6.0,57.8,76.4,False,True,True,0.0,0.6667,1.0
2025,22,74.5,78.21,100.3,82.2,68.0,-25.8,-7.7,6.5,False,False,True,0.0,0.6364,1.0
