season,week,model_actual,model_projected,oracle_actual,hindsight_actual,replacement_actual,vs_oracle_margin,vs_hindsight_margin,vs_replacement_margin,won_vs_oracle,won_vs_hindsight,won_vs_replacement,cumulative_win_rate_vs_oracle,cumulative_win_rate_vs_hindsight,cumulative_win_rate_vs_replacement
2025,1,80.6,112.12,163.8,80.6,37.0,-83.2,0.0,43.6,False,False,True,0.0,0.0,1.0
2025,2,97.9,77.67,191.3,70.4,80.8,-93.4,27.5,17.1,False,True,True,0.0,0.5,1.0
2025,3,83.1,103.59,187.6,96.3,27.9,-104.5,-13.2,55.2,False,False,True,0.0,0.3333,1.0
2025,4,129.6,113.27,187.3,71.5,80.6,-57.7,58.1,49.0,False,True,True,0.0,0.5,1.0
2025,5,130.5,119.32,176.9,95.6,29.2,-46.4,34.9,101.3,False,True,True,0.0,0.6,1.0
2025,6,106.1,124.65,191.1,90.6,54.5,-85.0,15.5,51.6,False,True,True,0.0,0.6667,1.0
2025,7,150.0,120.02,212.7,83.2,36.5,-62.7,66.8,113.5,False,True,True,0.0,0.7143,1.0
2025,8,75.9,125.96,183.3,125.3,47.2,-107.4,-49.4,28.7,False,False,True,0.0,0.625,1.0
2025,9,116.0,128.18,214.3,74.0,60.9,-98.3,42.0,55.1,False,True,True,0.0,0.6667,1.0
2025,10,108.0,125.35,193.5,85.4,40.2,-85.5,22.6,67.8,False,True,True,0.0,0.7,1.0
2025,11,130.0,127.29,205.8,113.6,26.9,-75.8,16.4,103.1,False,True,True,0.0,0.7273,1.0
2025,12,123.5,121.48,207.1,94.2,57.4,-83.6,29.3,66.1,False,True,True,0.0,0.75,1.0
2025,13,85.5,126.79,167.8,72.0,66.9,-82.3,13.5,18.6,False,True,True,0.0,0.7692,1.0
2025,14,96.3,122.29,199.5,77.7,72.0,-103.2,18.6,24.3,False,True,True,0.0,0.7857,1.0
2025,15,116.0,113.42,222.2,109.1,38.1,-106.2,6.9,77.9,False,True,True,0.0,0.8,1.0
2025,16,95.7,119.81,204.5,152.2,50.3,-108.8,-56.5,45.4,False,False,True,0.0,0.75,1.0
2025,17,125.5,124.37,199.7,132.9,40.9,-74.2,-7.4,84.6,False,False,True,0.0,0.7059,1.0
2025,18,106.7,130.49,176.6,64.1,33.4,-69.9,42.6,73.3,False,True,True,0.0,0.7222,1.0
2025,19,116.9,109.48,167.0,115.6,86.9,-50.1,1.3,30.0,False,True,True,0.0,0.7368,1.0
2025,20,97.7,113.28,149.7,72.0,63.8,-52.0,25.7,33.9,False,True,True,0.0,0.75,1.0
2025,21,130.2,96.24,136.2,72.4,46.8,-6.0,57.8,83.4,False,True,True,0.0,0.7619,1.0
2025,22,74.5,87.67,100.3,82.2,73.7,-25.8,-7.7,0.8,False,False,True,0.0,0.7273,1.0
