player_id,name,position,season,week,predicted_points,actual_fantasy_points,is_starter
00-0036223,J.Taylor,RB,2025,10,16.110496534068922,49.6,True
00-0036355,J.Herbert,QB,2025,10,15.601751485406274,14.8,False
00-0038542,B.Robinson,RB,2025,10,15.590616773648717,10.8,True
00-0034796,L.Jackson,QB,2025,10,15.497006873922654,14.7,False
00-0036389,J.Hurts,QB,2025,10,15.318196425095236,14.0,False
00-0034857,J.Allen,QB,2025,10,15.314410026726597,21.3,False
00-0037840,K.Williams,RB,2025,10,15.100600323864988,22.4,True
00-0040691,J.Dart,QB,2025,10,14.573714021724445,28.3,False
00-0033280,C.McCaffrey,RB,2025,10,14.548286450382577,17.6,False
00-0038543,J.Smith-Njigba,WR,2025,10,14.511431514291187,20.3,False
00-0039851,D.Maye,QB,2025,10,14.333851476596985,18.2,False
00-0039040,D.Achane,RB,2025,10,14.057566876181589,40.5,True
00-0036264,J.Love,QB,2025,10,14.02722132748834,9.8,False
00-0036971,T.Lawrence,QB,2025,10,13.95018368579255,11.8,False
00-0037248,J.Cook,RB,2025,10,13.379289818308992,12.7,True
00-0026498,M.Stafford,QB,2025,10,13.369573271543766,27.2,False
00-0039139,J.Gibbs,RB,2025,10,13.351437403754076,38.2,True
00-0035710,D.Jones,QB,2025,10,13.03547444385544,17.5,False
00-0039075,P.Nacua,WR,2025,10,12.995617912515518,17.4,True
00-0036963,A.St. Brown,WR,2025,10,12.895024653872618,16.8,True
00-0040122,A.Jeanty,RB,2025,10,12.827700132298169,15.3,True
00-0034855,B.Mayfield,QB,2025,10,12.823532347135043,22.9,False
00-0039732,B.Nix,QB,2025,10,12.7920326786055,6.0,False
00-0036912,D.Smith,WR,2025,10,12.531539337537014,16.9,True
00-0032764,D.Henry,RB,2025,10,12.517386821296908,11.4,False
00-0036322,J.Jefferson,WR,2025,10,12.414737422405725,7.7,True
00-0039918,C.Williams,QB,2025,10,12.357354882000488,25.3,False
00-0037740,G.Wilson,WR,2025,10,12.354884109885134,0.0,False
