season,week,model_actual,model_projected,oracle_actual,hindsight_actual,replacement_actual,vs_oracle_margin,vs_hindsight_margin,vs_replacement_margin,won_vs_oracle,won_vs_hindsight,won_vs_replacement,cumulative_win_rate_vs_oracle,cumulative_win_rate_vs_hindsight,cumulative_win_rate_vs_replacement
2025,1,65.9,120.08,147.4,65.9,46.1,-81.5,0.0,19.8,False,False,True,0.0,0.0,1.0
2025,2,114.0,111.31,184.7,60.8,17.6,-70.7,53.2,96.4,False,True,True,0.0,0.5,1.0
2025,3,53.4,105.37,184.4,96.5,60.5,-131.0,-43.1,-7.1,False,False,False,0.0,0.3333,0.6667
2025,4,104.1,103.2,183.3,62.6,52.9,-79.2,41.5,51.2,False,True,True,0.0,0.5,0.75
2025,5,152.6,102.17,170.5,94.8,51.4,-17.9,57.8,101.2,False,True,True,0.0,0.6,0.8
2025,6,98.2,108.68,181.7,95.7,34.2,-83.5,2.5,64.0,False,True,True,0.0,0.6667,0.8333
2025,7,117.5,104.26,193.4,68.2,43.3,-75.9,49.3,74.2,False,True,True,0.0,0.7143,0.8571
2025,8,118.2,111.46,179.5,104.0,33.8,-61.3,14.2,84.4,False,True,True,0.0,0.75,0.875
2025,9,115.5,108.87,191.9,71.8,30.1,-76.4,43.7,85.4,False,True,True,0.0,0.7778,0.8889
2025,10,125.1,100.13,192.3,92.3,48.2,-67.2,32.8,76.9,False,True,True,0.0,0.8,0.9
2025,11,114.4,109.33,190.2,118.6,63.0,-75.8,-4.2,51.4,False,False,True,0.0,0.7273,0.9091
2025,12,89.6,103.42,197.7,81.4,27.3,-108.1,8.2,62.3,False,True,True,0.0,0.75,0.9167
2025,13,86.2,105.91,163.1,67.4,37.3,-76.9,18.8,48.9,False,True,True,0.0,0.7692,0.9231
2025,14,96.0,102.93,183.2,59.3,32.3,-87.2,36.7,63.7,False,True,True,0.0,0.7857,0.9286
2025,15,124.4,99.75,208.8,75.5,38.3,-84.4,48.9,86.1,False,True,True,0.0,0.8,0.9333
2025,16,129.1,101.12,203.6,104.7,57.1,-74.5,24.4,72.0,False,True,True,0.0,0.8125,0.9375
2025,17,119.0,104.28,183.3,125.5,60.8,-64.3,-6.5,58.2,False,False,True,0.0,0.7647,0.9412
2025,18,102.9,111.58,170.7,70.5,18.5,-67.8,32.4,84.4,False,True,True,0.0,0.7778,0.9444
2025,19,127.7,97.83,163.2,100.6,37.2,-35.5,27.1,90.5,False,True,True,0.0,0.7895,0.9474
2025,20,47.0,94.94,134.7,47.4,61.5,-87.7,-0.4,-14.5,False,False,False,0.0,0.75,0.9
2025,21,128.6,82.73,129.3,52.6,58.6,-0.7,76.0,70.0,False,True,True,0.0,0.7619,0.9048
