season,week,model_actual,model_projected,oracle_actual,hindsight_actual,replacement_actual,vs_oracle_margin,vs_hindsight_margin,vs_replacement_margin,won_vs_oracle,won_vs_hindsight,won_vs_replacement,cumulative_win_rate_vs_oracle,cumulative_win_rate_vs_hindsight,cumulative_win_rate_vs_replacement
2025,1,80.6,112.83,163.8,80.6,50.1,-83.2,0.0,30.5,False,False,True,0.0,0.0,1.0
2025,2,97.9,99.01,191.3,70.4,74.0,-93.4,27.5,23.9,False,True,True,0.0,0.5,1.0
2025,3,100.3,112.77,187.6,96.3,34.2,-87.3,4.0,66.1,False,True,True,0.0,0.6667,1.0
2025,4,145.4,113.34,187.3,63.2,65.7,-41.9,82.2,79.7,False,True,True,0.0,0.75,1.0
2025,5,132.9,111.56,176.9,95.6,88.9,-44.0,37.3,44.0,False,True,True,0.0,0.8,1.0
2025,6,87.0,114.64,191.1,90.6,36.3,-104.1,-3.6,50.7,False,False,True,0.0,0.6667,1.0
2025,7,143.6,111.65,212.7,83.2,37.1,-69.1,60.4,106.5,False,True,True,0.0,0.7143,1.0
2025,8,94.3,113.05,183.3,125.3,46.5,-89.0,-31.0,47.8,False,False,True,0.0,0.625,1.0
2025,9,121.7,116.22,214.3,74.0,73.7,-92.6,47.7,48.0,False,True,True,0.0,0.6667,1.0
2025,10,108.0,115.31,193.5,85.4,56.6,-85.5,22.6,51.4,False,True,True,0.0,0.7,1.0
2025,11,114.0,115.66,205.8,113.6,44.7,-91.8,0.4,69.3,False,True,True,0.0,0.7273,1.0
2025,12,132.0,111.84,207.1,94.2,68.4,-75.1,37.8,63.6,False,True,True,0.0,0.75,1.0
2025,13,92.2,115.34,167.8,72.0,60.3,-75.6,20.2,31.9,False,True,True,0.0,0.7692,1.0
2025,14,104.2,112.58,199.5,77.7,30.5,-95.3,26.5,73.7,False,True,True,0.0,0.7857,1.0
2025,15,133.7,107.49,222.2,109.1,76.7,-88.5,24.6,57.0,False,True,True,0.0,0.8,1.0
2025,16,104.7,114.56,204.5,152.2,10.9,-99.8,-47.5,93.8,False,False,True,0.0,0.75,1.0
2025,17,127.7,116.31,199.7,132.9,46.9,-72.0,-5.2,80.8,False,False,True,0.0,0.7059,1.0
2025,18,106.7,119.88,176.6,64.1,41.2,-69.9,42.6,65.5,False,True,True,0.0,0.7222,1.0
2025,19,101.3,102.72,167.0,115.6,77.4,-65.7,-14.3,23.9,False,False,True,0.0,0.6842,1.0
2025,20,97.7,105.04,149.7,72.0,50.6,-52.0,25.7,47.1,False,True,True,0.0,0.7,1.0
2025,21,129.2,90.05,136.2,72.4,46.8,-7.0,56.8,82.4,False,True,True,0.0,0.7143,1.0
2025,22,74.5,81.84,100.3,82.2,73.7,-25.8,-7.7,0.8,False,False,True,0.0,0.6818,1.0
