season,week,model_actual,model_projected,oracle_actual,hindsight_actual,replacement_actual,vs_oracle_margin,vs_hindsight_margin,vs_replacement_margin,won_vs_oracle,won_vs_hindsight,won_vs_replacement,cumulative_win_rate_vs_oracle,cumulative_win_rate_vs_hindsight,cumulative_win_rate_vs_replacement
2018,1,109.6,101.05,218.9,109.6,59.4,-109.3,0.0,50.2,False,False,True,0.0,0.0,1.0
2018,2,136.0,103.45,192.6,123.2,70.4,-56.6,12.8,65.6,False,True,True,0.0,0.5,1.0
2018,3,123.3,120.07,194.5,112.0,53.0,-71.2,11.3,70.3,False,True,True,0.0,0.6667,1.0
2018,4,130.4,117.29,220.0,127.1,38.4,-89.6,3.3,92.0,False,True,True,0.0,0.75,1.0
2018,5,105.6,114.23,189.4,65.4,39.7,-83.8,40.2,65.9,False,True,True,0.0,0.8,1.0
2018,6,105.1,112.83,201.6,134.9,25.5,-96.5,-29.8,79.6,False,False,True,0.0,0.6667,1.0
2018,7,108.7,110.84,183.6,110.4,45.6,-74.9,-1.7,63.1,False,False,True,0.0,0.5714,1.0
2018,8,145.3,112.37,182.0,112.6,37.8,-36.7,32.7,107.5,False,True,True,0.0,0.625,1.0
2018,9,83.6,109.75,195.0,122.4,36.3,-111.4,-38.8,47.3,False,False,True,0.0,0.5556,1.0
2018,10,118.7,110.86,214.4,111.6,47.1,-95.7,7.1,71.6,False,True,True,0.0,0.6,1.0
2018,11,107.3,110.23,212.9,108.0,44.6,-105.6,-0.7,62.7,False,False,True,0.0,0.5455,1.0
2018,12,116.5,110.26,207.3,98.7,37.8,-90.8,17.8,78.7,False,True,True,0.0,0.5833,1.0
2018,13,161.6,106.53,204.1,106.5,33.6,-42.5,55.1,128.0,False,True,True,0.0,0.6154,1.0
2018,14,140.7,112.63,222.3,90.5,55.6,-81.6,50.2,85.1,False,True,True,0.0,0.6429,1.0
2018,15,91.8,111.07,178.7,87.6,78.5,-86.9,4.2,13.3,False,True,True,0.0,0.6667,1.0
2018,16,94.3,106.88,206.8,90.2,57.6,-112.5,4.1,36.7,False,True,True,0.0,0.6875,1.0
2018,17,55.2,108.6,184.4,27.8,28.9,-129.2,27.4,26.3,False,True,True,0.0,0.7059,1.0
2018,18,75.3,107.72,140.9,35.6,41.4,-65.6,39.7,33.9,False,True,True,0.0,0.7222,1.0
2018,19,82.5,106.2,160.1,50.0,41.4,-77.6,32.5,41.1,False,True,True,0.0,0.7368,1.0
2018,20,42.1,105.33,129.0,86.9,41.4,-86.9,-44.8,0.7,False,False,True,0.0,0.7,1.0
2018,21,41.4,103.6,91.1,88.8,41.4,-49.7,-47.4,0.0,False,False,False,0.0,0.6667,0.9524
