season,week,model_actual,model_projected,oracle_actual,hindsight_actual,replacement_actual,vs_oracle_margin,vs_hindsight_margin,vs_replacement_margin,won_vs_oracle,won_vs_hindsight,won_vs_replacement,cumulative_win_rate_vs_oracle,cumulative_win_rate_vs_hindsight,cumulative_win_rate_vs_replacement
2025,1,64.3,109.64,147.4,64.3,45.4,-83.1,0.0,18.9,False,False,True,0.0,0.0,1.0
2025,2,114.0,90.24,184.7,60.8,50.3,-70.7,53.2,63.7,False,True,True,0.0,0.5,1.0
2025,3,90.3,99.15,184.4,96.5,29.9,-94.1,-6.2,60.4,False,False,True,0.0,0.3333,1.0
2025,4,125.4,99.94,183.3,62.6,36.7,-57.9,62.8,88.7,False,True,True,0.0,0.5,1.0
2025,5,128.4,100.36,170.5,94.8,57.4,-42.1,33.6,71.0,False,True,True,0.0,0.6,1.0
2025,6,86.7,103.98,181.7,95.7,18.2,-95.0,-9.0,68.5,False,False,True,0.0,0.5,1.0
2025,7,144.5,99.12,193.4,68.2,79.0,-48.9,76.3,65.5,False,True,True,0.0,0.5714,1.0
2025,8,120.7,104.64,179.5,104.0,37.6,-58.8,16.7,83.1,False,True,True,0.0,0.625,1.0
2025,9,115.5,106.98,191.9,71.8,38.2,-76.4,43.7,77.3,False,True,True,0.0,0.6667,1.0
2025,10,131.0,97.93,192.3,92.3,39.3,-61.3,38.7,91.7,False,True,True,0.0,0.7,1.0
2025,11,107.5,102.37,190.2,118.6,37.6,-82.7,-11.1,69.9,False,False,True,0.0,0.6364,1.0
2025,12,121.1,100.07,197.7,81.4,61.6,-76.6,39.7,59.5,False,True,True,0.0,0.6667,1.0
2025,13,62.5,101.72,163.1,67.4,56.3,-100.6,-4.9,6.2,False,False,True,0.0,0.6154,1.0
2025,14,83.3,99.86,183.2,59.3,50.5,-99.9,24.0,32.8,False,True,True,0.0,0.6429,1.0
2025,15,93.2,97.91,208.8,75.5,45.2,-115.6,17.7,48.0,False,True,True,0.0,0.6667,1.0
2025,16,156.9,97.42,203.6,104.7,55.2,-46.7,52.2,101.7,False,True,True,0.0,0.6875,1.0
2025,17,102.8,100.93,183.3,125.5,55.4,-80.5,-22.7,47.4,False,False,True,0.0,0.6471,1.0
2025,18,102.9,106.68,170.7,70.5,9.3,-67.8,32.4,93.6,False,True,True,0.0,0.6667,1.0
2025,19,127.7,94.15,163.2,100.6,25.7,-35.5,27.1,102.0,False,True,True,0.0,0.6842,1.0
2025,20,48.3,92.52,134.7,47.4,42.9,-86.4,0.9,5.4,False,True,True,0.0,0.7,1.0
2025,21,128.6,84.03,129.3,52.6,58.6,-0.7,76.0,70.0,False,True,True,0.0,0.7143,1.0
