season,week,model_actual,model_projected,oracle_actual,hindsight_actual,replacement_actual,vs_oracle_margin,vs_hindsight_margin,vs_replacement_margin,won_vs_oracle,won_vs_hindsight,won_vs_replacement,cumulative_win_rate_vs_oracle,cumulative_win_rate_vs_hindsight,cumulative_win_rate_vs_replacement
2025,1,80.6,110.3,163.8,80.6,49.4,-83.2,0.0,31.2,False,False,True,0.0,0.0,1.0
2025,2,90.6,87.96,191.3,70.4,72.3,-100.7,20.2,18.3,False,True,True,0.0,0.5,1.0
2025,3,90.0,107.71,187.6,96.3,41.5,-97.6,-6.3,48.5,False,False,True,0.0,0.3333,1.0
2025,4,145.7,108.68,187.3,71.5,70.4,-41.6,74.2,75.3,False,True,True,0.0,0.5,1.0
2025,5,145.3,110.01,176.9,95.6,63.2,-31.6,49.7,82.1,False,True,True,0.0,0.6,1.0
2025,6,86.9,112.77,191.1,90.6,39.4,-104.2,-3.7,47.5,False,False,True,0.0,0.5,1.0
2025,7,150.0,108.29,212.7,83.2,39.3,-62.7,66.8,110.7,False,True,True,0.0,0.5714,1.0
2025,8,94.2,112.22,183.3,125.3,39.5,-89.1,-31.1,54.7,False,False,True,0.0,0.5,1.0
2025,9,116.0,115.78,214.3,74.0,47.5,-98.3,42.0,68.5,False,True,True,0.0,0.5556,1.0
2025,10,108.0,112.18,193.5,85.4,71.4,-85.5,22.6,36.6,False,True,True,0.0,0.6,1.0
2025,11,114.0,114.0,205.8,113.6,28.3,-91.8,0.4,85.7,False,True,True,0.0,0.6364,1.0
2025,12,127.9,109.53,207.1,94.2,62.7,-79.2,33.7,65.2,False,True,True,0.0,0.6667,1.0
2025,13,92.2,112.45,167.8,72.0,64.4,-75.6,20.2,27.8,False,True,True,0.0,0.6923,1.0
2025,14,125.8,110.16,199.5,77.7,20.3,-73.7,48.1,105.5,False,True,True,0.0,0.7143,1.0
2025,15,127.7,106.86,222.2,109.1,38.6,-94.5,18.6,89.1,False,True,True,0.0,0.7333,1.0
2025,16,107.7,109.58,204.5,152.2,47.4,-96.8,-44.5,60.3,False,False,True,0.0,0.6875,1.0
2025,17,107.7,111.57,199.7,132.9,40.5,-92.0,-25.2,67.2,False,False,True,0.0,0.6471,1.0
2025,18,106.7,115.61,176.6,64.1,52.7,-69.9,42.6,54.0,False,True,True,0.0,0.6667,1.0
2025,19,117.5,99.29,167.0,115.6,93.8,-49.5,1.9,23.7,False,True,True,0.0,0.6842,1.0
2025,20,72.0,103.74,149.7,72.0,60.2,-77.7,0.0,11.8,False,False,True,0.0,0.65,1.0
2025,21,136.2,87.96,136.2,72.4,49.9,0.0,63.8,86.3,False,True,True,0.0,0.6667,1.0
2025,22,74.5,78.75,100.3,82.2,68.0,-25.8,-7.7,6.5,False,False,True,0.0,0.6364,1.0
