player_id,name,position,season,week,predicted_points,actual_fantasy_points,is_starter
00-0038542,B.Robinson,RB,2025,12,23.46565078197824,12.7,True
00-0037248,J.Cook,RB,2025,12,23.358317542764652,21.9,True
00-0033280,C.McCaffrey,RB,2025,12,23.11193291433612,27.2,True
00-0036223,J.Taylor,RB,2025,12,22.498516842627062,8.6,True
00-0039139,J.Gibbs,RB,2025,12,22.420181308080895,55.4,True
00-0037840,K.Williams,RB,2025,12,21.09614080862159,5.8,True
00-0032764,D.Henry,RB,2025,12,20.959202643211544,22.8,True
00-0040734,T.Henderson,RB,2025,12,20.75116764621124,11.1,True
00-0038597,C.Brown,RB,2025,12,20.74867985515875,13.3,False
00-0040122,A.Jeanty,RB,2025,12,20.399873551659773,24.8,True
00-0034844,S.Barkley,RB,2025,12,20.370841512927566,14.4,True
00-0036997,J.Williams,RB,2025,12,19.94651178670358,12.1,True
00-0040784,Q.Judkins,RB,2025,12,19.823102431758958,16.7,True
00-0036275,D.Swift,RB,2025,12,19.111266700032946,3.9,True
00-0036973,T.Etienne,RB,2025,12,18.793156326515145,20.6,True
00-0037228,J.Warren,RB,2025,12,18.370820117286293,12.8,True
00-0037256,R.White,RB,2025,12,18.248427460351724,5.2,True
00-0038120,B.Hall,RB,2025,12,18.0449548043487,15.9,True
00-0036139,R.Dowdle,RB,2025,12,17.76188432658359,11.4,True
00-0039165,Z.Charbonnet,RB,2025,12,17.188249833622923,9.5,True
00-0035685,D.Montgomery,RB,2025,12,16.762469040646398,6.7,True
00-0033293,A.Jones,RB,2025,12,16.59137356132551,8.7,True
00-0040583,W.Marks,RB,2025,12,16.44409753680505,7.9,True
00-0036919,K.Gainwell,RB,2025,12,16.340094057032452,18.2,True
00-0035261,T.Pollard,RB,2025,12,16.270054212617527,8.1,True
00-0039384,T.Tracy,RB,2025,12,15.711186054112748,16.0,False
00-0039738,B.Corum,RB,2025,12,15.698023597752377,2.4,True
00-0038134,K.Walker,RB,2025,12,15.594882384327292,13.1,False
00-0037263,T.Allgeier,RB,2025,12,15.439202218968044,5.9,True
00-0036875,R.Stevenson,RB,2025,12,15.407104704034897,2.0,True
00-0040236,K.Monangai,RB,2025,12,15.31505677693759,10.8,True
00-0037157,Z.Knight,RB,2025,12,15.144524917881363,13.2,True
00-0036555,C.Hubbard,RB,2025,12,15.110347090428869,8.3,True
00-0039032,T.Spears,RB,2025,12,14.988050868451467,6.5,True
00-0036924,M.Carter,RB,2025,12,14.568523323998098,8.8,True
00-0036187,R.Gilliam,RB,2025,12,14.516924882352669,1.2,True
00-0034959,A.Beck,RB,2025,12,14.516924882352669,2.0,True
00-0040208,T.Brooks,RB,2025,12,14.516924882352669,0.5,False
00-0038951,S.Tucker,RB,2025,12,14.479877485294596,5.6,True
00-0033906,A.Kamara,RB,2025,12,14.395650769688176,3.5,True
00-0040162,D.Sampson,RB,2025,12,14.200920743306355,16.2,True
00-0037525,J.Mason,RB,2025,12,14.07128078178158,4.2,True
00-0040719,B.Tuten,RB,2025,12,13.992885586998142,1.7,True
00-0033923,K.Hunt,RB,2025,12,13.95542895203828,22.0,True
00-0034791,N.Chubb,RB,2025,12,13.895743942808009,2.5,True
00-0038797,E.Wilson,RB,2025,12,13.666333807184678,26.5,True
00-0040078,B.Smith,RB,2025,12,13.606264180846118,6.6,True
00-0037746,B.Robinson,RB,2025,12,13.597895038956707,5.4,False
00-0038555,T.Bigsby,RB,2025,12,13.42050258782897,0.8,True
00-0035250,D.Singletary,RB,2025,12,13.385731761143736,4.7,True
00-0038454,K.Mitchell,RB,2025,12,13.287147316340182,2.9,True
00-0040202,D.Neal,RB,2025,12,13.243662881290703,11.1,True
00-0035537,Ty.Johnson,RB,2025,12,13.097367813498822,8.2,True
00-0037267,J.Ford,RB,2025,12,12.652521412744886,-0.3,True
00-0039798,I.Davis,RB,2025,12,12.54332905629022,0.7,True
00-0039757,T.Jennings,RB,2025,12,12.536497744651081,0.0,True
00-0038738,H.Luepke,RB,2025,12,12.193859332944001,1.7,True
00-0032104,A.Abdullah,RB,2025,12,11.808195706277553,0.0,True
00-0038685,C.Brooks,RB,2025,12,11.685348780463736,3.6,True
00-0036360,C.Edwards-Helaire,RB,2025,12,11.655790367677955,3.7,True
00-0037563,M.Davis,RB,2025,12,11.525758184886262,2.4,True
00-0037594,J.Chestnut,RB,2025,12,11.476446707951325,0.3,True
00-0040238,L.Allen,RB,2025,12,10.453717542924675,0.2,True
00-0031687,R.Mostert,RB,2025,12,10.452185160404362,5.0,True
00-0037744,T.McBride,TE,2025,12,5.966208393028614,16.9,True
00-0036970,K.Pitts,TE,2025,12,5.138716684168719,4.5,True
00-0039338,B.Bowers,TE,2025,12,4.962900846545374,11.5,True
00-0030506,T.Kelce,TE,2025,12,4.513910147839683,8.4,True
00-0040128,T.Warren,TE,2025,12,4.263745882173094,9.5,True
00-0038129,C.Otton,TE,2025,12,4.044979399040043,6.1,True
00-0034351,D.Goedert,TE,2025,12,4.033408198506875,4.0,True
00-0033288,G.Kittle,TE,2025,12,3.990686613040289,13.8,True
00-0040126,C.Loveland,TE,2025,12,3.9279447819563047,14.9,True
00-0034383,D.Schultz,TE,2025,12,3.352327525715131,1.8,True
00-0038041,J.Ferguson,TE,2025,12,3.285521829049557,11.1,True
00-0040663,H.Fannin,TE,2025,12,3.211744226136665,8.4,True
00-0036040,J.Johnson,TE,2025,12,2.4862836925858582,10.6,True
00-0033090,H.Henry,TE,2025,12,2.155119001818038,24.5,True
00-0039847,T.Johnson,TE,2025,12,1.8500404450111747,10.7,True
00-0035229,T.Hockenson,TE,2025,12,1.8225133197903198,5.9,True
