player_id,name,position,season,week,predicted_points,actual_fantasy_points,is_starter
00-0039918,C.Williams,QB,2025,10,12.604751674347652,25.3,False
00-0040124,T.McMillan,WR,2025,10,12.590236752750087,11.0,True
00-0039757,T.Jennings,RB,2025,10,12.527621514326686,0.5,True
00-0039064,Z.Flowers,WR,2025,10,12.497138247529964,12.1,True
00-0032104,A.Abdullah,RB,2025,10,12.494144494959304,1.8,True
00-0037746,B.Robinson,RB,2025,10,12.487110644141861,11.5,False
00-0039798,I.Davis,RB,2025,10,12.39400461576633,2.1,True
00-0038994,J.Addison,WR,2025,10,12.354057207265269,6.5,True
00-0035719,D.Samuel,WR,2025,10,12.281179497457865,12.9,True
00-0023459,A.Rodgers,QB,2025,10,12.26268501249643,6.4,False
00-0038544,Q.Johnston,WR,2025,10,12.21477418503431,9.2,True
00-0039875,R.Davis,RB,2025,10,12.198122888865353,0.8,True
00-0037816,R.Doubs,WR,2025,10,12.149951261742977,1.5,True
00-0029892,K.Juszczyk,RB,2025,10,12.14401821058433,2.8,True
00-0040129,E.Egbuka,WR,2025,10,12.140578246924324,23.5,True
00-0034869,S.Darnold,QB,2025,10,12.058220011049432,9.1,False
00-0031381,D.Adams,WR,2025,10,12.024657210786957,19.7,True
00-0035640,D.Metcalf,WR,2025,10,11.99106930820129,6.5,True
00-0037120,T.Goodson,RB,2025,10,11.860199435912442,0.4,True
00-0038705,E.Demercado,RB,2025,10,11.803364552640483,13.4,True
00-0040202,D.Neal,RB,2025,10,11.798762456547209,6.1,True
00-0039746,W.Shipley,RB,2025,10,11.774103675631054,5.4,True
00-0039150,B.Young,QB,2025,10,11.767668560171108,3.6,False
00-0039364,S.Vaki,RB,2025,10,11.492118582363746,0.4,True
00-0035250,D.Singletary,RB,2025,10,11.462111939375786,10.3,True
00-0031687,R.Mostert,RB,2025,10,11.419508311005284,2.5,True
00-0036972,M.Jones,QB,2025,10,11.279551097788396,23.1,True
00-0039919,R.Odunze,WR,2025,10,11.248668044627186,20.6,True
00-0030279,K.Allen,WR,2025,10,11.198590843728443,3.9,True
00-0035676,A.Brown,WR,2025,10,11.120801199920635,3.3,True
00-0037239,C.Olave,WR,2025,10,11.090520589419647,21.4,True
00-0037545,R.Shaheed,WR,2025,10,11.070534076363273,3.3,True
00-0040238,L.Allen,RB,2025,10,11.016782742032992,1.6,True
00-0037261,K.Shakir,WR,2025,10,10.98292396372921,12.8,True
00-0034348,C.Sutton,WR,2025,10,10.81778963187566,5.4,True
00-0032268,M.Mariota,QB,2025,10,10.617610623014876,18.8,False
00-0035125,A.Ingold,RB,2025,10,10.471258425110994,0.6,True
00-0038117,W.Robinson,WR,2025,10,10.371755023345925,12.2,True
00-0036554,N.Collins,WR,2025,10,10.345444364917581,20.6,True
00-0037085,T.Badie,RB,2025,10,10.16660380055129,0.0,True
00-0034827,D.Moore,WR,2025,10,10.146674254220546,0.0,True
00-0036613,J.Waddle,WR,2025,10,10.144394258948331,19.4,True
00-0040704,D.Gabriel,QB,2025,10,10.102569335189592,20.1,False
00-0039868,T.Franklin,WR,2025,10,9.874282149004877,15.0,True
00-0033908,C.Kupp,WR,2025,10,9.861376118974656,9.4,True
00-0039923,J.McCarthy,QB,2025,10,9.784365651988214,14.7,False
00-0040743,T.Shough,QB,2025,10,9.784365651988214,19.6,False
00-0039849,M.Harrison,WR,2025,10,9.731137017463881,12.3,False
00-0031588,S.Diggs,WR,2025,10,9.72837345198662,15.6,True
00-0034960,J.Meyers,WR,2025,10,9.711106918422466,7.1,True
00-0038997,J.Downs,WR,2025,10,9.70735689838757,1.3,True
00-0039901,K.Coleman,WR,2025,10,9.625338609380604,13.6,True
00-0039342,X.Legette,WR,2025,10,9.568659628393501,0.0,True
00-0033119,J.Brissett,QB,2025,10,9.543182599616093,21.4,False
00-0029263,R.Wilson,QB,2025,10,9.488576496338844,3.0,False
00-0037664,A.Pierce,WR,2025,10,9.484283556326599,18.4,True
00-0039917,M.Penix,QB,2025,10,9.425711835937852,11.1,False
00-0040130,J.Higgins,WR,2025,10,9.3953582986438,15.2,True
00-0036727,A.Prentice,RB,2025,10,9.374037748235429,2.3,True
00-0035628,D.Johnson,RB,2025,10,9.371730605221337,0.1,True
00-0035208,O.Zaccheaus,WR,2025,10,9.151683489518087,1.5,True
00-0037240,J.Williams,WR,2025,10,9.144048572093086,23.9,True
00-0036212,T.Tagovailoa,QB,2025,10,9.086371890428056,10.9,False
00-0037837,C.Austin,WR,2025,10,8.955304870078955,3.4,False
00-0030565,G.Smith,QB,2025,10,8.769504879338566,4.4,False
00-0038979,C.Tillman,WR,2025,10,8.628063248132998,3.1,True
00-0033307,K.Bourne,WR,2025,10,8.62542610338324,2.9,True
00-0036407,J.Jeudy,WR,2025,10,8.419222311148793,19.8,True
00-0036259,J.Jennings,WR,2025,10,8.313598570730372,19.1,True
00-0033555,M.Hollins,WR,2025,10,8.230285657713516,16.6,True
00-0039739,R.Wilson,WR,2025,10,7.782328345024315,11.5,True
00-0040237,T.Johnson,WR,2025,10,7.701987460194514,20.2,True
00-0035535,D.Slayton,WR,2025,10,7.6282114075982905,12.9,True
00-0039880,M.Washington,WR,2025,10,7.582796220860867,9.3,True
00-0040727,T.Harris,WR,2025,10,7.4704142924173675,2.4,True
00-0038606,P.Washington,WR,2025,10,7.437553198937645,11.9,True
00-0039451,I.Williams,WR,2025,10,7.401578052256146,1.4,True
00-0040590,K.Mumpfield,WR,2025,10,7.401578052256146,0.0,True
00-0036898,D.Mills,QB,2025,10,7.35226368412777,25.7,False
00-0034775,C.Kirk,WR,2025,10,7.2600222727195165,1.3,True
00-0040138,J.Noel,WR,2025,10,7.257568959078,7.5,True
00-0038559,M.Wilson,WR,2025,10,7.233347711781544,7.4,True
00-0032385,S.Shepard,WR,2025,10,7.19322665688921,6.1,True
00-0040134,P.Bryant,WR,2025,10,7.128981394164079,5.3,True
00-0040735,L.Burden,WR,2025,10,7.112037901176715,8.1,True
00-0036550,R.Bateman,WR,2025,10,7.101761597439796,2.0,True
00-0040729,J.Bech,WR,2025,10,6.9626584906022595,0.0,True
00-0037741,J.Dotson,WR,2025,10,6.882806595239169,0.0,True
00-0039491,J.Coker,WR,2025,10,6.784246026101886,5.1,True
00-0040164,J.Lane,WR,2025,10,6.77036363387307,5.1,True
00-0036841,A.Trammell,WR,2025,10,6.63658038506357,5.3,True
00-0037291,J.Nailor,WR,2025,10,6.520648373742541,23.4,True
00-0035704,D.Lock,QB,2025,10,6.497534985748187,0.0,False
00-0036309,D.Mooney,WR,2025,10,6.4883314238316,2.7,True
00-0038124,C.Watson,WR,2025,10,6.338213527850572,6.5,True
00-0032464,K.Raymond,WR,2025,10,6.297992424656992,9.9,True
00-0036626,D.Brown,WR,2025,10,6.2944215449182055,0.0,True
00-0038393,D.Wicks,WR,2025,10,6.259354820586793,7.8,True
00-0038573,D.Davis,WR,2025,10,6.161268625210175,1.3,True
00-0040581,D.Thornton,WR,2025,10,6.028358605905502,1.4,True
00-0038621,D.Douglas,WR,2025,10,6.003080218639072,5.4,True
00-0040669,I.TeSlaa,WR,2025,10,5.985790358233689,2.1,True
00-0039424,D.Vele,WR,2025,10,5.950147816255758,2.5,True
00-0040582,A.Smith,WR,2025,10,5.936193470040736,1.3,True
00-0036980,E.Moore,WR,2025,10,5.928442906242007,2.8,True
00-0036182,N.Westbrook-Ikhine,WR,2025,10,5.899478028311354,1.7,True
00-0030564,D.Hopkins,WR,2025,10,5.866304192488849,3.6,True
00-0035500,G.Dortch,WR,2025,10,5.777184879560904,6.2,True
00-0033891,Z.Jones,WR,2025,10,5.528646061228095,0.0,True
00-0035021,A.Dulin,WR,2025,10,5.50342432883458,2.2,True
00-0037091,B.Melton,WR,2025,10,5.484284312824455,4.8,False
00-0038679,T.Shavers,WR,2025,10,5.4605017844589225,3.4,True
