season,week,model_actual,model_projected,oracle_actual,hindsight_actual,replacement_actual,vs_oracle_margin,vs_hindsight_margin,vs_replacement_margin,won_vs_oracle,won_vs_hindsight,won_vs_replacement,cumulative_win_rate_vs_oracle,cumulative_win_rate_vs_hindsight,cumulative_win_rate_vs_replacement
2025,1,65.9,109.13,147.4,65.9,50.6,-81.5,0.0,15.3,False,False,True,0.0,0.0,1.0
2025,2,104.3,103.52,184.7,60.8,65.8,-80.4,43.5,38.5,False,True,True,0.0,0.5,1.0
2025,3,70.8,95.63,184.4,96.5,81.2,-113.6,-25.7,-10.4,False,False,False,0.0,0.3333,0.6667
2025,4,132.1,94.74,183.3,62.6,47.5,-51.2,69.5,84.6,False,True,True,0.0,0.5,0.75
2025,5,103.7,95.19,170.5,94.8,58.4,-66.8,8.9,45.3,False,True,True,0.0,0.6,0.8
2025,6,91.1,100.2,181.7,95.7,39.0,-90.6,-4.6,52.1,False,False,True,0.0,0.5,0.8333
2025,7,117.5,96.99,193.4,68.2,35.6,-75.9,49.3,81.9,False,True,True,0.0,0.5714,0.8571
2025,8,131.6,104.28,179.5,104.0,38.6,-47.9,27.6,93.0,False,True,True,0.0,0.625,0.875
2025,9,115.5,102.26,191.9,71.8,20.9,-76.4,43.7,94.6,False,True,True,0.0,0.6667,0.8889
2025,10,134.2,93.47,192.3,92.3,34.4,-58.1,41.9,99.8,False,True,True,0.0,0.7,0.9
2025,11,128.0,100.14,190.2,118.6,26.4,-62.2,9.4,101.6,False,True,True,0.0,0.7273,0.9091
2025,12,86.8,95.72,197.7,81.4,46.3,-110.9,5.4,40.5,False,True,True,0.0,0.75,0.9167
2025,13,86.2,98.61,163.1,67.4,57.5,-76.9,18.8,28.7,False,True,True,0.0,0.7692,0.9231
2025,14,91.9,95.75,183.2,59.3,41.6,-91.3,32.6,50.3,False,True,True,0.0,0.7857,0.9286
2025,15,109.0,93.89,208.8,75.5,24.0,-99.8,33.5,85.0,False,True,True,0.0,0.8,0.9333
2025,16,118.1,94.37,203.6,104.7,46.6,-85.5,13.4,71.5,False,True,True,0.0,0.8125,0.9375
2025,17,97.6,97.2,183.3,125.5,67.8,-85.7,-27.9,29.8,False,False,True,0.0,0.7647,0.9412
2025,18,102.9,103.08,170.7,70.5,40.4,-67.8,32.4,62.5,False,True,True,0.0,0.7778,0.9444
2025,19,127.7,90.87,163.2,100.6,47.1,-35.5,27.1,80.6,False,True,True,0.0,0.7895,0.9474
2025,20,47.0,89.26,134.7,47.4,43.7,-87.7,-0.4,3.3,False,False,True,0.0,0.75,0.95
2025,21,128.6,79.4,129.3,52.6,58.6,-0.7,76.0,70.0,False,True,True,0.0,0.7619,0.9524
