season,week,model_actual,model_projected,oracle_actual,hindsight_actual,replacement_actual,vs_oracle_margin,vs_hindsight_margin,vs_replacement_margin,won_vs_oracle,won_vs_hindsight,won_vs_replacement,cumulative_win_rate_vs_oracle,cumulative_win_rate_vs_hindsight,cumulative_win_rate_vs_replacement
2024,1,128.7,109.14,170.6,128.7,59.1,-41.9,0.0,69.6,False,False,True,0.0,0.0,1.0
2024,2,84.1,90.81,180.5,68.3,59.6,-96.4,15.8,24.5,False,True,True,0.0,0.5,1.0
2024,3,124.3,98.76,197.4,80.0,60.3,-73.1,44.3,64.0,False,True,True,0.0,0.6667,1.0
2024,4,101.5,100.61,177.6,83.8,64.9,-76.1,17.7,36.6,False,True,True,0.0,0.75,1.0
2024,5,105.2,97.4,175.4,92.6,70.8,-70.2,12.6,34.4,False,True,True,0.0,0.8,1.0
2024,6,95.6,101.82,173.0,91.2,59.8,-77.4,4.4,35.8,False,True,True,0.0,0.8333,1.0
2024,7,104.0,106.64,166.4,96.0,25.0,-62.4,8.0,79.0,False,True,True,0.0,0.8571,1.0
2024,8,107.3,103.99,183.8,88.4,61.1,-76.5,18.9,46.2,False,True,True,0.0,0.875,1.0
2024,9,125.5,103.28,188.9,131.8,37.1,-63.4,-6.3,88.4,False,False,True,0.0,0.7778,1.0
2024,10,103.2,107.79,189.7,72.2,28.5,-86.5,31.0,74.7,False,True,True,0.0,0.8,1.0
2024,11,114.8,106.09,215.2,109.7,46.3,-100.4,5.1,68.5,False,True,True,0.0,0.8182,1.0
2024,12,84.3,99.07,187.2,110.2,68.8,-102.9,-25.9,15.5,False,False,True,0.0,0.75,1.0
2024,13,108.8,102.74,178.9,80.0,69.4,-70.1,28.8,39.4,False,True,True,0.0,0.7692,1.0
2024,14,128.0,105.87,225.0,79.0,95.1,-97.0,49.0,32.9,False,True,True,0.0,0.7857,1.0
2024,15,117.2,104.17,198.4,112.7,50.8,-81.2,4.5,66.4,False,True,True,0.0,0.8,1.0
2024,16,90.6,104.8,190.8,114.2,54.1,-100.2,-23.6,36.5,False,False,True,0.0,0.75,1.0
2024,17,109.6,103.78,192.3,109.1,38.1,-82.7,0.5,71.5,False,True,True,0.0,0.7647,1.0
2024,18,111.9,104.26,204.6,126.1,36.4,-92.7,-14.2,75.5,False,False,True,0.0,0.7222,1.0
2024,19,85.3,97.9,152.5,66.5,36.5,-67.2,18.8,48.8,False,True,True,0.0,0.7368,1.0
2024,20,154.9,100.47,165.9,108.9,69.3,-11.0,46.0,85.6,False,True,True,0.0,0.75,1.0
2024,21,122.7,88.51,158.1,82.0,75.1,-35.4,40.7,47.6,False,True,True,0.0,0.7619,1.0
2024,22,93.8,80.62,106.6,99.8,53.3,-12.8,-6.0,40.5,False,False,True,0.0,0.7273,1.0
