season,week,model_actual,model_projected,oracle_actual,hindsight_actual,replacement_actual,vs_oracle_margin,vs_hindsight_margin,vs_replacement_margin,won_vs_oracle,won_vs_hindsight,won_vs_replacement,cumulative_win_rate_vs_oracle,cumulative_win_rate_vs_hindsight,cumulative_win_rate_vs_replacement
2025,1,80.6,111.91,163.8,80.6,62.0,-83.2,0.0,18.6,False,False,True,0.0,0.0,1.0
2025,2,85.5,87.53,191.3,70.4,34.0,-105.8,15.1,51.5,False,True,True,0.0,0.5,1.0
2025,3,101.9,108.95,187.6,96.3,51.2,-85.7,5.6,50.7,False,True,True,0.0,0.6667,1.0
2025,4,145.4,111.05,187.3,71.5,72.2,-41.9,73.9,73.2,False,True,True,0.0,0.75,1.0
2025,5,132.9,113.78,176.9,95.6,48.9,-44.0,37.3,84.0,False,True,True,0.0,0.8,1.0
2025,6,86.9,115.9,191.1,90.6,46.7,-104.2,-3.7,40.2,False,False,True,0.0,0.6667,1.0
2025,7,143.6,112.07,212.7,83.2,56.9,-69.1,60.4,86.7,False,True,True,0.0,0.7143,1.0
2025,8,109.2,114.69,183.3,125.3,31.2,-74.1,-16.1,78.0,False,False,True,0.0,0.625,1.0
2025,9,116.0,117.82,214.3,74.0,73.6,-98.3,42.0,42.4,False,True,True,0.0,0.6667,1.0
2025,10,137.7,115.04,193.5,85.4,38.9,-55.8,52.3,98.8,False,True,True,0.0,0.7,1.0
2025,11,114.0,115.86,205.8,113.6,52.2,-91.8,0.4,61.8,False,True,True,0.0,0.7273,1.0
2025,12,132.0,111.89,207.1,94.2,45.7,-75.1,37.8,86.3,False,True,True,0.0,0.75,1.0
2025,13,85.5,115.85,167.8,72.0,83.5,-82.3,13.5,2.0,False,True,True,0.0,0.7692,1.0
2025,14,129.9,112.54,199.5,77.7,56.3,-69.6,52.2,73.6,False,True,True,0.0,0.7857,1.0
2025,15,126.4,107.08,222.2,109.1,47.5,-95.8,17.3,78.9,False,True,True,0.0,0.8,1.0
2025,16,104.7,111.46,204.5,152.2,38.3,-99.8,-47.5,66.4,False,False,True,0.0,0.75,1.0
2025,17,127.7,114.05,199.7,132.9,75.8,-72.0,-5.2,51.9,False,False,True,0.0,0.7059,1.0
2025,18,106.7,119.82,176.6,64.1,24.3,-69.9,42.6,82.4,False,True,True,0.0,0.7222,1.0
2025,19,116.9,101.84,167.0,115.6,106.4,-50.1,1.3,10.5,False,True,True,0.0,0.7368,1.0
2025,20,97.7,105.71,149.7,72.0,58.8,-52.0,25.7,38.9,False,True,True,0.0,0.75,1.0
2025,21,136.2,89.5,136.2,72.4,46.8,0.0,63.8,89.4,False,True,True,0.0,0.7619,1.0
2025,22,74.5,80.68,100.3,82.2,73.7,-25.8,-7.7,0.8,False,False,True,0.0,0.7273,1.0
