player_id,name,position,season,week,predicted_points,actual_fantasy_points,is_starter
00-0036223,J.Taylor,RB,2025,10,16.051024618515402,49.6,True
00-0038542,B.Robinson,RB,2025,10,15.590077688110052,10.8,True
00-0036355,J.Herbert,QB,2025,10,15.568507574952715,14.8,False
00-0034796,L.Jackson,QB,2025,10,15.374340076147874,14.7,False
00-0036389,J.Hurts,QB,2025,10,15.342634235665729,14.0,False
00-0034857,J.Allen,QB,2025,10,15.215626927255895,21.3,False
00-0037840,K.Williams,RB,2025,10,15.1526593463075,22.4,True
00-0040691,J.Dart,QB,2025,10,14.553530206775275,28.3,False
00-0038543,J.Smith-Njigba,WR,2025,10,14.53213348949878,20.3,False
00-0039851,D.Maye,QB,2025,10,14.499888803974425,18.2,False
00-0036264,J.Love,QB,2025,10,14.0824200909436,9.8,False
00-0039040,D.Achane,RB,2025,10,14.028462732351725,40.5,True
00-0036971,T.Lawrence,QB,2025,10,13.659711903545125,11.8,False
00-0039139,J.Gibbs,RB,2025,10,13.649109705471641,38.2,True
00-0037248,J.Cook,RB,2025,10,13.42121974782986,12.7,True
00-0035710,D.Jones,QB,2025,10,13.170866299939336,17.5,False
00-0026498,M.Stafford,QB,2025,10,13.116465665390372,27.2,False
00-0039075,P.Nacua,WR,2025,10,12.963160835535135,17.4,True
00-0036963,A.St. Brown,WR,2025,10,12.897805797332865,16.8,True
00-0034855,B.Mayfield,QB,2025,10,12.882031311598238,22.9,False
00-0039732,B.Nix,QB,2025,10,12.84391934476859,6.0,False
00-0040122,A.Jeanty,RB,2025,10,12.782108382927865,15.3,True
00-0036912,D.Smith,WR,2025,10,12.531539337537014,16.9,True
00-0033106,J.Goff,QB,2025,10,12.374996928920806,24.8,False
00-0036322,J.Jefferson,WR,2025,10,12.352018917008714,7.7,True
00-0037740,G.Wilson,WR,2025,10,12.337069639734269,0.0,False
00-0023459,A.Rodgers,QB,2025,10,12.046078101329508,6.4,False
00-0036945,J.Fields,QB,2025,10,12.029142020112218,7.2,False
00-0037256,R.White,RB,2025,10,11.991595943324173,10.4,True
00-0034869,S.Darnold,QB,2025,10,11.748086997332859,9.1,False
00-0036275,D.Swift,RB,2025,10,11.618987541608792,14.8,True
00-0039918,C.Williams,QB,2025,10,11.611984456492852,25.3,False
00-0037228,J.Warren,RB,2025,10,11.585723031526307,11.1,False
00-0034844,S.Barkley,RB,2025,10,11.487411442801553,13.1,True
