player_id,position,cold_start,step8_pace,step8_per_game,train_seasons,team,snap_share,actual,prior_ppg,season,level,team_share,position_mean,blend_pace_team,coldstart_ramp,depth_rank,rank_prior,pace_x_rank,matchup,hurdle,matchup_train_rows,matchup_alpha
00-0019596,QB,0,18.424316639328577,20.772221376933697,2,TB,1.0,27.2,21.005000000000003,2021,21.77,21.005,14.28203125,19.714658319664288,,1.0,,,,,,
00-0022924,QB,0,14.593320059077527,17.24681776119397,2,PIT,1.0,12.0,18.2,2021,18.329411764705885,18.2,14.28203125,16.396660029538765,,1.0,,,,,,
00-0023459,QB,0,16.304905245151886,20.400033485133314,2,GB,0.7368421052631579,1.3,24.022222222222222,2021,24.005555555555556,24.022222222222222,14.28203125,20.163563733687056,,1.0,,,,,,
00-0023682,QB,0,13.273437373468205,18.269808520722147,2,WAS,0.2909090909090909,0.7,16.41111111111111,2021,13.023529411764706,12.165383891016385,14.28203125,12.719410632242294,,1.0,,,,,,
00-0024243,TE,0,2.938959203084122,3.389959053226168,2,GB,0.2631578947368421,2.9,2.78125,2021,15.86111111111111,2.78125,3.6299703264094956,2.8601046015420613,,1.0,,,,,,
00-0026035,WR,0,4.719648714887883,6.112846811368513,2,HOU,0.21794871794871795,14.4,7.6,2021,43.675,8.996916821954938,7.049357798165138,6.858282768421411,,,,,,,,
00-0026143,QB,0,17.932900681228418,18.600242026581885,2,ATL,0.9722222222222222,7.4,17.51875,2021,17.49375,17.51875,14.28203125,17.725825340614207,,1.0,,,,,,
00-0026498,QB,0,13.179300308925548,15.698883556624802,2,LA,1.0,24.3,16.03125,2021,15.244444444444444,14.455452865064695,14.28203125,13.81737658699512,,1.0,,,,,,
00-0027061,TE,0,4.270255222489147,5.172183374270225,2,LAC,0.5802469135802469,10.6,8.305882352941175,2021,13.8625,9.968856633562515,3.6299703264094956,7.1195559280258305,,1.0,,,,,,
00-0027656,TE,0,7.002760532610421,8.63926562268617,2,TB,0.8769230769230769,29.0,9.015,2021,16.535,9.015,3.6299703264094956,8.00888026630521,,1.0,,,,,,
00-0027685,WR,0,7.79630906448654,9.14711790717392,2,BUF,0.9294117647058824,9.2,11.11875,2021,53.35263157894737,18.802363624989574,7.049357798165138,13.299336344738057,,1.0,,,,,,
00-0027696,TE,0,6.076545855387517,6.632946131891688,2,CHI,0.2028985507246377,2.1,9.064705882352941,2021,13.658823529411764,9.064705882352941,3.6299703264094956,7.570625868870229,,2.0,,,,,,
00-0027793,WR,0,7.2290371548233585,9.528672801009952,2,TB,0.6461538461538462,23.7,13.4,2021,43.62,13.4,7.049357798165138,10.314518577411679,,2.0,,,,,,
00-0027942,WR,0,6.478346325693165,7.443972342397211,2,ARI,0.7971014492753623,4.5,6.95625,2021,39.5125,7.484243107556161,7.049357798165138,6.981294716624663,,1.0,,,,,,
00-0027944,WR,0,14.328694393278433,17.240193950741162,2,TEN,0.78125,5.9,16.233333333333334,2021,34.247058823529414,12.025284230225822,7.049357798165138,13.176989311752127,,1.0,,,,,,
00-0027966,RB,0,6.862347145588088,8.408064308898615,2,HOU,0.46153846153846156,14.5,4.809090909090909,2021,17.93125,3.9840713669031165,8.53953488372093,5.4232092562456025,,1.0,,,,,,
00-0027973,QB,0,11.013396806785574,12.77281531771253,2,CHI,0.927536231884058,5.5,12.445454545454545,2021,15.858823529411765,10.889394062327126,14.28203125,10.95139543455635,,1.0,,,,,,
00-0027981,TE,0,3.1213569653073687,3.7720913164865113,2,NYG,0.7704918032786885,2.8,5.45,2021,11.2375,4.713371813371814,3.6299703264094956,3.9173643893395913,,1.0,,,,,,
00-0028002,WR,0,5.831663608132274,7.353410343521967,2,GB,0.2631578947368421,4.3,10.01,2021,42.25555555555556,9.684673408382626,7.049357798165138,7.75816850825745,,2.0,,,,,,
00-0028097,TE,0,0.14951697225602006,0.2129968739963832,2,ATL,0.2916666666666667,0.0,1.95,2021,10.49375,2.4811323388640716,3.6299703264094956,1.3153246555600457,,2.0,,,,,,
00-0029000,WR,0,8.545559948629696,9.908138261879941,2,BUF,0.9058823529411765,14.0,13.11111111111111,2021,53.35263157894737,13.11111111111111,7.049357798165138,10.828335529870404,,1.0,,,,,,
00-0029119,TE,0,1.4473056906308905,2.251881001344241,2,LV,0.12790697674418605,0.0,0.39999999999999997,2021,21.49375,0.39999999999999997,3.6299703264094956,0.9236528453154452,,3.0,,,,,,
00-0029263,QB,0,21.95261200427483,23.32732015130415,2,SEA,1.0,27.1,22.094117647058823,2021,22.158823529411762,22.094117647058823,14.28203125,22.023364825666825,,1.0,,,,,,
00-0029293,WR,0,11.069073474275525,13.490647383912066,2,JAX,0.9054054054054054,18.7,14.2375,2021,38.89375,15.009310943588007,7.049357798165138,13.039192208931766,,1.0,,,,,,
00-0029604,QB,0,14.543098475214274,20.32247691710703,2,MIN,1.0,22.0,18.5125,2021,18.5125,18.5125,14.28203125,16.527799237607137,,1.0,,,,,,
00-0029632,WR,0,4.208625512422284,4.963996674480925,2,SF,0.36363636363636365,1.7,4.2,2021,30.743750000000002,4.773647781999468,7.049357798165138,4.491136647210876,,2.0,,,,,,
00-0029701,QB,0,17.960535035267107,20.410986776767754,2,TEN,1.0,14.2,20.676470588235293,2021,20.75294117647059,20.676470588235293,14.28203125,19.318502811751202,,1.0,,,,,,
00-0029738,TE,0,4.098176206208664,4.816602471648778,2,DET,0.29347826086956524,1.2,4.7625,2021,13.68125,4.995262338284619,3.6299703264094956,4.546719272246642,,2.0,,,,,,
00-0030035,WR,0,12.609865038822665,14.528616853865751,2,MIN,0.9397590361445783,30.2,16.8,2021,37.95,16.8,7.049357798165138,14.704932519411333,,1.0,,,,,,
00-0030061,TE,0,7.98312938471456,8.934079532817448,2,PHI,0.5774647887323944,5.4,6.863636363636363,2021,16.85625,6.863636363636363,3.6299703264094956,7.423382874175461,,1.0,,,,,,
00-0030108,TE,0,1.5813356580348508,2.026513835539668,2,NYJ,0.47692307692307695,5.2,1.1733333333333333,2021,6.4625,1.1733333333333333,3.6299703264094956,1.377334495684092,,2.0,,,,,,
00-0030155,TE,0,0.8834504188013175,1.0483475515010987,2,ARI,0.3333333333333333,0.0,0.7666666666666667,2021,9.46875,0.5314787898363481,3.6299703264094956,0.7074646043188328,,2.0,,,,,,
00-0030181,TE,0,5.5465192747562915,6.668219936371441,2,IND,0.5921052631578947,5.1,5.606666666666667,2021,15.376470588235293,5.6066666666666665,3.6299703264094956,5.576592970711479,,1.0,,,,,,
00-0030279,WR,0,13.685559757131204,17.804931488205835,2,LAC,0.8271604938271605,19.0,17.364285714285714,2021,37.2875,17.364285714285714,7.049357798165138,15.524922735708458,,1.0,,,,,,
00-0030288,RB,0,4.886731356925521,7.741843540662514,2,HOU,0.1282051282051282,1.6,10.76,2021,17.93125,7.6563591269841265,8.53953488372093,6.271545241954824,,2.0,,,,,,
00-0030431,WR,0,11.302194720543588,12.75937166965394,2,LA,0.7692307692307693,12.4,15.133333333333333,2021,38.56666666666667,15.133333333333333,7.049357798165138,13.217764026938461,,1.0,,,,,,
