season,week,model_actual,model_projected,oracle_actual,hindsight_actual,replacement_actual,vs_oracle_margin,vs_hindsight_margin,vs_replacement_margin,won_vs_oracle,won_vs_hindsight,won_vs_replacement,cumulative_win_rate_vs_oracle,cumulative_win_rate_vs_hindsight,cumulative_win_rate_vs_replacement
2019,1,117.3,105.89,226.7,117.3,62.5,-109.4,0.0,54.8,False,False,True,0.0,0.0,1.0
2019,2,80.3,94.73,173.2,104.4,51.5,-92.9,-24.1,28.8,False,False,True,0.0,0.0,1.0
2019,3,101.0,115.7,229.6,96.9,58.6,-128.6,4.1,42.4,False,True,True,0.0,0.3333,1.0
2019,4,116.9,111.0,195.1,73.3,88.6,-78.2,43.6,28.3,False,True,True,0.0,0.5,1.0
2019,5,132.4,108.77,254.3,129.0,45.7,-121.9,3.4,86.7,False,True,True,0.0,0.6,1.0
2019,6,122.2,109.34,190.2,101.7,46.7,-68.0,20.5,75.5,False,True,True,0.0,0.6667,1.0
2019,7,134.2,104.59,214.3,57.8,40.6,-80.1,76.4,93.6,False,True,True,0.0,0.7143,1.0
2019,8,125.7,109.52,209.2,84.0,43.2,-83.5,41.7,82.5,False,True,True,0.0,0.75,1.0
2019,9,130.5,101.77,202.5,65.9,52.4,-72.0,64.6,78.1,False,True,True,0.0,0.7778,1.0
2019,10,144.2,108.46,193.0,84.9,70.1,-48.8,59.3,74.1,False,True,True,0.0,0.8,1.0
2019,11,132.9,107.28,174.7,108.2,54.9,-41.8,24.7,78.0,False,True,True,0.0,0.8182,1.0
2019,12,170.4,105.69,208.8,114.7,58.6,-38.4,55.7,111.8,False,True,True,0.0,0.8333,1.0
2019,13,88.3,111.88,183.1,85.6,63.1,-94.8,2.7,25.2,False,True,True,0.0,0.8462,1.0
2019,14,122.2,107.9,200.4,93.8,41.5,-78.2,28.4,80.7,False,True,True,0.0,0.8571,1.0
2019,15,140.5,109.45,210.4,103.9,47.8,-69.9,36.6,92.7,False,True,True,0.0,0.8667,1.0
2019,16,157.1,107.64,205.6,158.2,53.5,-48.5,-1.1,103.6,False,False,True,0.0,0.8125,1.0
2019,17,101.5,112.4,184.2,78.6,38.7,-82.7,22.9,62.8,False,True,True,0.0,0.8235,1.0
2019,18,72.4,93.7,143.3,84.8,31.5,-70.9,-12.4,40.9,False,False,True,0.0,0.7778,1.0
2019,19,134.2,101.21,197.2,87.9,52.1,-63.0,46.3,82.1,False,True,True,0.0,0.7895,1.0
2019,20,114.2,94.87,167.7,99.5,47.7,-53.5,14.7,66.5,False,True,True,0.0,0.8,1.0
2019,21,116.8,83.78,117.4,102.8,54.7,-0.6,14.0,62.1,False,True,True,0.0,0.8095,1.0
