position,season,n_estimators,max_depth,learning_rate,num_leaves,colsample_bytree,min_child_samples,reg_alpha,reg_lambda
TE,2023,600,4,0.012273060347982005,83,0.6436438840606946,39,0.0014182523079585873,1.397716920481274
TE,2024,600,3,0.011545310056048946,19,0.7959578486978158,39,1.285490397584688,4.652364980456228
TE,2025,700,4,0.008356351427586253,124,0.4454876746985632,49,1.7837610903823702,1.299895891205176e-07
