position,season,model,mae,rmse,medae,r2,spearman,bias,n,p25_pinball,p25_coverage,p50_pinball,p50_coverage,p75_pinball,p75_coverage,p90_pinball,p90_coverage
QB,2023,baseline_recent_game,7.152118644067798,9.372714787396216,5.6,-0.1149332067229043,0.4406312131415555,-0.0391242937853107,708,,,,,,,,
QB,2023,baseline_rolling3,6.233286252354049,7.95749675156461,5.216666666666667,0.1963425272755398,0.5029430269053503,0.0071563088512242,708,,,,,,,,
QB,2023,baseline_rolling5,6.011480696798494,7.671862226932472,4.69,0.2530016587542419,0.5208658519836793,-0.0085616760828625,708,,,,,,,,
QB,2023,baseline_position_role,7.389432165428576,8.940458228197272,6.644657639519668,-0.0128394758947516,-0.0486129758980188,0.981157706085584,718,,,,,,,,
QB,2023,existing_methodology,6.1172947867966325,7.494219876406885,5.505444884615777,0.2883377573844119,0.5226979053904175,0.4436877875959159,718,,,,,,,,
QB,2023,A_gbm_mse,5.948034915340034,7.39166751870759,5.106506699599567,0.3076815417296191,0.5480911035878464,0.4347293844008935,718,,,,,,,,
QB,2023,B_gbm_huber,6.309870422292616,7.675669567636724,5.726025106241079,0.2534591037452721,0.5394467260296248,0.7123044101660916,718,,,,,,,,
QB,2023,C_gbm_mae,5.919961233135982,7.394263610201574,5.314133331139937,0.3071951460191495,0.5455453860587194,-0.2576218739557541,718,,,,,,,,
QB,2023,D_hurdle,5.915520068446115,7.379488877181573,5.09916336184728,0.3099610144903363,0.5437176860188792,0.6489728284886411,718,,,,,,,,
QB,2023,D_hurdle_t5,5.898955548341512,7.429068228008419,4.930955777053204,0.3006577655224489,0.5462165386131063,-0.3211181959152631,718,,,,,,,,
QB,2023,F_yeojohnson_huber,5.951451583337786,7.473971578322654,4.996199652298853,0.2921781791125916,0.5407726033786493,-0.6315445129095296,718,,,,,,,,
QB,2023,E_quantile_gbm,5.926834166044729,7.394679122608094,5.079267636914131,0.3071172810374444,0.543657560787629,-0.0998254707716798,718,2.300736492054413,0.3161559888579387,2.9634170830223643,0.5250696378830083,2.4377682247979826,0.713091922005571,1.408999658184506,0.8398328690807799
QB,2024,baseline_recent_game,7.413380281690141,9.751636193516669,6.049999999999999,-0.0826791030273335,0.4590114149950393,0.066056338028169,710,,,,,,,,
QB,2024,baseline_rolling3,6.475046948356807,8.376964161332577,5.249999999999998,0.2010527832742177,0.5109486564453712,0.1173943661971833,710,,,,,,,,
QB,2024,baseline_rolling5,6.441291079812206,8.280386413382505,5.34,0.2193686625981773,0.505170410151795,0.1675821596244132,710,,,,,,,,
QB,2024,baseline_position_role,7.688593813937952,9.38837580605539,7.025950262173391,-0.0019575602154353,-0.1389430915021618,0.3650699656452221,720,,,,,,,,
QB,2024,existing_methodology,6.234642602276563,7.796175552053724,5.461840036037215,0.3090738737518554,0.5520820297972822,0.6739758157304695,720,,,,,,,,
QB,2024,A_gbm_mse,6.182670934045637,7.696288736282108,5.298740340553543,0.3266651386251162,0.5697607746730524,1.0863501123482706,720,,,,,,,,
QB,2024,B_gbm_huber,6.620612763957486,8.117035173793509,5.931843400492799,0.2510320197564439,0.5533348353940206,0.2662403218851537,720,,,,,,,,
QB,2024,C_gbm_mae,6.153720669956472,7.6960176350202865,5.254506784640864,0.326712574141581,0.5568790087048117,0.3369167309120949,720,,,,,,,,
QB,2024,D_hurdle,6.282320044161536,7.772587955107554,5.446715262343783,0.3132483905713042,0.5738254254859095,1.3883050673679236,720,,,,,,,,
QB,2024,D_hurdle_t5,6.314739049387312,7.870863717153561,5.400900378568642,0.2957721747114972,0.5515969673307467,1.2871086441560162,720,,,,,,,,
QB,2024,F_yeojohnson_huber,6.041390338755519,7.6294376402310755,5.035404190542515,0.3383117073817979,0.5664657323002062,0.3884202141324608,720,,,,,,,,
QB,2024,E_quantile_gbm,6.120346912028014,7.676326995778631,5.26889634004888,0.3301534446035006,0.5716940957643597,0.5231610287076763,720,2.226761871507782,0.3277777777777778,3.060173456014007,0.575,2.5921217405030896,0.7430555555555556,1.5183861488058887,0.8611111111111112
QB,2025,baseline_recent_game,7.852865329512894,10.382987656005206,5.999999999999999,-0.245134849554043,0.3833371960214282,0.0626074498567335,698,,,,,,,,
QB,2025,baseline_rolling3,6.862535816618911,8.871062067189945,5.300000000000002,0.091085673622379,0.4361203264348971,0.2157831900668579,698,,,,,,,,
QB,2025,baseline_rolling5,6.839195319961796,8.670527072368273,5.5500000000000025,0.1317141764769098,0.4307817352453416,0.2697397325692455,698,,,,,,,,
QB,2025,baseline_position_role,7.852861177247234,9.34297588710362,7.429048744969432,-0.0010240752308663,-0.023771093734228,0.2916010229124258,708,,,,,,,,
QB,2025,existing_methodology,6.686321676834656,8.538033746190242,5.448812940607464,0.1640317165650133,0.4863339104827485,-2.757573359317256,708,,,,,,,,
QB,2025,A_gbm_mse,6.462798108069612,8.283172738809618,5.134303855934355,0.213194289530885,0.4943223270720535,-1.5575349389434248,708,,,,,,,,
QB,2025,B_gbm_huber,6.8273577071564855,8.169820979432647,6.20652767207307,0.2345811612216185,0.5055843966184427,-0.0144519890840734,708,,,,,,,,
QB,2025,C_gbm_mae,6.402865305823733,8.2109781625293,5.275800542451198,0.2268498208289207,0.5013446305426792,-1.881722338595476,708,,,,,,,,
QB,2025,D_hurdle,6.9360593375737,9.013605138224136,5.478152772727206,0.0683106644775684,0.449752965750124,-2.03260472767653,708,,,,,,,,
QB,2025,D_hurdle_t5,6.637933574201791,8.649024577432806,4.992061122726252,0.1421559781594692,0.4747427513066703,-2.2135206530285947,708,,,,,,,,
QB,2025,F_yeojohnson_huber,6.416649950014786,8.26707343657915,4.936506872469467,0.2162498126783592,0.4976008280679931,-1.5497903514794202,708,,,,,,,,
QB,2025,E_quantile_gbm,6.562320137811254,8.391512119331468,5.304351341691506,0.1924777101042041,0.4884789947720189,-2.1994008120049404,708,2.298625682370309,0.2598870056497175,3.281160068905627,0.4350282485875706,2.9328998440190586,0.6257062146892656,1.7701723228952526,0.7994350282485876
RB,2023,baseline_recent_game,5.304899328859061,7.678262264952662,3.4000000000000004,0.039992314063494,0.5927430892412933,-0.0342953020134228,1490,,,,,,,,
RB,2023,baseline_rolling3,4.722539149888143,6.649675957746181,3.299999999999998,0.2799713280918106,0.6420768340702984,-0.0561856823266217,1490,,,,,,,,
RB,2023,baseline_rolling5,4.550835570469799,6.405768393839322,3.1499999999999995,0.331823356738907,0.6570224284342415,-0.0244619686800894,1490,,,,,,,,
RB,2023,baseline_position_role,6.265362762948651,7.829389050222727,5.841147250147841,-0.0027656432169516,-0.0559833287797236,0.3866665072814143,1515,,,,,,,,
RB,2023,existing_methodology,4.531037604733248,6.067403627017529,3.598338993809881,0.3977879086067563,0.6855469592979148,0.4460637153575493,1515,,,,,,,,
RB,2023,A_gbm_mse,4.3556618034579495,5.986029236321705,3.272609747669781,0.4138330001942443,0.7020941243133212,0.1855315335494939,1515,,,,,,,,
RB,2023,B_gbm_huber,4.496899877838615,6.313467570008928,3.251157573978153,0.3479519424845234,0.6938936639645599,-0.757546988778697,1515,,,,,,,,
RB,2023,C_gbm_mae,4.156253488409972,6.034781604808328,2.845446359167024,0.4042462109474077,0.7027837766954473,-0.8930027227991854,1515,,,,,,,,
RB,2023,D_hurdle,4.359481078131701,5.969654236536358,3.389117728527058,0.4170355759307075,0.7025291850586469,0.1369689091984419,1515,,,,,,,,
RB,2023,D_hurdle_t5,4.215559961190922,6.029419574785624,2.887409890298927,0.4053044200904582,0.6977916120154443,-0.5568532757569441,1515,,,,,,,,
RB,2023,F_yeojohnson_huber,4.1767928785962445,6.114056550014995,2.765415758415056,0.3884913565282971,0.6980159133753652,-1.1274760424401673,1515,,,,,,,,
RB,2023,E_quantile_gbm,4.163167766101917,6.044438093135682,2.832049537807733,0.4023381080207675,0.7013654590604829,-0.9631166146325983,1515,1.4216441401921518,0.2983498349834984,2.0815838830509583,0.5254125412541254,1.948514054517113,0.7636963696369637,1.2504984447921463,0.8897689768976897
RB,2024,baseline_recent_game,5.540297498309669,7.714051613263243,3.8,0.0933240191041429,0.5844915653108895,0.0395537525354969,1479,,,,,,,,
RB,2024,baseline_rolling3,4.809882803696191,6.623078417052629,3.433333333333337,0.3316455801560911,0.6532780633663577,0.0449064683344603,1479,,,,,,,,
RB,2024,baseline_rolling5,4.717405904890692,6.434592476281034,3.4200000000000035,0.3691456183593948,0.6613276448153287,0.0543452783412215,1479,,,,,,,,
RB,2024,baseline_position_role,6.527213490533975,8.087134801633399,6.12726571439276,-0.0002311978829232,-0.0334653718002341,0.101479861016562,1500,,,,,,,,
RB,2024,existing_methodology,4.676354333928947,6.242880009300034,3.6344737464973114,0.4039523127391254,0.6748560115411417,0.0625914992150204,1500,,,,,,,,
RB,2024,A_gbm_mse,4.608133958230601,6.228228122407505,3.453743269080705,0.406746848258766,0.6858782781947571,0.2461887271475343,1500,,,,,,,,
RB,2024,B_gbm_huber,4.660545348671853,6.524325605628164,3.3659669077601126,0.3489980554981247,0.6868228937787115,-1.1453412679948491,1500,,,,,,,,
RB,2024,C_gbm_mae,4.333797135640442,6.197621282172946,2.8812825228419,0.4125632663183524,0.6987532804380392,-1.0281141687430084,1500,,,,,,,,
RB,2024,D_hurdle,4.595966645854877,6.256492908816849,3.4430817481152776,0.4013500574733963,0.6873362184866769,0.1393023832378196,1500,,,,,,,,
RB,2024,D_hurdle_t5,4.523676055928941,6.2071571533521785,3.334704132713355,0.410754175293758,0.6877664065003605,-0.0771741771932072,1500,,,,,,,,
RB,2024,F_yeojohnson_huber,4.364722660158303,6.216111977494911,2.9312082146608387,0.4090527848587622,0.6947020432242653,-0.8703360763455004,1500,,,,,,,,
RB,2024,E_quantile_gbm,4.3621558091569765,6.2002653663286935,2.865765112988256,0.4120619244595525,0.6961562255694561,-0.9285159414025532,1500,1.489593199802475,0.3193333333333333,2.1810779045784883,0.532,2.050203001443752,0.7373333333333333,1.28559430313293,0.8833333333333333
RB,2025,baseline_recent_game,5.78005249343832,8.460532890894063,3.799999999999997,-0.0482513444828731,0.5770872944209169,0.0338582677165354,1524,,,,,,,,
RB,2025,baseline_rolling3,4.938156167979002,7.001172164180743,3.466666666666667,0.2821866905325328,0.6485816471193829,0.0626749781277339,1524,,,,,,,,
RB,2025,baseline_rolling5,4.757479221347332,6.685046153675504,3.3400000000000003,0.3455464742086808,0.6645853685164392,0.0613527996500436,1524,,,,,,,,
RB,2025,baseline_position_role,6.433378803145721,8.2317822664586,6.049170264890522,-0.0005729462009662,-0.0636356637414412,0.1816933504005662,1552,,,,,,,,
RB,2025,existing_methodology,4.515421542933889,6.652694082575615,2.9928027983867063,0.346484167697997,0.6657043456317525,-1.5931864206988005,1552,,,,,,,,
RB,2025,A_gbm_mse,4.739710735549325,6.984611938359477,3.06403265498101,0.2796466658350089,0.6253320354336591,-2.2872459542587533,1552,,,,,,,,
RB,2025,B_gbm_huber,4.833205759478457,7.290344162540124,3.003080038778544,0.2152034797445555,0.6256658720477771,-2.580980843583118,1552,,,,,,,,
RB,2025,C_gbm_mae,5.18425559658909,7.934139214420178,3.0241154862763824,0.0704759313158673,0.5841176277957255,-3.745593333581565,1552,,,,,,,,
RB,2025,D_hurdle,5.66486967179738,8.651586530611983,3.305905034983049,-0.1052296276511175,0.3795934608833261,-3.609089939524165,1552,,,,,,,,
RB,2025,D_hurdle_t5,5.21433352455916,7.905603297357327,3.0027957784832795,0.0771501580827189,0.5562316083990194,-3.811917314568355,1552,,,,,,,,
RB,2025,F_yeojohnson_huber,5.31722125890658,8.164302189015816,3.0078816904966974,0.0157642199464179,0.5819926701311515,-4.120770303499644,1552,,,,,,,,
RB,2025,E_quantile_gbm,5.02956386197821,7.722494111133185,2.8570031452548115,0.1194050746776714,0.6158620911278101,-3.588430339746058,1552,1.683447219482327,0.1630154639175257,2.514781930989105,0.3395618556701031,2.564810782916287,0.5599226804123711,2.0215585605107376,0.7126288659793815
WR,2023,baseline_recent_game,5.354647377938517,7.903011992483966,3.5,-0.0357694563012718,0.5395836680277588,0.0010849909584086,2765,,,,,,,,
WR,2023,baseline_rolling3,4.566268836648583,6.568908216264485,3.1,0.28441009443423,0.6213070554772783,0.0102712477396022,2765,,,,,,,,
WR,2023,baseline_rolling5,4.478477998794455,6.353478707508123,3.16,0.3305764667630493,0.6344490794297382,0.0355412899336949,2765,,,,,,,,
WR,2023,baseline_position_role,6.138504522997623,7.7615082606358685,5.759449078987344,-0.0049534495028114,0.0015536710213811,0.5478370784277449,2812,,,,,,,,
WR,2023,existing_methodology,4.326939657896176,6.007690180564082,3.1599097107453558,0.3978998259361415,0.6682511977307272,0.0327832242193589,2812,,,,,,,,
WR,2023,A_gbm_mse,4.230249414524639,5.982423052403888,3.0496399295750023,0.4029537983244854,0.6904990972414289,0.0635227479401953,2812,,,,,,,,
WR,2023,B_gbm_huber,4.223486037328176,6.25207662122908,2.847188879401994,0.3479178969971237,0.6866861826449686,-0.9845988823483274,2812,,,,,,,,
WR,2023,C_gbm_mae,4.009763186833403,6.058273372107504,2.5572500907073685,0.3877180875491712,0.6920369930684755,-1.0782416693521697,2812,,,,,,,,
WR,2023,D_hurdle,4.253744910239558,5.997743278972239,3.095261605650085,0.3998919636782687,0.6887813926716878,0.0788192354382729,2812,,,,,,,,
WR,2023,D_hurdle_t5,4.031493764522946,6.03530939593574,2.539966610381076,0.3923510178432204,0.6938207054150669,-0.8832757985201907,2812,,,,,,,,
WR,2023,F_yeojohnson_huber,4.053627510784827,6.207356653900869,2.442193483058732,0.3572129840900565,0.6905424128498409,-1.4907696736848992,2812,,,,,,,,
WR,2023,E_quantile_gbm,4.020306537752342,6.044061176314152,2.5870838635149327,0.3905874408983633,0.6888597674073241,-0.981748189139785,2812,1.3330306463618191,0.3602418207681365,2.010153268876171,0.5408961593172119,1.8986862219646583,0.7645803698435277,1.2174515639945196,0.8940256045519204
WR,2024,baseline_recent_game,5.404194506310319,7.9875290231751475,3.3999999999999986,-0.0474056598183003,0.5601683429646608,-0.0295100222717149,2694,,,,,,,,
WR,2024,baseline_rolling3,4.671597376886909,6.692941825816069,3.033333333333333,0.2645991655588235,0.6285077998250507,-0.041443949517446,2694,,,,,,,,
