position,season,window,actual_years,n_train_rows,weighting,model,mae,rmse,medae,r2,spearman,bias,n
QB,2023,3y,3,2060,n/a,existing_methodology,6.098004772930099,7.496442319821908,5.430006031268194,0.28791560174703035,0.5230352099921912,0.3311857013758028,718
QB,2023,3y,3,2060,none,B_gbm_huber,6.339604987560509,7.687111716929289,5.951201668884222,0.2512317021792153,0.5211705620830194,0.2891284126140248,718
QB,2023,3y,3,2060,none,F_yeojohnson_huber,6.021433808283451,7.5097419097089535,5.007249437078986,0.28538671380301317,0.5345076969359326,-0.8448769935612302,718
QB,2023,3y,3,2060,linear,B_gbm_huber,6.347632276308139,7.693125325672924,5.814710189500753,0.2500597247153322,0.5088540166590866,0.16279734218453257,718
QB,2023,3y,3,2060,linear,F_yeojohnson_huber,6.199452382701953,7.775129698734015,5.002290754055279,0.23398663386893415,0.5189846882567641,-1.9628390804256204,718
QB,2023,3y,3,2060,exponential,B_gbm_huber,6.321668585268654,7.665340347354877,5.74808585983137,0.25546700593329796,0.5123603037609533,0.18561538657998963,718
QB,2023,3y,3,2060,exponential,F_yeojohnson_huber,6.341313308291411,7.926235064921591,5.297613430244765,0.20392321598308594,0.5067707719422051,-2.2592534720701614,718
QB,2023,5y,5,3338,n/a,existing_methodology,6.1172947867966325,7.494219876406885,5.505444884615777,0.2883377573844119,0.5226979053904175,0.44368778759591593,718
QB,2023,5y,5,3338,none,B_gbm_huber,6.309870422292616,7.675669567636724,5.726025106241079,0.25345910374527214,0.5394467260296248,0.7123044101660916,718
QB,2023,5y,5,3338,none,F_yeojohnson_huber,5.951451583337786,7.473971578322654,4.996199652298853,0.2921781791125916,0.5407726033786493,-0.6315445129095296,718
QB,2023,5y,5,3338,linear,B_gbm_huber,6.300840120661316,7.677840733440178,5.813465600644733,0.25303670585748317,0.5332850219093768,0.36926034718022227,718
QB,2023,5y,5,3338,linear,F_yeojohnson_huber,5.964884607538245,7.503700225951729,5.067919287420622,0.28653608239831196,0.5302288684002209,-0.731279817897633,718
QB,2023,5y,5,3338,exponential,B_gbm_huber,6.28149231404978,7.66659016912627,5.831207825771248,0.25522419625640036,0.5309985280829134,0.2666750601034781,718
QB,2023,5y,5,3338,exponential,F_yeojohnson_huber,6.036300893272383,7.569700218962851,4.962574862638354,0.27393011471316653,0.5279799837396358,-1.1308212883949262,718
QB,2023,7y,7,5520,n/a,existing_methodology,6.14581840795995,7.506507332411081,5.477289889623115,0.28600217413290685,0.5228009471685978,0.6868749280320608,718
QB,2023,7y,7,5520,none,B_gbm_huber,6.1891629139665465,7.595005099760287,5.425725308804695,0.26906761784776667,0.5582909894844874,-0.6623458768499654,718
QB,2023,7y,7,5520,none,F_yeojohnson_huber,5.8424928030891,7.342282360882168,4.75868932664437,0.3169016643579762,0.5584548032957801,-0.9270154307255221,718
QB,2023,7y,7,5520,linear,B_gbm_huber,6.20057160965322,7.592208508960437,5.502119625380006,0.26960579851027733,0.5491610760905657,-0.15061713484185754,718
QB,2023,7y,7,5520,linear,F_yeojohnson_huber,5.859255601897127,7.4388633665750685,4.888340675349409,0.2988124008534482,0.5453860193430491,-1.1651775468132632,718
QB,2023,7y,7,5520,exponential,B_gbm_huber,6.218371914177109,7.578943489151683,5.583302826116563,0.2721558416373322,0.543810377812497,-0.0506954520692197,718
QB,2023,7y,7,5520,exponential,F_yeojohnson_huber,6.017286006458301,7.587532670889764,5.150329689057971,0.2705051819619311,0.5276405331215772,-1.4020091731487887,718
QB,2024,3y,3,2107,n/a,existing_methodology,6.2845300609589785,7.842285142742739,5.5163400899675175,0.30087689771762915,0.5444638177528522,0.9203244741446927,720
QB,2024,3y,3,2107,none,B_gbm_huber,6.532279655078514,8.073588303450995,5.8357949244754534,0.2590283452952854,0.5556677511659639,0.0022693767430198696,720
QB,2024,3y,3,2107,none,F_yeojohnson_huber,6.148681990336411,7.747601385771169,4.956423356077204,0.31765669970623567,0.5513872874927783,0.03653408708752516,720
QB,2024,3y,3,2107,linear,B_gbm_huber,6.624829174920512,8.126929705819634,6.059571374010655,0.24920494761462653,0.538191042508283,0.20415961962576534,720
