player,position,season,team,possible_weeks,weeks_predicted,games_actually_played,availability_rate,weeks_real_stats,weeks_inferred_snap_verified,weeks_inferred_pbp_confirmed,weeks_synthetic,predicted_season_total,actual_season_total
00-0019596,QB,2019,NE,17,17,17,0.9230769230769231,0,0,0,17,255.0847257361982,268.0
00-0020531,QB,2019,NO,17,17,12,0.9951923076923077,0,0,0,17,318.4704616315269,233.60000000000005
00-0021206,QB,2019,PHI,17,17,4,0.3693181818181818,0,0,0,17,50.32522785771941,10.100000000000001
00-0022787,QB,2019,ATL,16,16,5,0.5490196078431372,0,0,0,16,13.292632771789512,30.899999999999995
00-0022803,QB,2019,NYG,16,16,4,0.9951923076923077,0,0,0,16,256.1930888417569,54.3
00-0022924,QB,2019,PIT,16,16,2,0.948529411764706,0,0,0,16,274.87645206381126,12.7
00-0022942,QB,2019,LAC,16,16,16,1.0,0,0,0,16,245.4579480419965,233.5
00-0023459,QB,2019,GB,16,16,16,0.7904411764705882,0,0,0,16,224.84658276509992,272.3
00-0023682,QB,2019,MIA,16,16,15,0.703125,0,0,0,16,178.3152060695131,239.70000000000002
00-0025708,QB,2019,KC,16,16,6,0.3044117647058823,0,0,0,16,43.61019032981873,42.3
00-0026143,QB,2019,ATL,16,16,15,0.9886363636363636,0,0,0,16,314.300560210503,265.4
00-0026158,QB,2019,DEN,16,16,8,0.9231283422459893,0,0,0,16,218.04954196051727,82.9
00-0026498,QB,2019,DET,16,16,8,0.88125,0,0,0,16,189.1801729884592,166.5
00-0026544,QB,2019,CHI,16,16,3,0.15890522875816995,0,0,0,16,11.877602507840086,26.0
00-0026625,QB,2019,IND,16,16,4,0.40036764705882355,0,0,0,16,8.413522405694176,21.1
00-0027688,QB,2019,WAS,16,16,1,0.29411764705882354,0,0,0,16,34.79989076071639,4.3
00-0027939,QB,2019,CAR,16,16,2,0.9692095588235294,0,0,0,16,253.3649182038684,16.700000000000003
00-0027973,QB,2019,CIN,16,16,13,0.9315257352941176,0,0,0,16,219.64695479955878,199.5
00-0028118,QB,2019,LAC,16,16,6,0.458639705882353,0,0,0,16,58.80191357393907,6.0
00-0028986,QB,2019,WAS,16,16,10,0.59375,0,0,0,16,117.18890140403175,103.39999999999999
00-0029263,QB,2019,SEA,17,17,17,1.0,0,0,0,17,270.574988140644,348.0
00-0029567,QB,2019,JAX,16,16,4,0.5246848739495797,0,0,0,16,102.73406039029516,35.7
00-0029604,QB,2019,MIN,17,17,16,0.7032563025210085,0,0,0,17,202.1369442212321,255.99999999999997
00-0029665,QB,2019,BAL,16,16,7,0.5610294117647059,0,0,0,16,51.949199802704946,15.099999999999998
00-0029701,QB,2019,TEN,17,17,13,0.9087009803921569,0,0,0,17,185.71792637939987,228.19999999999996
00-0030520,QB,2019,LV,16,16,2,0.3375,0,0,0,16,40.91452253962386,4.2
00-0030533,QB,2019,BUF,17,17,2,0.18474264705882354,0,0,0,17,22.12205642248305,6.0
00-0031076,QB,2019,NYJ,16,16,2,0.09375,0,0,0,16,3.4638710801454633,0.0
00-0031237,QB,2019,NO,17,17,9,0.546875,0,0,0,17,12.101678092640945,90.49999999999999
00-0031280,QB,2019,LV,16,16,16,0.9639705882352942,0,0,0,16,199.96893151827157,246.5
00-0031288,QB,2019,HOU,17,17,2,0.2113970588235294,0,0,0,17,2.3810925348752616,16.9
00-0031345,QB,2019,SF,16,16,16,0.325,0,0,0,16,66.07594507076844,243.2
00-0031395,QB,2019,CLE,16,16,5,0.0625,0,0,0,16,2.443169594375962,-0.30000000000000004
00-0031407,QB,2019,LA,16,16,3,0.9375,0,0,0,16,112.45077520060204,-0.8
00-0031503,QB,2019,TB,16,16,16,0.875,0,0,0,16,263.7712581073809,297.2
00-0031589,QB,2019,ARI,16,16,3,0.4908088235294118,0,0,0,16,84.88838129707892,6.1
00-0032156,QB,2019,NYJ,16,16,1,0.5416666666666666,0,0,0,16,82.94219115836032,0.1
00-0032245,QB,2019,MIN,17,17,3,0.1516544117647059,0,0,0,17,3.471760531877885,-1.5
00-0032268,QB,2019,TEN,17,17,8,0.890625,0,0,0,17,238.38991474958283,85.3
00-0032434,QB,2019,DEN,16,16,3,0.88,0,0,0,16,66.60337951608668,32.5
00-0032436,QB,2019,DET,16,16,3,0.5625,0,0,0,16,87.17903968881396,58.2
00-0032950,QB,2019,PHI,17,17,17,0.8198529411764706,0,0,0,17,224.48375502941454,272.0
00-0033077,QB,2019,DAL,16,16,16,1.0,0,0,0,16,288.6517829001718,335.9
00-0033106,QB,2019,LA,16,16,16,0.7928921568627452,0,0,0,16,206.68483589758858,247.5
00-0033119,QB,2019,IND,16,16,15,0.474264705882353,0,0,0,16,-2.529201427840513,215.69999999999996
00-0033319,QB,2019,SF,16,16,1,0.5,0,0,0,16,114.28849105503512,-0.3
00-0033357,QB,2019,NO,17,17,17,0.5294117647058824,0,0,0,17,38.88950748260655,119.7
00-0033537,QB,2019,HOU,17,17,16,0.71875,0,0,0,17,255.3381248064824,344.40000000000003
00-0033662,QB,2019,DAL,16,16,2,0.09191176470588236,0,0,0,16,3.5322941089508966,0.0
00-0033869,QB,2019,CHI,16,16,15,0.8161764705882353,0,0,0,16,208.81619700048557,200.8
00-0033873,QB,2019,KC,16,16,14,0.5294117647058824,0,0,0,16,190.21814125834146,284.90000000000003
00-0034177,QB,2019,GB,16,16,3,0.88,0,0,0,16,65.63084564067368,-0.10000000000000003
00-0034343,QB,2019,MIA,16,16,6,0.875,0,0,0,16,129.05877789009364,18.0
00-0034577,QB,2019,CAR,16,16,13,0.125,0,0,0,16,15.048574838649532,177.4
00-0034771,QB,2019,PIT,16,16,10,0.88,0,0,0,16,87.47375643619618,108.8
00-0034796,QB,2019,BAL,16,16,15,1.0,0,0,0,16,282.35116493255316,415.70000000000005
