player_id,season,week,team,position,predicted_share_rushing_yards,predicted_team_rushing_yards,predicted_rushing_yards,predicted_share_receiving_yards,predicted_team_receiving_yards,predicted_receiving_yards,predicted_share_receptions,predicted_team_receptions,predicted_receptions,predicted_share_receiving_tds,predicted_team_receiving_tds,predicted_receiving_tds,predicted_share_rushing_tds,predicted_team_rushing_tds,predicted_rushing_tds,predicted_share_passing_yards,predicted_team_passing_yards,predicted_passing_yards,predicted_share_passing_tds,predicted_team_passing_tds,predicted_passing_tds,predicted_share_interceptions,predicted_team_interceptions,predicted_interceptions,predicted_ppr,rushing_yards,receiving_yards,receptions,receiving_tds,rushing_tds,passing_yards,passing_tds,interceptions,actual_ppr,model_version,artifact_schema_version
00-0023459,2023,14,NYJ,QB,0.0,51.333333333333336,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,169.0,0.0,0.0,0.6666666666666666,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,plan-a-raw-truth-fold0-replay,plan-a-joint-serving-v1
00-0023459,2023,15,NYJ,QB,0.0,56.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.3333333333333333,0.0,0.0,231.33333333333334,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,plan-a-raw-truth-fold0-replay,plan-a-joint-serving-v1
00-0023459,2023,16,NYJ,QB,0.0,54.333333333333336,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.3333333333333333,0.0,0.0,217.0,0.0,0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,plan-a-raw-truth-fold0-replay,plan-a-joint-serving-v1
00-0023459,2023,17,NYJ,QB,0.0,91.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,218.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,plan-a-raw-truth-fold0-replay,plan-a-joint-serving-v1
00-0023459,2023,18,NYJ,QB,0.0,101.33333333333333,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.6666666666666666,0.0,0.0,204.66666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,plan-a-raw-truth-fold0-replay,plan-a-joint-serving-v1
00-0024243,2023,1,CHI,TE,0.0,,0.0,0.01586883163532144,,0.0,0.01668792418153032,,0.0,0.08823529411764706,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,plan-a-raw-truth-fold0-replay,plan-a-joint-serving-v1
00-0024243,2023,2,CHI,TE,0.0,122.0,0.0,0.01586883163532144,216.0,3.427667633229431,0.01668792418153032,24.0,0.40051018035672764,0.08823529411764706,1.0,0.08823529411764706,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,plan-a-raw-truth-fold0-replay,plan-a-joint-serving-v1
00-0024243,2023,3,CHI,TE,0.0,96.0,0.0,0.01586883163532144,213.5,3.3879955541411277,0.01668792418153032,20.0,0.33375848363060634,0.08823529411764706,1.0,0.08823529411764706,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,plan-a-raw-truth-fold0-replay,plan-a-joint-serving-v1
00-0024243,2023,4,CHI,TE,0.0,102.66666666666667,0.0,0.0,175.33333333333334,0.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.8,plan-a-raw-truth-fold0-replay,plan-a-joint-serving-v1
00-0024243,2023,5,CHI,TE,0.0,119.0,0.0,0.007960199004975124,215.0,1.7114427860696517,0.011904761904761904,18.333333333333332,0.21825396825396823,0.0,2.0,0.0,0.0,0.3333333333333333,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,plan-a-raw-truth-fold0-replay,plan-a-joint-serving-v1
