player_id,season,position,cold_start,step8_pace,built_at
00-0019596,2021,QB,0,18.424316639328577,2026-09-17T07:26:54
00-0020531,2021,QB,0,19.30312108905844,2026-09-17T07:26:54
00-0022127,2021,TE,0,5.60992536906943,2026-09-17T07:26:54
00-0022921,2021,WR,0,7.4719435240847325,2026-09-17T07:26:54
00-0022924,2021,QB,0,14.593320059077527,2026-09-17T07:26:54
00-0022942,2021,QB,0,12.67061956804235,2026-09-17T07:26:54
00-0023436,2021,QB,0,3.788758905725257,2026-09-17T07:26:54
00-0023459,2021,QB,0,16.304905245151886,2026-09-17T07:26:54
00-0023500,2021,RB,0,4.550694241003128,2026-09-17T07:26:54
00-0023682,2021,QB,0,13.273437373468205,2026-09-17T07:26:54
00-0024243,2021,TE,0,2.939010092991625,2026-09-17T07:26:54
00-0025394,2021,RB,0,5.039480877027453,2026-09-17T07:26:54
00-0025396,2021,WR,0,4.37166438414476,2026-09-17T07:26:54
00-0025418,2021,TE,0,4.812423468584353,2026-09-17T07:26:54
00-0026035,2021,WR,0,4.720204542757679,2026-09-17T07:26:54
00-0026143,2021,QB,0,17.932900681228418,2026-09-17T07:26:54
00-0026498,2021,QB,0,13.179300308925548,2026-09-17T07:26:54
00-0027029,2021,RB,0,5.117748250412622,2026-09-17T07:26:54
00-0027061,2021,TE,0,4.270314929671841,2026-09-17T07:26:54
00-0027150,2021,WR,0,6.480457090853442,2026-09-17T07:26:54
00-0027656,2021,TE,0,7.002904239784439,2026-09-17T07:26:54
00-0027685,2021,WR,0,7.796332852975974,2026-09-17T07:26:54
00-0027691,2021,WR,0,1.0141611566163442,2026-09-17T07:26:54
00-0027696,2021,TE,0,6.076620733317057,2026-09-17T07:26:54
00-0027793,2021,WR,0,7.229094814681485,2026-09-17T07:26:54
00-0027891,2021,WR,0,4.6156726862395825,2026-09-17T07:26:54
00-0027902,2021,WR,0,3.5787030924956467,2026-09-17T07:26:54
00-0027939,2021,QB,0,12.045565951644098,2026-09-17T07:26:54
00-0027942,2021,WR,0,6.478368045538899,2026-09-17T07:26:54
00-0027944,2021,WR,0,14.328742348832288,2026-09-17T07:26:54
00-0027966,2021,RB,0,6.440510817849487,2026-09-17T07:26:54
00-0027973,2021,QB,0,11.013396806785574,2026-09-17T07:26:54
00-0027981,2021,TE,0,3.1214184560722984,2026-09-17T07:26:54
00-0028002,2021,WR,0,5.8316868348134,2026-09-17T07:26:54
00-0028042,2021,TE,0,0.5405281397595781,2026-09-17T07:26:54
00-0028087,2021,RB,0,4.283247750688608,2026-09-17T07:26:54
00-0028097,2021,TE,0,0.14952134412221338,2026-09-17T07:26:54
00-0028142,2021,TE,0,0.9417779973726706,2026-09-17T07:26:54
00-0028411,2021,WR,0,2.810666342262285,2026-09-17T07:26:54
00-0029000,2021,WR,0,8.546602800714297,2026-09-17T07:26:54
00-0029119,2021,TE,0,1.447461570652484,2026-09-17T07:26:54
00-0029137,2021,WR,0,4.5613604738566655,2026-09-17T07:26:54
00-0029141,2021,RB,0,4.1499398682773805,2026-09-17T07:26:54
00-0029263,2021,QB,0,21.95261200427483,2026-09-17T07:26:54
00-0029293,2021,WR,0,11.069169648153899,2026-09-17T07:26:54
00-0029567,2021,QB,0,2.583965499546551,2026-09-17T07:26:54
00-0029604,2021,QB,0,14.543098475214274,2026-09-17T07:26:54
00-0029608,2021,WR,0,7.512342165292796,2026-09-17T07:26:54
00-0029632,2021,WR,0,4.208640985676539,2026-09-17T07:26:54
00-0029701,2021,QB,0,17.960535035267107,2026-09-17T07:26:54
00-0029738,2021,TE,0,4.0984640264524055,2026-09-17T07:26:54
00-0030035,2021,WR,0,12.611741159718308,2026-09-17T07:26:54
00-0030061,2021,TE,0,7.983293639159213,2026-09-17T07:26:54
00-0030085,2021,WR,0,5.720635120755402,2026-09-17T07:26:54
00-0030089,2021,TE,0,1.3159379391449364,2026-09-17T07:26:54
00-0030108,2021,TE,0,1.5813864601037633,2026-09-17T07:26:54
00-0030155,2021,TE,0,0.8835136037577193,2026-09-17T07:26:54
00-0030181,2021,TE,0,5.546883496894958,2026-09-17T07:26:54
00-0030216,2021,TE,0,1.0414998415134233,2026-09-17T07:26:54
00-0030279,2021,WR,0,13.685627217950353,2026-09-17T07:26:54
00-0030288,2021,RB,0,4.886604261199067,2026-09-17T07:26:54
00-0030404,2021,RB,0,4.1099498933085075,2026-09-17T07:26:54
00-0030431,2021,WR,0,11.302238686467618,2026-09-17T07:26:54
00-0030443,2021,TE,0,0.5689827947029756,2026-09-17T07:26:54
00-0030456,2021,RB,0,7.005888806203321,2026-09-17T07:26:54
00-0030470,2021,TE,0,2.388283951757352,2026-09-17T07:26:54
00-0030472,2021,TE,0,2.3773725689746246,2026-09-17T07:26:54
00-0030496,2021,RB,0,5.857042911724982,2026-09-17T07:26:54
00-0030506,2021,TE,0,16.877739078689824,2026-09-17T07:26:54
00-0030513,2021,RB,0,3.8907997996452983,2026-09-17T07:26:54
00-0030549,2021,TE,0,4.202457825857827,2026-09-17T07:26:54
00-0030564,2021,WR,0,17.71446763860966,2026-09-17T07:26:54
00-0030578,2021,RB,0,4.615844020735758,2026-09-17T07:26:54
00-0030663,2021,WR,0,4.308270081655252,2026-09-17T07:26:54
00-0030710,2021,TE,0,3.5696573595054657,2026-09-17T07:26:54
00-0031045,2021,RB,0,5.548709300933789,2026-09-17T07:26:54
00-0031051,2021,WR,0,10.103354324780911,2026-09-17T07:26:54
00-0031062,2021,RB,0,6.256418737762324,2026-09-17T07:26:54
00-0031166,2021,WR,0,2.5155786947253125,2026-09-17T07:26:54
00-0031235,2021,WR,0,9.98327579060994,2026-09-17T07:26:54
00-0031236,2021,WR,0,10.065863384208525,2026-09-17T07:26:54
00-0031237,2021,QB,0,10.376469494519457,2026-09-17T07:26:54
00-0031260,2021,TE,0,7.277260600121362,2026-09-17T07:26:54
00-0031273,2021,TE,0,4.258480936109319,2026-09-17T07:26:54
00-0031280,2021,QB,0,15.786426365782276,2026-09-17T07:26:54
00-0031319,2021,WR,0,1.5532232367791907,2026-09-17T07:26:54
00-0031325,2021,WR,0,7.539661451615304,2026-09-17T07:26:54
00-0031345,2021,QB,0,5.640139473813156,2026-09-17T07:26:54
00-0031376,2021,RB,0,4.439782027472455,2026-09-17T07:26:54
00-0031381,2021,WR,0,16.22572309220229,2026-09-17T07:26:54
00-0031382,2021,WR,0,12.000588532399306,2026-09-17T07:26:54
00-0031384,2021,TE,0,2.9291666036992074,2026-09-17T07:26:54
00-0031387,2021,TE,0,6.951645842533801,2026-09-17T07:26:54
00-0031408,2021,WR,0,13.014497692317391,2026-09-17T07:26:54
00-0031428,2021,WR,0,11.993468223457922,2026-09-17T07:26:54
00-0031484,2021,TE,0,0.0,2026-09-17T07:26:54
00-0031544,2021,WR,0,12.588304927312377,2026-09-17T07:26:54
00-0031547,2021,WR,0,10.956917187585882,2026-09-17T07:26:54
00-0031549,2021,WR,0,11.875353904575864,2026-09-17T07:26:54
00-0031558,2021,TE,0,1.9702262714934695,2026-09-17T07:26:54
00-0031585,2021,TE,0,0.9750967320279097,2026-09-17T07:26:54
00-0031588,2021,WR,0,17.164478909738904,2026-09-17T07:26:54
00-0031598,2021,TE,0,3.7515284539697786,2026-09-17T07:26:54
