player_id,week,receiving_yards,receptions,targets,receiving_tds,player_name,team,position,season,fantasy_points
00-0033090,5,46.0,2.0,4.0,0,Hunter Henry,NE,TE,2025,6.599999904632568
00-0033090,6,27.0,3.0,3.0,0,Hunter Henry,NE,TE,2025,5.699999809265137
00-0033090,7,33.0,4.0,5.0,0,Hunter Henry,NE,TE,2025,7.300000190734863
00-0033090,8,7.0,1.0,1.0,1,Hunter Henry,NE,TE,2025,7.700000047683716
00-0033090,9,51.0,4.0,6.0,0,Hunter Henry,NE,TE,2025,9.100000381469727
00-0033090,10,9.0,1.0,4.0,0,Hunter Henry,NE,TE,2025,1.9000000953674316
00-0033090,11,45.0,4.0,6.0,0,Hunter Henry,NE,TE,2025,8.5
00-0033090,12,115.0,7.0,10.0,2,Hunter Henry,NE,TE,2025,30.5
00-0033090,13,73.0,4.0,6.0,0,Hunter Henry,NE,TE,2025,11.300000190734863
00-0033090,15,18.0,1.0,3.0,0,Hunter Henry,NE,TE,2025,2.8000001907348633
00-0033090,16,35.0,6.0,7.0,1,Hunter Henry,NE,TE,2025,15.5
00-0033090,17,49.0,3.0,3.0,1,Hunter Henry,NE,TE,2025,13.900000095367432
00-0033090,18,56.0,5.0,5.0,0,Hunter Henry,NE,TE,2025,10.600000381469727
00-0033090,19,64.0,3.0,5.0,1,Hunter Henry,NE,TE,2025,15.399999618530273
00-0033090,20,5.0,1.0,2.0,0,Hunter Henry,NE,TE,2025,1.5
00-0033090,21,12.0,2.0,3.0,0,Hunter Henry,NE,TE,2025,3.200000047683716
00-0033110,2,37.0,4.0,4.0,0,Tyler Higbee,LA,TE,2025,7.699999809265137
00-0033110,3,0.0,0.0,2.0,0,Tyler Higbee,LA,TE,2025,0.0
00-0033110,4,25.0,2.0,5.0,0,Tyler Higbee,LA,TE,2025,4.5
00-0033110,6,40.0,4.0,4.0,1,Tyler Higbee,LA,TE,2025,14.0
00-0033110,7,19.0,3.0,6.0,0,Tyler Higbee,LA,TE,2025,4.900000095367432
00-0033110,9,13.0,3.0,4.0,1,Tyler Higbee,LA,TE,2025,10.300000190734863
00-0033110,10,33.0,3.0,3.0,0,Tyler Higbee,LA,TE,2025,6.300000190734863
00-0033110,11,23.0,1.0,2.0,0,Tyler Higbee,LA,TE,2025,3.299999952316284
00-0033110,18,91.0,5.0,6.0,1,Tyler Higbee,LA,TE,2025,20.100000381469727
00-0033110,19,45.0,2.0,3.0,0,Tyler Higbee,LA,TE,2025,6.5
00-0033110,20,27.0,1.0,2.0,0,Tyler Higbee,LA,TE,2025,3.700000047683716
