player_id,season,week,team,position,predicted_share_rushing_yards,predicted_team_rushing_yards,predicted_rushing_yards,predicted_share_receiving_yards,predicted_team_receiving_yards,predicted_receiving_yards,predicted_share_receptions,predicted_team_receptions,predicted_receptions,predicted_share_receiving_tds,predicted_team_receiving_tds,predicted_receiving_tds,predicted_share_rushing_tds,predicted_team_rushing_tds,predicted_rushing_tds,predicted_share_passing_yards,predicted_team_passing_yards,predicted_passing_yards,predicted_share_passing_tds,predicted_team_passing_tds,predicted_passing_tds,predicted_share_interceptions,predicted_team_interceptions,predicted_interceptions,predicted_ppr,rushing_yards,receiving_yards,receptions,receiving_tds,rushing_tds,passing_yards,passing_tds,interceptions,actual_ppr,model_version,artifact_schema_version
00-0023459,2025,8,PIT,QB,0.04200143215180809,77.5542032889065,3.2573876075265384,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.05891215868014965,0.0,1.0,232.8625193588737,232.8625193588737,1.0,1.6211837530136108,1.6211837530136108,0.3333333333333333,1.0037353037962644,0.3345784345987548,15.46,0.0,0.0,0.0,0.0,0.0,219.0,2.0,0.0,16.76,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
00-0023459,2025,9,PIT,QB,0.01693877551020408,95.0750942645968,1.6104556783594968,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,1.254145255763194,0.0,1.0,266.35524917340376,266.35524917340376,1.0,2.5694847106933594,2.5694847106933594,0.3333333333333333,0.27083502093708256,0.09027834031236084,20.91,1.0,0.0,0.0,0.0,0.0,203.0,1.0,0.0,12.22,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
00-0023459,2025,10,PIT,QB,0.02193877551020408,64.45194606739493,1.413996775968358,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.26094330279809264,0.0,1.0,202.0595752564939,202.0595752564939,1.0,1.1036654710769653,1.1036654710769653,0.3333333333333333,0.8980122998511415,0.2993374332837138,12.04,0.0,0.0,0.0,0.0,0.0,161.0,1.0,2.0,6.44,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
00-0023459,2025,11,PIT,QB,0.008333333333333333,118.12837818948917,0.9844031515790764,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.5772411491407856,0.0,1.0,197.41884562248217,197.41884562248217,1.0,1.4283000230789185,1.4283000230789185,0.3333333333333333,0.4846518567681647,0.16155061892272155,13.39,8.0,0.0,0.0,0.0,0.0,116.0,1.0,0.0,9.44,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
00-0023459,2025,12,PIT,QB,0.03214285714285715,157.50581621120878,5.062686949645997,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,1.4595607460543913,0.0,0.8257887517146777,198.66364458167055,164.0542030701861,0.8333333333333333,1.1077399253845215,0.9231166044871012,0.3333333333333333,0.5713327147636394,0.19044423825454648,10.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
00-0023459,2025,13,PIT,QB,0.023809523809523808,76.53624209351065,1.8222914784169202,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.7670482715412049,0.0,0.4924554183813443,182.48269963388262,89.86459419556085,0.5,1.4354286193847656,0.7177143096923828,0.3333333333333333,0.4999251751939685,0.16664172506465616,6.31,0.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,4.68,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
00-0023459,2025,14,PIT,QB,0.023809523809523808,41.85253723186187,0.9964889817109968,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,1.1854135732143474,0.0,0.4924554183813443,254.9349184779409,125.54408193906829,0.17083333333333334,1.9444159269332886,0.3321710541844368,0.0,0.11725225646462001,0.0,6.45,1.0,-9.0,1.0,0.0,1.0,284.0,1.0,0.0,21.56,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
00-0023459,2025,15,PIT,QB,0.009523809523809523,142.19887514043182,1.3542750013374458,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.16666666666666666,1.4224356738924742,0.23707261231541235,0.6666666666666666,183.91132160525586,122.60754773683723,0.3416666666666667,1.0621345043182373,0.3628959556420644,0.0,0.6316058285194901,0.0,7.91,0.0,0.0,0.0,0.0,0.0,224.0,2.0,0.0,16.96,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
00-0023459,2025,16,PIT,QB,0.009523809523809523,115.12498248825173,1.0964284046500163,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.16666666666666666,0.5470210002931437,0.09117016671552394,1.0,285.1195471406556,285.1195471406556,0.6833333333333333,1.5078190565109253,1.0303430219491323,0.0,0.7760504520995313,0.0,16.18,9.0,0.0,0.0,0.0,0.0,266.0,1.0,0.0,15.54,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
00-0023459,2025,17,PIT,QB,0.02256728778467909,115.95821164211448,2.6168623331243226,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.16666666666666666,0.4013915963408164,0.06689859939013607,1.0,243.9651521819995,243.9651521819995,1.0,1.3420202732086182,1.3420202732086182,0.0,1.0179518818835929,0.0,15.79,6.0,0.0,0.0,0.0,0.0,168.0,0.0,0.0,7.32,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
00-0023459,2025,18,PIT,QB,0.028310653833388655,93.22201068056202,2.6391760740298515,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2.125797237904168,0.0,1.0,337.50437839321415,337.50437839321415,0.6833333333333333,1.025523066520691,0.7007740954558055,0.0,0.6951647438089821,0.0,16.57,20.0,0.0,0.0,0.0,0.0,294.0,1.0,0.0,17.76,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
00-0024243,2025,9,DEN,TE,0.0,88.02294385280183,0.0,0.006432444273100661,250.1970977783203,1.6093788887505627,0.002551020408163265,20.185497283935547,0.051493615520243737,0.0,1.539976716041565,0.0,0.0,0.22972728563003886,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
00-0024243,2025,10,DEN,TE,0.0,107.4569872362107,0.0,0.006245868043111532,210.14938354492188,1.312565318962816,0.002551020408163265,17.629074096679688,0.04497212779765226,0.0,1.4598441123962402,0.0,0.0,0.7126873308419291,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
00-0024243,2025,11,DEN,TE,0.0,71.4418174510393,0.0,0.008573097619540311,251.86160278320312,2.159234107274286,0.002551020408163265,22.579620361328125,0.05760107235032685,0.0,1.503753423690796,0.0,0.0,0.6356350001214759,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
00-0024243,2025,13,DEN,TE,0.0,87.40221822387419,0.0,0.008375181184536841,291.86273193359375,2.4444032609577544,0.0,30.274707794189453,0.0,0.0,1.5200426578521729,0.0,0.0,1.0902422786958479,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
00-0024243,2025,14,DEN,TE,0.0,129.04874118592923,0.0,0.0081189608240146,276.3949279785156,2.244039592213905,0.0,27.255949020385742,0.0,0.0,1.7385978698730469,0.0,0.0,1.0150133350334731,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,plan-a-joint-event-mass-20260924-fold2,plan-a-joint-serving-v1
