team,season,week,position,slot,slot_rank,player_id,depth_chart_rank,snap_share_s2d
ARI,2013,7,TE,TE3,3,00-0026757,2.0,0.1432750003916715
ARI,2013,7,WR,WR1,1,00-0022921,1.0,0.9096856958878924
ARI,2013,7,WR,WR2,2,00-0029638,1.0,0.9084096776250813
ARI,2013,7,WR,WR3,3,00-0027691,2.0,0.6375455743415448
ARI,2013,7,WR,WR4,4,00-0030300,2.0,0.1320975425026875
ARI,2013,7,WR,WR5,5,00-0029336,3.0,0.24242424242424243
ARI,2013,8,QB,QB1,1,00-0021429,1.0,1.0
ARI,2013,8,QB,QB2,2,00-0025430,2.0,
ARI,2013,8,RB,RB1,1,00-0026163,1.0,0.45643519254197784
ARI,2013,8,RB,RB2,2,00-0030287,2.0,0.3623354079375637
ARI,2013,8,RB,RB3,3,00-0027346,2.0,0.21524851132615627
ARI,2013,8,RB,RB4,4,00-0030282,3.0,0.06052790433910301
ARI,2013,8,TE,TE1,1,00-0028007,1.0,0.6945875214885227
ARI,2013,8,TE,TE2,2,00-0027825,1.0,0.5461642243659822
ARI,2013,8,TE,TE3,3,00-0026757,2.0,0.12161805588194848
ARI,2013,8,WR,WR1,1,00-0022921,1.0,0.9168734536181935
ARI,2013,8,WR,WR2,2,00-0029638,1.0,0.9138749617738792
ARI,2013,8,WR,WR3,3,00-0027691,2.0,0.635991444673705
ARI,2013,8,WR,WR4,4,00-0030300,2.0,0.14751217928801785
ARI,2013,8,WR,WR5,5,00-0029336,3.0,0.24242424242424243
ARI,2013,8,WR,WR6,6,00-0027853,3.0,
ARI,2013,10,QB,QB1,1,00-0021429,1.0,1.0
ARI,2013,10,QB,QB2,2,00-0025430,2.0,
ARI,2013,10,RB,RB1,1,00-0026163,1.0,0.45643519254197784
ARI,2013,10,RB,RB2,2,00-0030287,2.0,0.39343237083425714
ARI,2013,10,RB,RB3,3,00-0027346,2.0,0.19760170666964602
ARI,2013,10,RB,RB4,4,00-0030282,2.0,0.11879269384165278
ARI,2013,10,TE,TE1,1,00-0028007,1.0,0.6590698481540157
ARI,2013,10,TE,TE2,2,00-0027825,1.0,0.5751159185424566
ARI,2013,10,TE,TE3,3,00-0026757,2.0,0.12161805588194848
ARI,2013,10,WR,WR1,1,00-0029638,1.0,0.9223257767373295
ARI,2013,10,WR,WR2,2,00-0022921,1.0,0.9156901978418452
ARI,2013,10,WR,WR3,3,00-0027691,2.0,0.6074184400154179
ARI,2013,10,WR,WR4,4,00-0030300,2.0,0.13370278650664524
ARI,2013,10,WR,WR5,5,00-0029336,3.0,0.24242424242424243
ARI,2013,10,WR,WR6,6,00-0027853,3.0,0.05555555555555555
ARI,2013,11,QB,QB1,1,00-0021429,1.0,0.994949494949495
