player_id,name,position,team,opponent,season,week,fantasy_points,predicted_points,prediction_ci80_lower,prediction_ci80_upper,prediction_ci95_lower,prediction_ci95_upper
00-0022942,P.Rivers,QB,IND,SEA,2025,15,6.8,13.895238095238096,3.693074647734587,24.097401542741604,0.5245169402900363,27.265959250186157
00-0022942,P.Rivers,QB,IND,SF,2025,16,17.1,10.931372549019608,3.0148666193151454,18.84787847872407,0.5561816542420122,21.306563443797202
00-0022942,P.Rivers,QB,IND,JAX,2025,17,7.9,11.273076923076925,2.415920344958021,20.13023350119583,0.0,22.881062958697733
00-0023459,A.Rodgers,QB,PIT,NYJ,2025,1,25.8,14.516981132075474,1.9172000360990662,27.116762228051883,0.0,31.02996492365655
00-0023459,A.Rodgers,QB,PIT,SEA,2025,2,8.4,15.254109589041098,4.704545215250528,25.803673962831667,1.428092757028427,29.08012642105377
00-0023459,A.Rodgers,QB,PIT,NE,2025,3,11.9,15.254109589041098,6.357614750773655,24.150604427308544,3.594567732944226,26.913651445137972
00-0023459,A.Rodgers,QB,PIT,MIN,2025,4,13.0,16.02665024630542,8.043511299652373,24.009789192958465,5.564131649524537,26.4891688430863
00-0023459,A.Rodgers,QB,PIT,CLE,2025,6,17.5,14.499999999999998,6.322188858825145,22.67781114117485,3.782348495089728,25.21765150491027
00-0023459,A.Rodgers,QB,PIT,CIN,2025,7,22.6,13.421739130434782,6.064628178575425,20.778850082294138,3.7796784489430273,23.063799811926536
00-0023459,A.Rodgers,QB,PIT,GB,2025,8,16.8,13.895238095238096,5.889067795544124,21.90140839493207,3.4025351360015463,24.387941054474645
00-0023459,A.Rodgers,QB,PIT,IND,2025,9,12.2,16.02665024630542,8.11394102089184,23.939359471718998,5.656435224992546,26.396865267618292
00-0023459,A.Rodgers,QB,PIT,LAC,2025,10,6.4,16.02665024630542,6.091958376061848,25.96134211654899,3.006471198903373,29.046829293707464
00-0023459,A.Rodgers,QB,PIT,CIN,2025,11,9.4,16.02665024630542,5.5805814133606315,26.472719079250204,2.336272293688287,29.71702819892255
00-0023459,A.Rodgers,QB,PIT,BUF,2025,13,2.7,13.895238095238096,4.497697378215085,23.292778812261105,1.5790370153257172,26.211439175150474
00-0023459,A.Rodgers,QB,PIT,BAL,2025,14,21.6,13.421739130434782,4.952876671454181,21.890601589415382,2.3226424514508626,24.5208358094187
00-0023459,A.Rodgers,QB,PIT,MIA,2025,15,17.0,13.895238095238096,5.15530041341194,22.63517577706425,2.4408764535495973,25.349599736926592
00-0023459,A.Rodgers,QB,PIT,DET,2025,16,15.5,15.254109589041098,7.008156697183274,23.500062480898922,4.4471530703383895,26.061066107743805
00-0023459,A.Rodgers,QB,PIT,CLE,2025,17,7.3,15.254109589041098,8.10531475811506,22.402904419967136,5.885063232345464,24.623155945736734
00-0023459,A.Rodgers,QB,PIT,BAL,2025,18,17.8,15.254109589041098,7.551697879633152,22.956521298449044,5.159505663409858,25.34871351467234
00-0024243,M.Lewis,TE,DEN,HOU,2025,9,0.0,0.7347983122155792,0.0,1.5406530600992707,0.0,1.8937745224925604
00-0024243,M.Lewis,TE,DEN,LV,2025,10,0.0,0.7169099519903959,0.1272688022133105,1.3065511017674813,0.0,1.5649288623296076
00-0024243,M.Lewis,TE,DEN,KC,2025,11,0.0,0.8032344047254338,0.0014191546791373355,1.6050496547717303,0.0,1.9564010297051875
00-0024243,M.Lewis,TE,DEN,LV,2025,14,0.0,0.8658357476055567,0.0,1.7426878800856316,0.0,2.126920036236839
00-0024243,M.Lewis,TE,DEN,KC,2025,17,0.0,0.808311068227221,0.0,1.6632740626354297,0.0,2.0379145095279094
00-0026158,J.Flacco,QB,CLE,CIN,2025,1,12.2,13.895238095238096,2.9315136133958593,24.858962577080334,0.0,28.26404365502959
00-0026158,J.Flacco,QB,CLE,BAL,2025,2,8.8,13.421739130434782,3.8482777598630147,22.99520050100655,0.8749804814244264,25.968497779445137
00-0026158,J.Flacco,QB,CLE,GB,2025,3,3.7,15.254109589041098,6.225709359643309,24.28250981843889,3.4216955561051297,27.086523621977065
