team,season,week,opponent,home_away,points_scored,points_allowed
BUF,2022,1,LAR,away,31,10
LAR,2022,1,BUF,home,10,31
NO,2022,1,ATL,away,27,26
ATL,2022,1,NO,home,26,27
CLE,2022,1,CAR,away,26,24
CAR,2022,1,CLE,home,24,26
SF,2022,1,CHI,away,10,19
CHI,2022,1,SF,home,19,10
PIT,2022,1,CIN,away,23,20
CIN,2022,1,PIT,home,20,23
PHI,2022,1,DET,away,38,35
DET,2022,1,PHI,home,35,38
IND,2022,1,HOU,away,20,20
HOU,2022,1,IND,home,20,20
NE,2022,1,MIA,away,7,20
MIA,2022,1,NE,home,20,7
BAL,2022,1,NYJ,away,24,9
NYJ,2022,1,BAL,home,9,24
JAX,2022,1,WAS,away,22,28
WAS,2022,1,JAX,home,28,22
KC,2022,1,ARI,away,44,21
ARI,2022,1,KC,home,21,44
GB,2022,1,MIN,away,7,23
MIN,2022,1,GB,home,23,7
NYG,2022,1,TEN,away,21,20
TEN,2022,1,NYG,home,20,21
LV,2022,1,LAC,away,19,24
LAC,2022,1,LV,home,24,19
TB,2022,1,DAL,away,19,3
DAL,2022,1,TB,home,3,19
DEN,2022,1,SEA,away,16,17
SEA,2022,1,DEN,home,17,16
LAC,2022,2,KC,away,24,27
KC,2022,2,LAC,home,27,24
NYJ,2022,2,CLE,away,31,30
CLE,2022,2,NYJ,home,30,31
WAS,2022,2,DET,away,27,36
DET,2022,2,WAS,home,36,27
IND,2022,2,JAX,away,0,24
JAX,2022,2,IND,home,24,0
TB,2022,2,NO,away,20,10
NO,2022,2,TB,home,10,20
CAR,2022,2,NYG,away,16,19
NYG,2022,2,CAR,home,19,16
NE,2022,2,PIT,away,17,14
PIT,2022,2,NE,home,14,17
MIA,2022,2,BAL,away,42,38
BAL,2022,2,MIA,home,38,42
ATL,2022,2,LAR,away,27,31
LAR,2022,2,ATL,home,31,27
SEA,2022,2,SF,away,7,27
SF,2022,2,SEA,home,27,7
CIN,2022,2,DAL,away,17,20
DAL,2022,2,CIN,home,20,17
HOU,2022,2,DEN,away,9,16
DEN,2022,2,HOU,home,16,9
ARI,2022,2,LV,away,29,23
LV,2022,2,ARI,home,23,29
CHI,2022,2,GB,away,10,27
GB,2022,2,CHI,home,27,10
TEN,2022,2,BUF,away,7,41
BUF,2022,2,TEN,home,41,7
MIN,2022,2,PHI,away,7,24
PHI,2022,2,MIN,home,24,7
PIT,2022,3,CLE,away,17,29
CLE,2022,3,PIT,home,29,17
NO,2022,3,CAR,away,14,22
CAR,2022,3,NO,home,22,14
HOU,2022,3,CHI,away,20,23
CHI,2022,3,HOU,home,23,20
KC,2022,3,IND,away,17,20
IND,2022,3,KC,home,20,17
BUF,2022,3,MIA,away,19,21
MIA,2022,3,BUF,home,21,19
DET,2022,3,MIN,away,24,28
MIN,2022,3,DET,home,28,24
BAL,2022,3,NE,away,37,26
NE,2022,3,BAL,home,26,37
CIN,2022,3,NYJ,away,27,12
NYJ,2022,3,CIN,home,12,27
LV,2022,3,TEN,away,22,24
TEN,2022,3,LV,home,24,22
PHI,2022,3,WAS,away,24,8
WAS,2022,3,PHI,home,8,24
JAX,2022,3,LAC,away,38,10
LAC,2022,3,JAX,home,10,38
LAR,2022,3,ARI,away,20,12
ARI,2022,3,LAR,home,12,20
ATL,2022,3,SEA,away,27,23
SEA,2022,3,ATL,home,23,27
GB,2022,3,TB,away,14,12
TB,2022,3,GB,home,12,14
SF,2022,3,DEN,away,10,11
DEN,2022,3,SF,home,11,10
DAL,2022,3,NYG,away,23,16
NYG,2022,3,DAL,home,16,23
MIA,2022,4,CIN,away,15,27
CIN,2022,4,MIA,home,27,15
MIN,2022,4,NO,away,28,25
NO,2022,4,MIN,home,25,28
CLE,2022,4,ATL,away,20,23
ATL,2022,4,CLE,home,23,20
TEN,2022,4,IND,away,24,17
IND,2022,4,TEN,home,17,24
WAS,2022,4,DAL,away,10,25
DAL,2022,4,WAS,home,25,10
SEA,2022,4,DET,away,48,45
DET,2022,4,SEA,home,45,48
LAC,2022,4,HOU,away,34,24
HOU,2022,4,LAC,home,24,34
CHI,2022,4,NYG,away,12,20
NYG,2022,4,CHI,home,20,12
JAX,2022,4,PHI,away,21,29
PHI,2022,4,JAX,home,29,21
NYJ,2022,4,PIT,away,24,20
PIT,2022,4,NYJ,home,20,24
BUF,2022,4,BAL,away,23,20
BAL,2022,4,BUF,home,20,23
ARI,2022,4,CAR,away,26,16
CAR,2022,4,ARI,home,16,26
NE,2022,4,GB,away,24,27
GB,2022,4,NE,home,27,24
DEN,2022,4,LV,away,23,32
LV,2022,4,DEN,home,32,23
KC,2022,4,TB,away,41,31
TB,2022,4,KC,home,31,41
LAR,2022,4,SF,away,9,24
SF,2022,4,LAR,home,24,9
IND,2022,5,DEN,away,12,9
DEN,2022,5,IND,home,9,12
NYG,2022,5,GB,away,27,22
GB,2022,5,NYG,home,22,27
PIT,2022,5,BUF,away,3,38
BUF,2022,5,PIT,home,38,3
LAC,2022,5,CLE,away,30,28
CLE,2022,5,LAC,home,28,30
HOU,2022,5,JAX,away,13,6
JAX,2022,5,HOU,home,6,13
CHI,2022,5,MIN,away,22,29
MIN,2022,5,CHI,home,29,22
SEA,2022,5,NO,away,32,39
NO,2022,5,SEA,home,39,32
DET,2022,5,NE,away,0,29
NE,2022,5,DET,home,29,0
MIA,2022,5,NYJ,away,17,40
NYJ,2022,5,MIA,home,40,17
ATL,2022,5,TB,away,15,21
TB,2022,5,ATL,home,21,15
TEN,2022,5,WAS,away,21,17
WAS,2022,5,TEN,home,17,21
SF,2022,5,CAR,away,37,15
CAR,2022,5,SF,home,15,37
PHI,2022,5,ARI,away,20,17
ARI,2022,5,PHI,home,17,20
DAL,2022,5,LAR,away,22,10
LAR,2022,5,DAL,home,10,22
CIN,2022,5,BAL,away,17,19
BAL,2022,5,CIN,home,19,17
LV,2022,5,KC,away,29,30
KC,2022,5,LV,home,30,29
WAS,2022,6,CHI,away,12,7
CHI,2022,6,WAS,home,7,12
SF,2022,6,ATL,away,14,28
ATL,2022,6,SF,home,28,14
NE,2022,6,CLE,away,38,15
CLE,2022,6,NE,home,15,38
JAX,2022,6,IND,away,27,34
IND,2022,6,JAX,home,34,27
NYJ,2022,6,GB,away,27,10
GB,2022,6,NYJ,home,10,27
MIN,2022,6,MIA,away,24,16
MIA,2022,6,MIN,home,16,24
CIN,2022,6,NO,away,30,26
