team,season,wins,losses,points_scored,points_allowed,point_diff
NYJ,2025,3,14,0,300,503
PIT,2025,10,7,0,397,387
BAL,2025,8,9,0,424,398
CIN,2025,6,11,0,414,492
CLE,2025,5,12,0,279,379
JAX,2025,13,4,0,474,336
HOU,2025,12,5,0,404,295
IND,2025,8,9,0,466,412
TEN,2025,3,14,0,284,478
DEN,2025,14,3,0,401,311
LAC,2025,11,6,0,368,340
KC,2025,6,11,0,362,328
LV,2025,3,14,0,241,432
PHI,2025,11,6,0,379,325
DAL,2025,7,9,0,471,511
WAS,2025,5,12,0,356,451
NYG,2025,4,13,0,381,439
CHI,2025,11,6,0,441,415
GB,2025,9,7,0,391,360
MIN,2025,9,8,0,344,333
DET,2025,9,8,0,481,413
CAR,2025,8,9,0,311,380
TB,2025,8,9,0,380,411
ATL,2025,8,9,0,353,401
NO,2025,6,11,0,306,383
SEA,2025,14,3,0,483,292
LAR,2025,12,5,0,518,346
SF,2025,12,5,0,437,371
ARI,2025,3,14,0,355,488
