team,season,week,opponent,home_away,points_scored,points_allowed
LAC,2023,3,MIN,away,28,24
MIN,2023,3,LAC,home,24,28
NE,2023,3,NYJ,away,15,10
NYJ,2023,3,NE,home,10,15
IND,2023,3,BAL,away,22,19
BAL,2023,3,IND,home,19,22
BUF,2023,3,WAS,away,37,3
WAS,2023,3,BUF,home,3,37
CAR,2023,3,SEA,away,27,37
SEA,2023,3,CAR,home,37,27
DAL,2023,3,ARI,away,16,28
ARI,2023,3,DAL,home,28,16
CHI,2023,3,KC,away,10,41
KC,2023,3,CHI,home,41,10
PIT,2023,3,LV,away,23,18
LV,2023,3,PIT,home,18,23
PHI,2023,3,TB,away,25,11
TB,2023,3,PHI,home,11,25
LAR,2023,3,CIN,away,16,19
CIN,2023,3,LAR,home,19,16
DET,2023,4,GB,away,34,20
GB,2023,4,DET,home,20,34
ATL,2023,4,JAX,away,7,23
JAX,2023,4,ATL,home,23,7
MIA,2023,4,BUF,away,20,48
BUF,2023,4,MIA,home,48,20
MIN,2023,4,CAR,away,21,13
CAR,2023,4,MIN,home,13,21
DEN,2023,4,CHI,away,31,28
CHI,2023,4,DEN,home,28,31
BAL,2023,4,CLE,away,28,3
CLE,2023,4,BAL,home,3,28
LAR,2023,4,IND,away,29,23
IND,2023,4,LAR,home,23,29
PIT,2023,4,HOU,away,6,30
HOU,2023,4,PIT,home,30,6
TB,2023,4,NO,away,26,9
NO,2023,4,TB,home,9,26
CIN,2023,4,TEN,away,3,27
TEN,2023,4,CIN,home,27,3
WAS,2023,4,PHI,away,31,34
PHI,2023,4,WAS,home,34,31
LV,2023,4,LAC,away,17,24
LAC,2023,4,LV,home,24,17
NE,2023,4,DAL,away,3,38
DAL,2023,4,NE,home,38,3
ARI,2023,4,SF,away,16,35
SF,2023,4,ARI,home,35,16
KC,2023,4,NYJ,away,23,20
NYJ,2023,4,KC,home,20,23
SEA,2023,4,NYG,away,24,3
NYG,2023,4,SEA,home,3,24
CHI,2023,5,WAS,away,40,20
WAS,2023,5,CHI,home,20,40
JAX,2023,5,BUF,away,25,20
BUF,2023,5,JAX,home,20,25
HOU,2023,5,ATL,away,19,21
ATL,2023,5,HOU,home,21,19
TEN,2023,5,IND,away,16,23
IND,2023,5,TEN,home,23,16
CAR,2023,5,DET,away,24,42
DET,2023,5,CAR,home,42,24
NYG,2023,5,MIA,away,16,31
MIA,2023,5,NYG,home,31,16
NO,2023,5,NE,away,34,0
NE,2023,5,NO,home,0,34
BAL,2023,5,PIT,away,10,17
PIT,2023,5,BAL,home,17,10
CIN,2023,5,ARI,away,34,20
ARI,2023,5,CIN,home,20,34
PHI,2023,5,LAR,away,23,14
LAR,2023,5,PHI,home,14,23
NYJ,2023,5,DEN,away,31,21
DEN,2023,5,NYJ,home,21,31
KC,2023,5,MIN,away,27,20
MIN,2023,5,KC,home,20,27
DAL,2023,5,SF,away,10,42
SF,2023,5,DAL,home,42,10
GB,2023,5,LV,away,13,17
LV,2023,5,GB,home,17,13
DEN,2023,6,KC,away,8,19
KC,2023,6,DEN,home,19,8
BAL,2023,6,TEN,away,24,16
TEN,2023,6,BAL,home,16,24
WAS,2023,6,ATL,away,24,16
ATL,2023,6,WAS,home,16,24
MIN,2023,6,CHI,away,19,13
CHI,2023,6,MIN,home,13,19
SEA,2023,6,CIN,away,13,17
CIN,2023,6,SEA,home,17,13
SF,2023,6,CLE,away,17,19
CLE,2023,6,SF,home,19,17
NO,2023,6,HOU,away,13,20
HOU,2023,6,NO,home,20,13
IND,2023,6,JAX,away,20,37
JAX,2023,6,IND,home,37,20
CAR,2023,6,MIA,away,21,42
MIA,2023,6,CAR,home,42,21
NE,2023,6,LV,away,17,21
LV,2023,6,NE,home,21,17
PHI,2023,6,NYJ,away,14,20
NYJ,2023,6,PHI,home,20,14
ARI,2023,6,LAR,away,9,26
LAR,2023,6,ARI,home,26,9
DET,2023,6,TB,away,20,6
TB,2023,6,DET,home,6,20
NYG,2023,6,BUF,away,9,14
BUF,2023,6,NYG,home,14,9
DAL,2023,6,LAC,away,20,17
LAC,2023,6,DAL,home,17,20
JAX,2023,7,NO,away,31,24
NO,2023,7,JAX,home,24,31
LV,2023,7,CHI,away,12,30
CHI,2023,7,LV,home,30,12
CLE,2023,7,IND,away,39,38
IND,2023,7,CLE,home,38,39
BUF,2023,7,NE,away,25,29
NE,2023,7,BUF,home,29,25
WAS,2023,7,NYG,away,7,14
NYG,2023,7,WAS,home,14,7
DET,2023,7,BAL,away,6,38
BAL,2023,7,DET,home,38,6
ATL,2023,7,TB,away,16,13
TB,2023,7,ATL,home,13,16
PIT,2023,7,LAR,away,24,17
LAR,2023,7,PIT,home,17,24
ARI,2023,7,SEA,away,10,20
SEA,2023,7,ARI,home,20,10
GB,2023,7,DEN,away,17,19
DEN,2023,7,GB,home,19,17
LAC,2023,7,KC,away,17,31
KC,2023,7,LAC,home,31,17
MIA,2023,7,PHI,away,17,31
PHI,2023,7,MIA,home,31,17
SF,2023,7,MIN,away,17,22
MIN,2023,7,SF,home,22,17
TB,2023,8,BUF,away,18,24
BUF,2023,8,TB,home,24,18
HOU,2023,8,CAR,away,13,15
CAR,2023,8,HOU,home,15,13
NO,2023,8,IND,away,38,27
IND,2023,8,NO,home,27,38
LAR,2023,8,DAL,away,20,43
DAL,2023,8,LAR,home,43,20
MIN,2023,8,GB,away,24,10
GB,2023,8,MIN,home,10,24
NE,2023,8,MIA,away,17,31
MIA,2023,8,NE,home,31,17
NYJ,2023,8,NYG,away,13,10
NYG,2023,8,NYJ,home,10,13
ATL,2023,8,TEN,away,23,28
TEN,2023,8,ATL,home,28,23
JAX,2023,8,PIT,away,20,10
PIT,2023,8,JAX,home,10,20
PHI,2023,8,WAS,away,38,31
WAS,2023,8,PHI,home,31,38
CLE,2023,8,SEA,away,20,24
SEA,2023,8,CLE,home,24,20
BAL,2023,8,ARI,away,31,24
ARI,2023,8,BAL,home,24,31
KC,2023,8,DEN,away,9,24
DEN,2023,8,KC,home,24,9
CIN,2023,8,SF,away,31,17
SF,2023,8,CIN,home,17,31
CHI,2023,8,LAC,away,13,30
LAC,2023,8,CHI,home,30,13
LV,2023,8,DET,away,14,26
DET,2023,8,LV,home,26,14
TEN,2023,9,PIT,away,16,20
PIT,2023,9,TEN,home,20,16
MIA,2023,9,KC,away,14,21
KC,2023,9,MIA,home,21,14
MIN,2023,9,ATL,away,31,28
ATL,2023,9,MIN,home,28,31
ARI,2023,9,CLE,away,0,27
CLE,2023,9,ARI,home,27,0
LAR,2023,9,GB,away,3,20
GB,2023,9,LAR,home,20,3
TB,2023,9,HOU,away,37,39
HOU,2023,9,TB,home,39,37
CHI,2023,9,NO,away,17,24
NO,2023,9,CHI,home,24,17
WAS,2023,9,NE,away,20,17
NE,2023,9,WAS,home,17,20
SEA,2023,9,BAL,away,3,37
BAL,2023,9,SEA,home,37,3
IND,2023,9,CAR,away,27,13
CAR,2023,9,IND,home,13,27
DAL,2023,9,PHI,away,23,28
PHI,2023,9,DAL,home,28,23
NYG,2023,9,LV,away,6,30
LV,2023,9,NYG,home,30,6
BUF,2023,9,CIN,away,18,24
CIN,2023,9,BUF,home,24,18
LAC,2023,9,NYJ,away,27,6
NYJ,2023,9,LAC,home,6,27
CAR,2023,10,CHI,away,13,16
CHI,2023,10,CAR,home,16,13
IND,2023,10,NE,away,10,6
NE,2023,10,IND,home,6,10
HOU,2023,10,CIN,away,30,27
CIN,2023,10,HOU,home,27,30
SF,2023,10,JAX,away,34,3
JAX,2023,10,SF,home,3,34
NO,2023,10,MIN,away,19,27
MIN,2023,10,NO,home,27,19
GB,2023,10,PIT,away,19,23
PIT,2023,10,GB,home,23,19
CLE,2023,10,BAL,away,33,31
BAL,2023,10,CLE,home,31,33
TEN,2023,10,TB,away,6,20
TB,2023,10,TEN,home,20,6
ATL,2023,10,ARI,away,23,25
ARI,2023,10,ATL,home,25,23
DET,2023,10,LAC,away,41,38
LAC,2023,10,DET,home,38,41
NYG,2023,10,DAL,away,17,49
DAL,2023,10,NYG,home,49,17
WAS,2023,10,SEA,away,26,29
SEA,2023,10,WAS,home,29,26
NYJ,2023,10,LV,away,12,16
LV,2023,10,NYJ,home,16,12
DEN,2023,10,BUF,away,24,22
BUF,2023,10,DEN,home,22,24
CIN,2023,11,BAL,away,20,34
BAL,2023,11,CIN,home,34,20
DAL,2023,11,CAR,away,33,10
CAR,2023,11,DAL,home,10,33
PIT,2023,11,CLE,away,10,13
CLE,2023,11,PIT,home,13,10
CHI,2023,11,DET,away,26,31
DET,2023,11,CHI,home,31,26
LAC,2023,11,GB,away,20,23
GB,2023,11,LAC,home,23,20
ARI,2023,11,HOU,away,16,21
HOU,2023,11,ARI,home,21,16
TEN,2023,11,JAX,away,14,34
JAX,2023,11,TEN,home,34,14
LV,2023,11,MIA,away,13,20
MIA,2023,11,LV,home,20,13
NYG,2023,11,WAS,away,31,19
WAS,2023,11,NYG,home,19,31
TB,2023,11,SF,away,14,27
SF,2023,11,TB,home,27,14
NYJ,2023,11,BUF,away,6,32
BUF,2023,11,NYJ,home,32,6
SEA,2023,11,LAR,away,16,17
LAR,2023,11,SEA,home,17,16
MIN,2023,11,DEN,away,20,21
DEN,2023,11,MIN,home,21,20
PHI,2023,11,KC,away,21,17
KC,2023,11,PHI,home,17,21
GB,2023,12,DET,away,29,22
DET,2023,12,GB,home,22,29
WAS,2023,12,DAL,away,10,45
DAL,2023,12,WAS,home,45,10
SF,2023,12,SEA,away,31,13
SEA,2023,12,SF,home,13,31
MIA,2023,12,NYJ,away,34,13
NYJ,2023,12,MIA,home,13,34
NO,2023,12,ATL,away,15,24
ATL,2023,12,NO,home,24,15
PIT,2023,12,CIN,away,16,10
CIN,2023,12,PIT,home,10,16
TB,2023,12,IND,away,20,27
IND,2023,12,TB,home,27,20
JAX,2023,12,HOU,away,24,21
HOU,2023,12,JAX,home,21,24
NE,2023,12,NYG,away,7,10
NYG,2023,12,NE,home,10,7
CAR,2023,12,TEN,away,10,17
TEN,2023,12,CAR,home,17,10
LAR,2023,12,ARI,away,37,14
ARI,2023,12,LAR,home,14,37
CLE,2023,12,DEN,away,12,29
DEN,2023,12,CLE,home,29,12
BUF,2023,12,PHI,away,34,37
PHI,2023,12,BUF,home,37,34
KC,2023,12,LV,away,31,17
LV,2023,12,KC,home,17,31
BAL,2023,12,LAC,away,20,10
LAC,2023,12,BAL,home,10,20
CHI,2023,12,MIN,away,12,10
MIN,2023,12,CHI,home,10,12
SEA,2023,13,DAL,away,35,41
DAL,2023,13,SEA,home,41,35
DEN,2023,13,HOU,away,17,22
HOU,2023,13,DEN,home,22,17
DET,2023,13,NO,away,33,28
NO,2023,13,DET,home,28,33
LAC,2023,13,NE,away,6,0
NE,2023,13,LAC,home,0,6
ATL,2023,13,NYJ,away,13,8
NYJ,2023,13,ATL,home,8,13
IND,2023,13,TEN,away,31,28
TEN,2023,13,IND,home,28,31
ARI,2023,13,PIT,away,24,10
PIT,2023,13,ARI,home,10,24
MIA,2023,13,WAS,away,45,15
WAS,2023,13,MIA,home,15,45
CAR,2023,13,TB,away,18,21
TB,2023,13,CAR,home,21,18
SF,2023,13,PHI,away,42,19
PHI,2023,13,SF,home,19,42
CLE,2023,13,LAR,away,19,36
LAR,2023,13,CLE,home,36,19
KC,2023,13,GB,away,19,27
GB,2023,13,KC,home,27,19
CIN,2023,13,JAX,away,34,31
JAX,2023,13,CIN,home,31,34
NE,2023,14,PIT,away,21,18
PIT,2023,14,NE,home,18,21
TB,2023,14,ATL,away,29,25
ATL,2023,14,TB,home,25,29
DET,2023,14,CHI,away,13,28
CHI,2023,14,DET,home,28,13
IND,2023,14,CIN,away,14,34
CIN,2023,14,IND,home,34,14
JAX,2023,14,CLE,away,27,31
CLE,2023,14,JAX,home,31,27
CAR,2023,14,NO,away,6,28
NO,2023,14,CAR,home,28,6
HOU,2023,14,NYJ,away,6,30
NYJ,2023,14,HOU,home,30,6
LAR,2023,14,BAL,away,31,37
BAL,2023,14,LAR,home,37,31
MIN,2023,14,LV,away,3,0
LV,2023,14,MIN,home,0,3
SEA,2023,14,SF,away,16,28
SF,2023,14,SEA,home,28,16
BUF,2023,14,KC,away,20,17
KC,2023,14,BUF,home,17,20
DEN,2023,14,LAC,away,24,7
LAC,2023,14,DEN,home,7,24
PHI,2023,14,DAL,away,13,33
DAL,2023,14,PHI,home,33,13
TEN,2023,14,MIA,away,28,27
MIA,2023,14,TEN,home,27,28
GB,2023,14,NYG,away,22,24
NYG,2023,14,GB,home,24,22
LAC,2023,15,LV,away,21,63
LV,2023,15,LAC,home,63,21
MIN,2023,15,CIN,away,24,27
CIN,2023,15,MIN,home,27,24
PIT,2023,15,IND,away,13,30
IND,2023,15,PIT,home,30,13
DEN,2023,15,DET,away,17,42
DET,2023,15,DEN,home,42,17
ATL,2023,15,CAR,away,7,9
CAR,2023,15,ATL,home,9,7
CHI,2023,15,CLE,away,17,20
CLE,2023,15,CHI,home,20,17
TB,2023,15,GB,away,34,20
GB,2023,15,TB,home,20,34
NYJ,2023,15,MIA,away,0,30
MIA,2023,15,NYJ,home,30,0
NYG,2023,15,NO,away,6,24
NO,2023,15,NYG,home,24,6
KC,2023,15,NE,away,27,17
NE,2023,15,KC,home,17,27
HOU,2023,15,TEN,away,19,16
TEN,2023,15,HOU,home,16,19
SF,2023,15,ARI,away,45,29
ARI,2023,15,SF,home,29,45
WAS,2023,15,LAR,away,20,28
LAR,2023,15,WAS,home,28,20
DAL,2023,15,BUF,away,10,31
BUF,2023,15,DAL,home,31,10
BAL,2023,15,JAX,away,23,7
JAX,2023,15,BAL,home,7,23
PHI,2023,15,SEA,away,17,20
SEA,2023,15,PHI,home,20,17
NO,2023,16,LAR,away,22,30
LAR,2023,16,NO,home,30,22
CIN,2023,16,PIT,away,11,34
PIT,2023,16,CIN,home,34,11
BUF,2023,16,LAC,away,24,22
LAC,2023,16,BUF,home,22,24
IND,2023,16,ATL,away,10,29
ATL,2023,16,IND,home,29,10
GB,2023,16,CAR,away,33,30
CAR,2023,16,GB,home,30,33
CLE,2023,16,HOU,away,36,22
HOU,2023,16,CLE,home,22,36
DET,2023,16,MIN,away,30,24
MIN,2023,16,DET,home,24,30
WAS,2023,16,NYJ,away,28,30
NYJ,2023,16,WAS,home,30,28
SEA,2023,16,TEN,away,20,17
TEN,2023,16,SEA,home,17,20
JAX,2023,16,TB,away,12,30
TB,2023,16,JAX,home,30,12
ARI,2023,16,CHI,away,16,27
CHI,2023,16,ARI,home,27,16
DAL,2023,16,MIA,away,20,22
MIA,2023,16,DAL,home,22,20
NE,2023,16,DEN,away,26,23
DEN,2023,16,NE,home,23,26
LV,2023,16,KC,away,20,14
KC,2023,16,LV,home,14,20
NYG,2023,16,PHI,away,25,33
PHI,2023,16,NYG,home,33,25
BAL,2023,16,SF,away,33,19
SF,2023,16,BAL,home,19,33
NYJ,2023,17,CLE,away,20,37
CLE,2023,17,NYJ,home,37,20
DET,2023,17,DAL,away,19,20
DAL,2023,17,DET,home,20,19
NE,2023,17,BUF,away,21,27
BUF,2023,17,NE,home,27,21
ATL,2023,17,CHI,away,17,37
CHI,2023,17,ATL,home,37,17
LV,2023,17,IND,away,20,23
IND,2023,17,LV,home,23,20
TEN,2023,17,HOU,away,3,26
HOU,2023,17,TEN,home,26,3
CAR,2023,17,JAX,away,0,26
JAX,2023,17,CAR,home,26,0
LAR,2023,17,NYG,away,26,25
NYG,2023,17,LAR,home,25,26
ARI,2023,17,PHI,away,35,31
PHI,2023,17,ARI,home,31,35
MIA,2023,17,BAL,away,19,56
BAL,2023,17,MIA,home,56,19
NO,2023,17,TB,away,23,13
TB,2023,17,NO,home,13,23
SF,2023,17,WAS,away,27,10
WAS,2023,17,SF,home,10,27
PIT,2023,17,SEA,away,30,23
SEA,2023,17,PIT,home,23,30
LAC,2023,17,DEN,away,9,16
DEN,2023,17,LAC,home,16,9
CIN,2023,17,KC,away,17,25
KC,2023,17,CIN,home,25,17
GB,2023,17,MIN,away,33,10
MIN,2023,17,GB,home,10,33
PIT,2023,18,BAL,away,17,10
BAL,2023,18,PIT,home,10,17
HOU,2023,18,IND,away,23,19
IND,2023,18,HOU,home,19,23
TB,2023,18,CAR,away,9,0
CAR,2023,18,TB,home,0,9
CLE,2023,18,CIN,away,14,31
CIN,2023,18,CLE,home,31,14
MIN,2023,18,DET,away,20,30
DET,2023,18,MIN,home,30,20
ATL,2023,18,NO,away,17,48
NO,2023,18,ATL,home,48,17
NYJ,2023,18,NE,away,17,3
NE,2023,18,NYJ,home,3,17
JAX,2023,18,TEN,away,20,28
TEN,2023,18,JAX,home,28,20
SEA,2023,18,ARI,away,21,20
ARI,2023,18,SEA,home,20,21
CHI,2023,18,GB,away,9,17
GB,2023,18,CHI,home,17,9
PHI,2023,18,NYG,away,10,27
NYG,2023,18,PHI,home,27,10
DEN,2023,18,LV,away,14,27
LV,2023,18,DEN,home,27,14
KC,2023,18,LAC,away,13,12
LAC,2023,18,KC,home,12,13
LAR,2023,18,SF,away,21,20
SF,2023,18,LAR,home,20,21
DAL,2023,18,WAS,away,38,10
WAS,2023,18,DAL,home,10,38
BUF,2023,18,MIA,away,21,14
MIA,2023,18,BUF,home,14,21
