team,season,week,opponent,home_away,points_scored,points_allowed
DET,2023,1,KC,away,21,20
KC,2023,1,DET,home,20,21
CAR,2023,1,ATL,away,10,24
ATL,2023,1,CAR,home,24,10
CIN,2023,1,CLE,away,3,24
CLE,2023,1,CIN,home,24,3
JAX,2023,1,IND,away,31,21
IND,2023,1,JAX,home,21,31
TB,2023,1,MIN,away,20,17
MIN,2023,1,TB,home,17,20
TEN,2023,1,NO,away,15,16
NO,2023,1,TEN,home,16,15
SF,2023,1,PIT,away,30,7
PIT,2023,1,SF,home,7,30
HOU,2023,1,BAL,away,9,25
BAL,2023,1,HOU,home,25,9
ARI,2023,1,WAS,away,16,20
WAS,2023,1,ARI,home,20,16
GB,2023,1,CHI,away,38,20
CHI,2023,1,GB,home,20,38
LV,2023,1,DEN,away,17,16
DEN,2023,1,LV,home,16,17
PHI,2023,1,NE,away,25,20
NE,2023,1,PHI,home,20,25
MIA,2023,1,LAC,away,36,34
LAC,2023,1,MIA,home,34,36
LAR,2023,1,SEA,away,30,13
SEA,2023,1,LAR,home,13,30
DAL,2023,1,NYG,away,40,0
NYG,2023,1,DAL,home,0,40
BUF,2023,1,NYJ,away,16,22
NYJ,2023,1,BUF,home,22,16
MIN,2023,2,PHI,away,28,34
PHI,2023,2,MIN,home,34,28
GB,2023,2,ATL,away,24,25
ATL,2023,2,GB,home,25,24
LV,2023,2,BUF,away,10,38
BUF,2023,2,LV,home,38,10
BAL,2023,2,CIN,away,27,24
CIN,2023,2,BAL,home,24,27
SEA,2023,2,DET,away,37,31
DET,2023,2,SEA,home,31,37
IND,2023,2,HOU,away,31,20
HOU,2023,2,IND,home,20,31
KC,2023,2,JAX,away,17,9
JAX,2023,2,KC,home,9,17
LAC,2023,2,TEN,away,24,27
TEN,2023,2,LAC,home,27,24
CHI,2023,2,TB,away,17,27
TB,2023,2,CHI,home,27,17
NYG,2023,2,ARI,away,31,28
ARI,2023,2,NYG,home,28,31
SF,2023,2,LAR,away,30,23
LAR,2023,2,SF,home,23,30
NYJ,2023,2,DAL,away,10,30
DAL,2023,2,NYJ,home,30,10
WAS,2023,2,DEN,away,35,33
DEN,2023,2,WAS,home,33,35
MIA,2023,2,NE,away,24,17
NE,2023,2,MIA,home,17,24
NO,2023,2,CAR,away,20,17
CAR,2023,2,NO,home,17,20
CLE,2023,2,PIT,away,22,26
PIT,2023,2,CLE,home,26,22
NYG,2023,3,SF,away,12,30
SF,2023,3,NYG,home,30,12
TEN,2023,3,CLE,away,3,27
CLE,2023,3,TEN,home,27,3
ATL,2023,3,DET,away,6,20
DET,2023,3,ATL,home,20,6
NO,2023,3,GB,away,17,18
GB,2023,3,NO,home,18,17
HOU,2023,3,JAX,away,37,17
JAX,2023,3,HOU,home,17,37
DEN,2023,3,MIA,away,20,70
MIA,2023,3,DEN,home,70,20
