team,season,week,opponent,home_away,points_scored,points_allowed
BAL,2024,1,KC,away,20,27
KC,2024,1,BAL,home,27,20
GB,2024,1,PHI,away,29,34
PHI,2024,1,GB,home,34,29
PIT,2024,1,ATL,away,18,10
ATL,2024,1,PIT,home,10,18
ARI,2024,1,BUF,away,28,34
BUF,2024,1,ARI,home,34,28
TEN,2024,1,CHI,away,17,24
CHI,2024,1,TEN,home,24,17
NE,2024,1,CIN,away,16,10
CIN,2024,1,NE,home,10,16
HOU,2024,1,IND,away,29,27
IND,2024,1,HOU,home,27,29
JAX,2024,1,MIA,away,17,20
MIA,2024,1,JAX,home,20,17
CAR,2024,1,NO,away,10,47
NO,2024,1,CAR,home,47,10
MIN,2024,1,NYG,away,28,6
NYG,2024,1,MIN,home,6,28
LV,2024,1,LAC,away,10,22
LAC,2024,1,LV,home,22,10
DEN,2024,1,SEA,away,20,26
SEA,2024,1,DEN,home,26,20
DAL,2024,1,CLE,away,33,17
CLE,2024,1,DAL,home,17,33
WAS,2024,1,TB,away,20,37
TB,2024,1,WAS,home,37,20
LAR,2024,1,DET,away,20,26
DET,2024,1,LAR,home,26,20
NYJ,2024,1,SF,away,19,32
SF,2024,1,NYJ,home,32,19
BUF,2024,2,MIA,away,31,10
MIA,2024,2,BUF,home,10,31
LAC,2024,2,CAR,away,26,3
CAR,2024,2,LAC,home,3,26
NO,2024,2,DAL,away,44,19
DAL,2024,2,NO,home,19,44
TB,2024,2,DET,away,20,16
DET,2024,2,TB,home,16,20
IND,2024,2,GB,away,10,16
GB,2024,2,IND,home,16,10
CLE,2024,2,JAX,away,18,13
JAX,2024,2,CLE,home,13,18
SF,2024,2,MIN,away,17,23
MIN,2024,2,SF,home,23,17
SEA,2024,2,NE,away,23,20
NE,2024,2,SEA,home,20,23
NYJ,2024,2,TEN,away,24,17
TEN,2024,2,NYJ,home,17,24
LV,2024,2,BAL,away,26,23
BAL,2024,2,LV,home,23,26
NYG,2024,2,WAS,away,18,21
WAS,2024,2,NYG,home,21,18
LAR,2024,2,ARI,away,10,41
ARI,2024,2,LAR,home,41,10
PIT,2024,2,DEN,away,13,6
DEN,2024,2,PIT,home,6,13
CIN,2024,2,KC,away,25,26
KC,2024,2,CIN,home,26,25
CHI,2024,2,HOU,away,13,19
HOU,2024,2,CHI,home,19,13
ATL,2024,2,PHI,away,22,21
PHI,2024,2,ATL,home,21,22
NE,2024,3,NYJ,away,3,24
NYJ,2024,3,NE,home,24,3
NYG,2024,3,CLE,away,21,15
CLE,2024,3,NYG,home,15,21
CHI,2024,3,IND,away,16,21
IND,2024,3,CHI,home,21,16
HOU,2024,3,MIN,away,7,34
MIN,2024,3,HOU,home,34,7
PHI,2024,3,NO,away,15,12
NO,2024,3,PHI,home,12,15
GB,2024,3,TEN,away,30,14
TEN,2024,3,GB,home,14,30
LAC,2024,3,PIT,away,10,20
PIT,2024,3,LAC,home,20,10
DEN,2024,3,TB,away,26,7
TB,2024,3,DEN,home,7,26
CAR,2024,3,LV,away,36,22
LV,2024,3,CAR,home,22,36
MIA,2024,3,SEA,away,3,24
SEA,2024,3,MIA,home,24,3
DET,2024,3,ARI,away,20,13
ARI,2024,3,DET,home,13,20
BAL,2024,3,DAL,away,28,25
DAL,2024,3,BAL,home,25,28
SF,2024,3,LAR,away,24,27
LAR,2024,3,SF,home,27,24
KC,2024,3,ATL,away,22,17
ATL,2024,3,KC,home,17,22
JAX,2024,3,BUF,away,10,47
BUF,2024,3,JAX,home,47,10
WAS,2024,3,CIN,away,38,33
CIN,2024,3,WAS,home,33,38
DAL,2024,4,NYG,away,20,15
NYG,2024,4,DAL,home,15,20
NO,2024,4,ATL,away,24,26
