team,season,week,opponent,home_away,points_scored,points_allowed
DAL,2025,1,PHI,away,20,24
PHI,2025,1,DAL,home,24,20
KC,2025,1,LAC,away,21,27
LAC,2025,1,KC,home,27,21
TB,2025,1,ATL,away,23,20
ATL,2025,1,TB,home,20,23
CIN,2025,1,CLE,away,17,16
CLE,2025,1,CIN,home,16,17
MIA,2025,1,IND,away,8,33
IND,2025,1,MIA,home,33,8
CAR,2025,1,JAX,away,10,26
JAX,2025,1,CAR,home,26,10
ARI,2025,1,NO,away,20,13
NO,2025,1,ARI,home,13,20
LV,2025,1,NE,away,20,13
NE,2025,1,LV,home,13,20
PIT,2025,1,NYJ,away,34,32
NYJ,2025,1,PIT,home,32,34
NYG,2025,1,WAS,away,6,21
WAS,2025,1,NYG,home,21,6
TEN,2025,1,DEN,away,12,20
DEN,2025,1,TEN,home,20,12
SF,2025,1,SEA,away,17,13
SEA,2025,1,SF,home,13,17
DET,2025,1,GB,away,13,27
GB,2025,1,DET,home,27,13
HOU,2025,1,LAR,away,9,14
LAR,2025,1,HOU,home,14,9
BAL,2025,1,BUF,away,40,41
BUF,2025,1,BAL,home,41,40
MIN,2025,1,CHI,away,27,24
CHI,2025,1,MIN,home,24,27
WAS,2025,2,GB,away,18,27
GB,2025,2,WAS,home,27,18
JAX,2025,2,CIN,away,27,31
CIN,2025,2,JAX,home,31,27
NYG,2025,2,DAL,away,37,40
DAL,2025,2,NYG,home,40,37
CHI,2025,2,DET,away,21,52
DET,2025,2,CHI,home,52,21
NE,2025,2,MIA,away,33,27
MIA,2025,2,NE,home,27,33
SF,2025,2,NO,away,26,21
NO,2025,2,SF,home,21,26
BUF,2025,2,NYJ,away,30,10
NYJ,2025,2,BUF,home,10,30
LAR,2025,2,TEN,away,33,19
TEN,2025,2,LAR,home,19,33
SEA,2025,2,PIT,away,31,17
PIT,2025,2,SEA,home,17,31
CLE,2025,2,BAL,away,17,41
BAL,2025,2,CLE,home,41,17
DEN,2025,2,IND,away,28,29
IND,2025,2,DEN,home,29,28
CAR,2025,2,ARI,away,22,27
ARI,2025,2,CAR,home,27,22
PHI,2025,2,KC,away,20,17
KC,2025,2,PHI,home,17,20
ATL,2025,2,MIN,away,22,6
MIN,2025,2,ATL,home,6,22
TB,2025,2,HOU,away,20,19
HOU,2025,2,TB,home,19,20
LAC,2025,2,LV,away,20,9
LV,2025,2,LAC,home,9,20
MIA,2025,3,BUF,away,21,31
BUF,2025,3,MIA,home,31,21
ATL,2025,3,CAR,away,0,30
CAR,2025,3,ATL,home,30,0
GB,2025,3,CLE,away,10,13
CLE,2025,3,GB,home,13,10
HOU,2025,3,JAX,away,10,17
JAX,2025,3,HOU,home,17,10
CIN,2025,3,MIN,away,10,48
MIN,2025,3,CIN,home,48,10
PIT,2025,3,NE,away,21,14
NE,2025,3,PIT,home,14,21
IND,2025,3,TEN,away,41,20
TEN,2025,3,IND,home,20,41
LAR,2025,3,PHI,away,26,33
PHI,2025,3,LAR,home,33,26
NYJ,2025,3,TB,away,27,29
TB,2025,3,NYJ,home,29,27
LV,2025,3,WAS,away,24,41
WAS,2025,3,LV,home,41,24
DEN,2025,3,LAC,away,20,23
LAC,2025,3,DEN,home,23,20
NO,2025,3,SEA,away,13,44
SEA,2025,3,NO,home,44,13
DAL,2025,3,CHI,away,14,31
CHI,2025,3,DAL,home,31,14
ARI,2025,3,SF,away,15,16
SF,2025,3,ARI,home,16,15
KC,2025,3,NYG,away,22,9
NYG,2025,3,KC,home,9,22
DET,2025,3,BAL,away,38,30
BAL,2025,3,DET,home,30,38
SEA,2025,4,ARI,away,23,20
ARI,2025,4,SEA,home,20,23
MIN,2025,4,PIT,away,21,24
PIT,2025,4,MIN,home,24,21
WAS,2025,4,ATL,away,27,34
ATL,2025,4,WAS,home,34,27
NO,2025,4,BUF,away,19,31
BUF,2025,4,NO,home,31,19
CLE,2025,4,DET,away,10,34
DET,2025,4,CLE,home,34,10
TEN,2025,4,HOU,away,0,26
HOU,2025,4,TEN,home,26,0
CAR,2025,4,NE,away,13,42
NE,2025,4,CAR,home,42,13
LAC,2025,4,NYG,away,18,21
NYG,2025,4,LAC,home,21,18
PHI,2025,4,TB,away,31,25
TB,2025,4,PHI,home,25,31
IND,2025,4,LAR,away,20,27
LAR,2025,4,IND,home,27,20
JAX,2025,4,SF,away,26,21
SF,2025,4,JAX,home,21,26
BAL,2025,4,KC,away,20,37
KC,2025,4,BAL,home,37,20
CHI,2025,4,LV,away,25,24
LV,2025,4,CHI,home,24,25
GB,2025,4,DAL,away,40,40
DAL,2025,4,GB,home,40,40
NYJ,2025,4,MIA,away,21,27
MIA,2025,4,NYJ,home,27,21
CIN,2025,4,DEN,away,3,28
DEN,2025,4,CIN,home,28,3
SF,2025,5,LAR,away,26,23
LAR,2025,5,SF,home,23,26
MIN,2025,5,CLE,away,21,17
CLE,2025,5,MIN,home,17,21
MIA,2025,5,CAR,away,24,27
CAR,2025,5,MIA,home,27,24
LV,2025,5,IND,away,6,40
IND,2025,5,LV,home,40,6
NYG,2025,5,NO,away,14,26
NO,2025,5,NYG,home,26,14
DAL,2025,5,NYJ,away,37,22
NYJ,2025,5,DAL,home,22,37
DEN,2025,5,PHI,away,21,17
PHI,2025,5,DEN,home,17,21
HOU,2025,5,BAL,away,44,10
BAL,2025,5,HOU,home,10,44
TEN,2025,5,ARI,away,22,21
ARI,2025,5,TEN,home,21,22
TB,2025,5,SEA,away,38,35
SEA,2025,5,TB,home,35,38
DET,2025,5,CIN,away,37,24
CIN,2025,5,DET,home,24,37
WAS,2025,5,LAC,away,27,10
LAC,2025,5,WAS,home,10,27
NE,2025,5,BUF,away,23,20
BUF,2025,5,NE,home,20,23
KC,2025,5,JAX,away,28,31
JAX,2025,5,KC,home,31,28
PHI,2025,6,NYG,away,17,34
NYG,2025,6,PHI,home,34,17
DEN,2025,6,NYJ,away,13,11
NYJ,2025,6,DEN,home,11,13
DAL,2025,6,CAR,away,27,30
CAR,2025,6,DAL,home,30,27
ARI,2025,6,IND,away,27,31
IND,2025,6,ARI,home,31,27
SEA,2025,6,JAX,away,20,12
JAX,2025,6,SEA,home,12,20
LAC,2025,6,MIA,away,29,27
MIA,2025,6,LAC,home,27,29
NE,2025,6,NO,away,25,19
NO,2025,6,NE,home,19,25
CLE,2025,6,PIT,away,9,23
PIT,2025,6,CLE,home,23,9
LAR,2025,6,BAL,away,17,3
BAL,2025,6,LAR,home,3,17
TEN,2025,6,LV,away,10,20
LV,2025,6,TEN,home,20,10
CIN,2025,6,GB,away,18,27
GB,2025,6,CIN,home,27,18
SF,2025,6,TB,away,19,30
TB,2025,6,SF,home,30,19
DET,2025,6,KC,away,17,30
KC,2025,6,DET,home,30,17
BUF,2025,6,ATL,away,14,24
ATL,2025,6,BUF,home,24,14
CHI,2025,6,WAS,away,25,24
WAS,2025,6,CHI,home,24,25
PIT,2025,7,CIN,away,31,33
CIN,2025,7,PIT,home,33,31
LAR,2025,7,JAX,away,35,7
JAX,2025,7,LAR,home,7,35
NO,2025,7,CHI,away,14,26
CHI,2025,7,NO,home,26,14
MIA,2025,7,CLE,away,6,31
CLE,2025,7,MIA,home,31,6
LV,2025,7,KC,away,0,31
KC,2025,7,LV,home,31,0
PHI,2025,7,MIN,away,28,22
MIN,2025,7,PHI,home,22,28
CAR,2025,7,NYJ,away,13,6
NYJ,2025,7,CAR,home,6,13
NE,2025,7,TEN,away,31,13
TEN,2025,7,NE,home,13,31
NYG,2025,7,DEN,away,32,33
DEN,2025,7,NYG,home,33,32
IND,2025,7,LAC,away,38,24
LAC,2025,7,IND,home,24,38
GB,2025,7,ARI,away,27,23
ARI,2025,7,GB,home,23,27
WAS,2025,7,DAL,away,22,44
DAL,2025,7,WAS,home,44,22
ATL,2025,7,SF,away,10,20
SF,2025,7,ATL,home,20,10
TB,2025,7,DET,away,9,24
DET,2025,7,TB,home,24,9
HOU,2025,7,SEA,away,19,27
SEA,2025,7,HOU,home,27,19
MIN,2025,8,LAC,away,10,37
LAC,2025,8,MIN,home,37,10
MIA,2025,8,ATL,away,34,10
ATL,2025,8,MIA,home,10,34
BUF,2025,8,CAR,away,40,9
CAR,2025,8,BUF,home,9,40
NYJ,2025,8,CIN,away,39,38
CIN,2025,8,NYJ,home,38,39
SF,2025,8,HOU,away,15,26
HOU,2025,8,SF,home,26,15
CLE,2025,8,NE,away,13,32
NE,2025,8,CLE,home,32,13
NYG,2025,8,PHI,away,20,38
PHI,2025,8,NYG,home,38,20
CHI,2025,8,BAL,away,16,30
BAL,2025,8,CHI,home,30,16
TB,2025,8,NO,away,23,3
NO,2025,8,TB,home,3,23
TEN,2025,8,IND,away,14,38
IND,2025,8,TEN,home,38,14
DAL,2025,8,DEN,away,24,44
DEN,2025,8,DAL,home,44,24
GB,2025,8,PIT,away,35,25
PIT,2025,8,GB,home,25,35
WAS,2025,8,KC,away,7,28
KC,2025,8,WAS,home,28,7
BAL,2025,9,MIA,away,28,6
MIA,2025,9,BAL,home,6,28
CHI,2025,9,CIN,away,47,42
