team,season,week,opponent,home_away,points_scored,points_allowed
HOU,2020,1,KC,away,20,34
KC,2020,1,HOU,home,34,20
SEA,2020,1,ATL,away,38,25
ATL,2020,1,SEA,home,25,38
NYJ,2020,1,BUF,away,17,27
BUF,2020,1,NYJ,home,27,17
LV,2020,1,CAR,away,34,30
CAR,2020,1,LV,home,30,34
CHI,2020,1,DET,away,27,23
DET,2020,1,CHI,home,23,27
IND,2020,1,JAX,away,20,27
JAX,2020,1,IND,home,27,20
GB,2020,1,MIN,away,43,34
MIN,2020,1,GB,home,34,43
MIA,2020,1,NE,away,11,21
NE,2020,1,MIA,home,21,11
CLE,2020,1,BAL,away,6,38
BAL,2020,1,CLE,home,38,6
PHI,2020,1,WAS,away,17,27
WAS,2020,1,PHI,home,27,17
LAC,2020,1,CIN,away,16,13
CIN,2020,1,LAC,home,13,16
TB,2020,1,NO,away,23,34
NO,2020,1,TB,home,34,23
ARI,2020,1,SF,away,24,20
SF,2020,1,ARI,home,20,24
DAL,2020,1,LAR,away,17,20
LAR,2020,1,DAL,home,20,17
PIT,2020,1,NYG,away,26,16
NYG,2020,1,PIT,home,16,26
TEN,2020,1,DEN,away,16,14
DEN,2020,1,TEN,home,14,16
CIN,2020,2,CLE,away,30,35
CLE,2020,2,CIN,home,35,30
NYG,2020,2,CHI,away,13,17
CHI,2020,2,NYG,home,17,13
MIN,2020,2,IND,away,11,28
IND,2020,2,MIN,home,28,11
ATL,2020,2,DAL,away,39,40
DAL,2020,2,ATL,home,40,39
DET,2020,2,GB,away,21,42
GB,2020,2,DET,home,42,21
BUF,2020,2,MIA,away,31,28
MIA,2020,2,BUF,home,28,31
SF,2020,2,NYJ,away,31,13
NYJ,2020,2,SF,home,13,31
JAX,2020,2,TEN,away,30,33
TEN,2020,2,JAX,home,33,30
LAR,2020,2,PHI,away,37,19
PHI,2020,2,LAR,home,19,37
DEN,2020,2,PIT,away,21,26
PIT,2020,2,DEN,home,26,21
CAR,2020,2,TB,away,17,31
TB,2020,2,CAR,home,31,17
WAS,2020,2,ARI,away,15,30
ARI,2020,2,WAS,home,30,15
BAL,2020,2,HOU,away,33,16
HOU,2020,2,BAL,home,16,33
KC,2020,2,LAC,away,23,20
LAC,2020,2,KC,home,20,23
NE,2020,2,SEA,away,30,35
SEA,2020,2,NE,home,35,30
NO,2020,2,LV,away,24,34
LV,2020,2,NO,home,34,24
MIA,2020,3,JAX,away,31,13
JAX,2020,3,MIA,home,13,31
CHI,2020,3,ATL,away,30,26
ATL,2020,3,CHI,home,26,30
LAR,2020,3,BUF,away,32,35
BUF,2020,3,LAR,home,35,32
WAS,2020,3,CLE,away,20,34
CLE,2020,3,WAS,home,34,20
TEN,2020,3,MIN,away,31,30
MIN,2020,3,TEN,home,30,31
LV,2020,3,NE,away,20,36
NE,2020,3,LV,home,36,20
SF,2020,3,NYG,away,36,9
NYG,2020,3,SF,home,9,36
CIN,2020,3,PHI,away,23,23
PHI,2020,3,CIN,home,23,23
HOU,2020,3,PIT,away,21,28
PIT,2020,3,HOU,home,28,21
NYJ,2020,3,IND,away,7,36
IND,2020,3,NYJ,home,36,7
CAR,2020,3,LAC,away,21,16
LAC,2020,3,CAR,home,16,21
DET,2020,3,ARI,away,26,23
ARI,2020,3,DET,home,23,26
TB,2020,3,DEN,away,28,10
DEN,2020,3,TB,home,10,28
DAL,2020,3,SEA,away,31,38
SEA,2020,3,DAL,home,38,31
GB,2020,3,NO,away,37,30
NO,2020,3,GB,home,30,37
KC,2020,3,BAL,away,34,20
BAL,2020,3,KC,home,20,34
DEN,2020,4,NYJ,away,37,28
NYJ,2020,4,DEN,home,28,37
ARI,2020,4,CAR,away,21,31
CAR,2020,4,ARI,home,31,21
IND,2020,4,CHI,away,19,11
CHI,2020,4,IND,home,11,19
JAX,2020,4,CIN,away,25,33
CIN,2020,4,JAX,home,33,25
CLE,2020,4,DAL,away,49,38
DAL,2020,4,CLE,home,38,49
NO,2020,4,DET,away,35,29
DET,2020,4,NO,home,29,35
MIN,2020,4,HOU,away,31,23
HOU,2020,4,MIN,home,23,31
SEA,2020,4,MIA,away,31,23
MIA,2020,4,SEA,home,23,31
LAC,2020,4,TB,away,31,38
TB,2020,4,LAC,home,38,31
BAL,2020,4,WAS,away,31,17
WAS,2020,4,BAL,home,17,31
NYG,2020,4,LAR,away,9,17
LAR,2020,4,NYG,home,17,9
BUF,2020,4,LV,away,30,23
LV,2020,4,BUF,home,23,30
PHI,2020,4,SF,away,25,20
SF,2020,4,PHI,home,20,25
NE,2020,4,KC,away,10,26
KC,2020,4,NE,home,26,10
ATL,2020,4,GB,away,16,30
GB,2020,4,ATL,home,30,16
TB,2020,5,CHI,away,19,20
CHI,2020,5,TB,home,20,19
CAR,2020,5,ATL,away,23,16
ATL,2020,5,CAR,home,16,23
JAX,2020,5,HOU,away,14,30
HOU,2020,5,JAX,home,30,14
LV,2020,5,KC,away,40,32
KC,2020,5,LV,home,32,40
ARI,2020,5,NYJ,away,30,10
NYJ,2020,5,ARI,home,10,30
PHI,2020,5,PIT,away,29,38
PIT,2020,5,PHI,home,38,29
CIN,2020,5,BAL,away,3,27
BAL,2020,5,CIN,home,27,3
LAR,2020,5,WAS,away,30,10
WAS,2020,5,LAR,home,10,30
MIA,2020,5,SF,away,43,17
SF,2020,5,MIA,home,17,43
IND,2020,5,CLE,away,23,32
CLE,2020,5,IND,home,32,23
NYG,2020,5,DAL,away,34,37
DAL,2020,5,NYG,home,37,34
MIN,2020,5,SEA,away,26,27
SEA,2020,5,MIN,home,27,26
LAC,2020,5,NO,away,27,30
NO,2020,5,LAC,home,30,27
BUF,2020,5,TEN,away,16,42
TEN,2020,5,BUF,home,42,16
CHI,2020,6,CAR,away,23,16
CAR,2020,6,CHI,home,16,23
CIN,2020,6,IND,away,27,31
IND,2020,6,CIN,home,31,27
DET,2020,6,JAX,away,34,16
JAX,2020,6,DET,home,16,34
ATL,2020,6,MIN,away,40,23
MIN,2020,6,ATL,home,23,40
DEN,2020,6,NE,away,18,12
NE,2020,6,DEN,home,12,18
WAS,2020,6,NYG,away,19,20
NYG,2020,6,WAS,home,20,19
HOU,2020,6,TEN,away,36,42
TEN,2020,6,HOU,home,42,36
BAL,2020,6,PHI,away,30,28
PHI,2020,6,BAL,home,28,30
CLE,2020,6,PIT,away,7,38
PIT,2020,6,CLE,home,38,7
NYJ,2020,6,MIA,away,0,24
MIA,2020,6,NYJ,home,24,0
GB,2020,6,TB,away,10,38
TB,2020,6,GB,home,38,10
LAR,2020,6,SF,away,16,24
SF,2020,6,LAR,home,24,16
KC,2020,6,BUF,away,26,17
BUF,2020,6,KC,home,17,26
ARI,2020,6,DAL,away,38,10
DAL,2020,6,ARI,home,10,38
NYG,2020,7,PHI,away,21,22
PHI,2020,7,NYG,home,22,21
DET,2020,7,ATL,away,23,22
ATL,2020,7,DET,home,22,23
CLE,2020,7,CIN,away,37,34
CIN,2020,7,CLE,home,34,37
GB,2020,7,HOU,away,35,20
HOU,2020,7,GB,home,20,35
CAR,2020,7,NO,away,24,27
NO,2020,7,CAR,home,27,24
BUF,2020,7,NYJ,away,18,10
NYJ,2020,7,BUF,home,10,18
PIT,2020,7,TEN,away,27,24
TEN,2020,7,PIT,home,24,27
DAL,2020,7,WAS,away,3,25
WAS,2020,7,DAL,home,25,3
TB,2020,7,LV,away,45,20
LV,2020,7,TB,home,20,45
KC,2020,7,DEN,away,43,16
DEN,2020,7,KC,home,16,43
